id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,set_filter_01,fade,play_sound,jump_target
d_nikke_k_05_39,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_39,True,,,,,100,1,1.3,,k,,,,,
d_nikke_k_05_40,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_40,False,,,,,1,1,1.0,,,,,,,
d_nikke_k_05_41,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_41,False,,,,,1,1,1.0,,k,,,,,
d_nikke_k_05_42,d_nikke_k_05,Narration,k,Locale_NikkeEpisode:d_nikke_k_05_42,False,,,,,1,10,1.3,,,,,,sfx_scn_watersurface,
d_nikke_k_05_43,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_43,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_44,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_44,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_45,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_45,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_46,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_46,False,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_47,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_47,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_48,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_48,True,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_49,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_49,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_50,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_50,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_51,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_51,False,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_52,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_52,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_53,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_53,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_54,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_54,False,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_55,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_55,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_56,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_56,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_57,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_57,False,,,,,10,10,1.0,none,k,,,,,
d_nikke_k_05_58,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_58,True,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_59,d_nikke_k_05,Choice,k,Locale_NikkeEpisode:d_nikke_k_05_59,False,,,,,10,10,1.0,,,,,,,d_nikke_k_05_61
d_nikke_k_05_60,d_nikke_k_05,Choice,k,Locale_NikkeEpisode:d_nikke_k_05_60,False,,,,,10,10,1.0,,,,,,,d_nikke_k_05_61
d_nikke_k_05_61,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_61,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_62,d_nikke_k_05,Narration,k,Locale_NikkeEpisode:d_nikke_k_05_62,False,,,,,black,black,1.3,bgm_story_flipflop,,,,,sfx_scn_feetwater,
d_nikke_k_05_63,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_63,False,,,,,black,black,1.0,,,,,,,
d_nikke_k_05_64,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_64,False,,,,,black,black,1.0,,,,,,,
d_nikke_k_05_65,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_65,True,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_66,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_66,True,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_67,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_67,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_68,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_68,True,,,,,10,10,1.0,,k,,,,,
d_nikke_k_05_69,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_69,False,,,,,10,10,1.0,,,,,,,
d_nikke_k_05_70,d_nikke_k_05,Narration,k,Locale_NikkeEpisode:d_nikke_k_05_70,False,,,,,10,100,1.3,,,,,,sfx_scn_feetwater,
d_nikke_k_05_71,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_71,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_72,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_72,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_73,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_73,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_74,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_74,False,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_75,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_75,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_76,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_76,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_77,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_77,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_78,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_78,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_79,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_79,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_80,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_80,False,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_81,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_81,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_82,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_82,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_83,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_83,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_84,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_84,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_85,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_85,False,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_86,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_86,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_87,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_87,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_88,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_88,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_89,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_89,False,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_90,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_90,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_91,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_91,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_92,d_nikke_k_05,Self,k,Locale_NikkeEpisode:d_nikke_k_05_92,False,,,,,100,100,1.0,,,,,,,
d_nikke_k_05_93,d_nikke_k_05,Speech,k,Locale_NikkeEpisode:d_nikke_k_05_93,True,,,,,100,100,1.0,,k,,,,,
d_nikke_k_05_94,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_94,False,,,,,black,black,1.0,,,,,,,
d_nikke_k_05_95,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_95,False,,,,,black,black,1.0,,,,,,,
d_nikke_k_05_96,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_96,False,,,,,black,black,1.0,,,,,,,
d_nikke_k_05_97,d_nikke_k_05,Monologue,k,Locale_NikkeEpisode:d_nikke_k_05_97,False,,,,,black,black,1.0,,,,,,,
