id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,jump_target,set_camera_shake
d_nikke_mast_01_13,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_13,True,,1,10,0.7,,,mast,,1,angry2,mast,,
d_nikke_mast_01_14,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_14,True,,10,10,1.0,,,mast,,1,delight2,mast,,
d_nikke_mast_01_15,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_15,True,,10,10,1.0,,,mast,,1,delight2,mast,,
d_nikke_mast_01_16,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_16,False,,10,10,1.0,,,,,1,delight2,mast,d_nikke_mast_01_18,
d_nikke_mast_01_17,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_17,False,,10,10,1.0,,,,,1,delight2,mast,d_nikke_mast_01_20,
d_nikke_mast_01_18,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_18,True,,10,10,1.0,,,mast,,1,angry2,mast,,
d_nikke_mast_01_19,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_19,True,,10,10,1.0,,,mast,,1,angry2,mast,d_nikke_mast_01_24,
d_nikke_mast_01_20,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_20,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_21,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_21,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_22,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_22,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_23,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_23,False,,10,10,1.0,,,,,1,idle,mast,d_nikke_mast_01_24,
d_nikke_mast_01_24,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_24,True,,10,1,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_25,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_25,True,,1,1,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_26,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_26,False,none,black,black,1.0,none,,,,1,idle,mast,,
d_nikke_mast_01_27,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_27,False,Desert_02_n,7,7,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_28,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_28,False,,70,70,1.0,event_bgm_goldenship,,,,1,idle,mast,,
d_nikke_mast_01_29,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_29,False,,70,70,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_30,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_30,False,,70,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_31,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_31,False,,7,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_32,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_32,False,,7,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_33,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_33,False,,7,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_34,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_34,True,CommanderRoom,7,1,0.6,bgm_story_languor,,mast,,1,delight,mast,,
d_nikke_mast_01_35,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_35,False,,1,1,1.0,,,,,1,delight,mast,d_nikke_mast_01_37,
d_nikke_mast_01_36,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_36,False,,1,1,1.0,,,,,1,delight,mast,d_nikke_mast_01_38,
d_nikke_mast_01_37,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_37,True,,1,1,1.0,,,mast,,1,angry2,mast,d_nikke_mast_01_39,
d_nikke_mast_01_38,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_38,True,,1,1,1.0,,,mast,,1,idle,mast,d_nikke_mast_01_39,
d_nikke_mast_01_39,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_39,False,none,black,black,1.0,none,,,,1,idle,mast,,
d_nikke_mast_01_40,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_40,False,ocean,7,7,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_41,d_nikke_mast_01,Narration,Locale_NikkeEpisode:d_nikke_mast_01_41,False,,7,7,1.0,,,,,1,idle,mast,,Low_2
d_nikke_mast_01_42,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_42,False,,7,7,1.0,event_bgm_goldenship,,jackrow,,1,idle,mast,,
d_nikke_mast_01_43,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_43,False,,7,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_44,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_44,False,,7,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_45,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_45,False,,7,7,1.0,,,crewman,,1,idle,mast,,
d_nikke_mast_01_46,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_46,False,,7,7,1.0,,,crewman,,1,idle,mast,,
d_nikke_mast_01_47,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_47,False,,7,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_48,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_48,False,,7,7,1.0,,,jackrow,,1,idle,mast,,
d_nikke_mast_01_49,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_49,False,,7,7,1.0,,,crewman,,1,idle,mast,,
d_nikke_mast_01_50,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_50,False,,7,7,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_51,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_51,False,CommanderRoom,7,1,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_52,d_nikke_mast_01,Narration,Locale_NikkeEpisode:d_nikke_mast_01_52,False,,1,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_53,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_53,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_54,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_54,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_55,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_55,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_56,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_56,False,,10,10,1.0,,,tvvoice,,1,delight,mast,,
d_nikke_mast_01_57,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_57,False,,10,10,1.0,,,tvvoice,,1,delight,mast,,
d_nikke_mast_01_58,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_58,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_59,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_59,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_60,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_60,False,,10,7,1.0,,,tvvoice,,1,delight,mast,,
d_nikke_mast_01_61,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_61,False,,7,7,1.0,,,tvvoice,,1,delight,mast,,
d_nikke_mast_01_62,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_62,False,,7,7,1.0,none,,,,1,delight,mast,,
d_nikke_mast_01_63,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_63,True,,7,10,1.0,bgm_story_tuffguys,,mast,,1,delight,mast,,
d_nikke_mast_01_64,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_64,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_65,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_65,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_66,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_66,False,,10,10,1.0,,,,,1,delight,mast,d_nikke_mast_01_68,
d_nikke_mast_01_67,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_67,False,,10,10,1.0,,,,,1,delight,mast,d_nikke_mast_01_68,
d_nikke_mast_01_68,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_68,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_69,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_69,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_70,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_70,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_71,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_71,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_72,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_72,True,,10,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_73,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_73,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_74,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_74,False,,100,100,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_75,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_75,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_76,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_76,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_77,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_77,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_78,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_78,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_79,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_79,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_80,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_80,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_81,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_81,False,,100,100,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_82,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_82,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_83,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_83,False,,100,100,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_84,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_84,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_85,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_85,True,,100,10,0.8,,,mast,,1,idle,mast,,
d_nikke_mast_01_86,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_86,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_87,d_nikke_mast_01,Monologue,Locale_NikkeEpisode:d_nikke_mast_01_87,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_88,d_nikke_mast_01,Narration,Locale_NikkeEpisode:d_nikke_mast_01_88,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_89,d_nikke_mast_01,Narration,Locale_NikkeEpisode:d_nikke_mast_01_89,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_90,d_nikke_mast_01,Narration,Locale_NikkeEpisode:d_nikke_mast_01_90,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_91,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_91,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_92,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_92,True,,10,100,0.7,,,mast,,1,idle,mast,,
d_nikke_mast_01_93,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_93,True,,100,100,1.0,,,mast,,1,delight2,mast,,
d_nikke_mast_01_94,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_94,True,,100,100,1.0,,,mast,,1,delight2,mast,,
d_nikke_mast_01_95,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_95,False,,100,100,1.0,,,,,1,delight2,mast,,
d_nikke_mast_01_96,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_96,True,,100,10,1.0,,,mast,,1,angry2,mast,,
d_nikke_mast_01_97,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_97,True,,10,10,1.0,,,mast,,1,angry2,mast,,
d_nikke_mast_01_98,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_98,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_99,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_99,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_100,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_100,True,,10,10,1.0,,,mast,,1,delight,mast,,
d_nikke_mast_01_101,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_101,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_102,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_102,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_103,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_103,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_104,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_104,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_105,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_105,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_106,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_106,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_107,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_107,False,,10,10,1.0,,,,,1,idle,mast,,
d_nikke_mast_01_108,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_108,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_109,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_109,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_110,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_110,False,,10,10,1.0,,,,,1,idle,mast,d_nikke_mast_01_112,
d_nikke_mast_01_111,d_nikke_mast_01,Choice,Locale_NikkeEpisode:d_nikke_mast_01_111,False,,10,10,1.0,,,,,1,idle,mast,d_nikke_mast_01_115,
d_nikke_mast_01_112,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_112,False,,10,10,1.0,,,mast,,1,surprise2,mast,,
d_nikke_mast_01_113,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_113,True,,10,10,1.0,,,mast,,1,surprise2,mast,,
d_nikke_mast_01_114,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_114,True,,10,10,1.0,,,mast,,1,idle,mast,d_nikke_mast_01_117,
d_nikke_mast_01_115,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_115,True,,10,10,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_116,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_116,True,,10,10,1.0,,,mast,,1,idle,mast,d_nikke_mast_01_117,
d_nikke_mast_01_117,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_117,True,,10,100,0.6,,,mast,,1,idle,mast,,
d_nikke_mast_01_118,d_nikke_mast_01,Speech,Locale_NikkeEpisode:d_nikke_mast_01_118,True,,100,100,1.0,,,mast,,1,idle,mast,,
d_nikke_mast_01_119,d_nikke_mast_01,Self,Locale_NikkeEpisode:d_nikke_mast_01_119,False,,100,100,1.0,,,,,1,idle,mast,,
