id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound
d_nikke_ce006_03_03_32,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_32,True,,3,idle,,1,sad,,13,idle,,S_10,S_10,1.0,,ce006_03,
d_nikke_ce006_03_03_33,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_33,True,,3,surprise,,1,sad,,13,idle,,S_10,2,1.3,,ce006_npc_01,
d_nikke_ce006_03_03_34,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_34,True,,3,surprise,,1,sad,,13,idle,,2,2,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_35,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_35,True,,3,surprise,,1,sad,,13,idle,,2,2,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_36,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_36,True,,3,surprise,,1,no,,13,idle,,2,2,1.0,,ce006_03,
d_nikke_ce006_03_03_37,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_37,True,,3,surprise,,1,no,,13,idle,,2,2,1.0,,ce006_03,
d_nikke_ce006_03_03_38,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_38,True,,3,surprise,,1,no,,13,idle,,2,2,1.0,,ce006_03,
d_nikke_ce006_03_03_39,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_39,True,,3,surprise,,1,no,,13,idle,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_40,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_40,True,,3,surprise,,1,no,,13,idle,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_41,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_41,True,,3,surprise,,1,no,,13,idle,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_42,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_42,True,,3,surprise,,1,no,,13,idle,,2,2,1.0,,ce006_03,
d_nikke_ce006_03_03_43,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_43,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_44,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_44,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_45,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_45,True,,3,idle,,1,no,,13,idle,,2,2,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_46,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_46,True,,3,idle,,1,no,,13,idle,,2,12,1.3,,elegg,
d_nikke_ce006_03_03_47,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_47,True,,3,idle,,1,no,,13,idle,,12,12,1.3,,ce006_03,
d_nikke_ce006_03_03_48,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_48,True,,3,idle,,1,no,,13,pain,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_49,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_49,True,,3,idle,,1,no,,13,special,,12,12,1.0,,elegg,
d_nikke_ce006_03_03_50,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_50,True,,3,idle,,1,no,,13,special,,12,12,1.0,,ce006_03,
d_nikke_ce006_03_03_51,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_51,True,,3,smile,,1,no,,13,special,,30,30,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_52,d_nikke_ce006_03_03,Speech,ce006_npc_01,Locale_NikkeEpisode:d_nikke_ce006_03_03_52,True,,3,smile,,1,no,,13,special,,30,30,1.0,,ce006_npc_01,
d_nikke_ce006_03_03_53,d_nikke_ce006_03_03,Speech,elegg,Locale_NikkeEpisode:d_nikke_ce006_03_03_53,True,,3,smile,,1,no,,13,delight,,S_130,S_130,1.0,,elegg,
d_nikke_ce006_03_03_54,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_54,True,,3,smile,,1,angry,,13,delight,,S_130,S_10,1.0,,ce006_03,
d_nikke_ce006_03_03_55,d_nikke_ce006_03_03,Speech,ce006_03,Locale_NikkeEpisode:d_nikke_ce006_03_03_55,True,,3,smile,,1,angry,,13,delight,,S_10,S_10,1.0,,ce006_03,
