id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,set_filter_01,jump_target,fade,play_sound,set_camera_shake
d_nikke_crow_01_22,d_nikke_crow_01,Choice,,Locale_NikkeEpisode:d_nikke_crow_01_22,False,,70,70,1.0,,crow,,7,smile,,,d_nikke_crow_01_24,,,
d_nikke_crow_01_23,d_nikke_crow_01,Choice,,Locale_NikkeEpisode:d_nikke_crow_01_23,False,,70,70,1.0,,crow,,7,smile,,,d_nikke_crow_01_25,,,
d_nikke_crow_01_24,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_24,True,,70,70,1.0,,crow,,7,smile,,,d_nikke_crow_01_28,,,
d_nikke_crow_01_25,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_25,True,,70,70,1.0,,crow,,7,delight,,,,,,
d_nikke_crow_01_26,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_26,True,,70,70,1.0,,crow,,7,delight,,,,,,
d_nikke_crow_01_27,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_27,True,,70,70,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_28,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_28,True,,70,70,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_29,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_29,True,,70,70,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_30,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_30,True,,70,70,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_31,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_31,True,,70,7,2.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_32,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_32,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_33,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_33,False,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_34,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_34,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_35,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_35,True,Park,7,7,1.0,,crow,,7,idle,crow,Grey,,black,,
d_nikke_crow_01_36,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_36,True,,7,7,1.0,,crow,,,,,Grey,,,,
d_nikke_crow_01_37,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_37,True,,7,7,1.0,,crow,,,,,Grey,,,sfx_scn_gunfire,Low_2
d_nikke_crow_01_38,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_38,True,City,7,7,1.0,,crow,,,,,Grey,,,,
d_nikke_crow_01_39,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_39,True,,7,7,1.0,,crow,,,,,Grey,,,sfx_scn_beatup,Low_2
d_nikke_crow_01_40,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_40,True,,7,7,1.0,,crow,,,,,Grey,,,,
d_nikke_crow_01_41,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_41,True,Jail,7,7,1.0,,crow,crow,7,surprise,,,,,,
d_nikke_crow_01_42,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_42,True,,7,7,1.0,,crow,,7,surprise,,,,,,
d_nikke_crow_01_43,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_43,True,,7,70,1.0,,crow,,7,angry,,,,,,
d_nikke_crow_01_44,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_44,True,,70,70,1.0,,crow,,7,angry,,,,,,
d_nikke_crow_01_45,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_45,True,,70,70,1.0,,crow,,7,angry,,,,,,
d_nikke_crow_01_46,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_46,False,,70,70,1.0,,crow,,7,angry,,,,,,
d_nikke_crow_01_47,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_47,True,,70,70,1.0,,crow,,7,angry,,,,,,
d_nikke_crow_01_48,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_48,True,,70,70,1.0,,crow,,7,angry,,,,,,
d_nikke_crow_01_49,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_49,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_50,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_50,False,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_51,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_51,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_52,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_52,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_53,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_53,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_54,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_54,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_55,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_55,True,,70,700,2.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_56,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_56,False,,700,700,1.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_57,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_57,True,,700,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_58,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_58,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_59,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_59,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_60,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_60,True,,70,70,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_61,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_61,True,,70,7,1.5,,crow,,7,idle,,,,,,
d_nikke_crow_01_62,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_62,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_63,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_63,False,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_64,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_64,True,,7,7,1.0,,crow,,7,surprise,,,,,,
d_nikke_crow_01_65,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_65,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_66,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_66,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_67,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_67,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_68,d_nikke_crow_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crow_01_68,False,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_69,d_nikke_crow_01,Choice,,Locale_NikkeEpisode:d_nikke_crow_01_69,False,,7,7,1.0,,crow,,7,idle,,,d_nikke_crow_01_71,,,
d_nikke_crow_01_70,d_nikke_crow_01,Choice,,Locale_NikkeEpisode:d_nikke_crow_01_70,False,,7,7,1.0,,crow,,7,idle,,,d_nikke_crow_01_74,,,
d_nikke_crow_01_71,d_nikke_crow_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crow_01_71,False,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_72,d_nikke_crow_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crow_01_72,False,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_73,d_nikke_crow_01,Self,Self,Locale_NikkeEpisode:d_nikke_crow_01_73,False,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_74,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_74,False,,7,7,2.0,,crow,,7,"expression_0,idle",,,,,,
d_nikke_crow_01_75,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_75,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_76,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_76,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_77,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_77,True,,7,7,1.0,,crow,,7,idle,,,,,,
d_nikke_crow_01_78,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_78,True,,7,70,2.0,,crow,,7,smile,,,,,,
d_nikke_crow_01_79,d_nikke_crow_01,Speech,crow,Locale_NikkeEpisode:d_nikke_crow_01_79,True,,70,70,1.0,,crow,,7,smile,,,,,,
