id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,conversation_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_n102_03_12,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_12,True,,1,1,1.0,,,,,,5,delight,n102
d_nikke_n102_03_13,d_nikke_n102_03,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_03_13,True,City_d,black,black,1.0,,,,,n102,12,delight,n102
d_nikke_n102_03_14,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_14,False,,1,1,1.0,bgm_story_backtonormal,black,,,n102,2,delight,
d_nikke_n102_03_15,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_15,False,,1,1,1.0,,,,,,2,delight,
d_nikke_n102_03_16,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_16,False,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_03_17,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_17,False,,1,1,1.0,,,,,,1,think,
d_nikke_n102_03_18,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_18,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_03_19,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_19,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_03_20,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_20,False,,1,1,1.0,,,,,,1,think,
d_nikke_n102_03_21,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_21,True,,1,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_22,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_22,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_23,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_23,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_24,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_24,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_25,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_25,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_26,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_26,False,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_27,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_27,True,,XS_10,1,1.0,,,,,,1,think,
d_nikke_n102_03_28,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_28,False,,1,1,1.0,,,,,,1,think,
d_nikke_n102_03_29,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_29,False,,1,1,1.0,,,,,,1,think,
d_nikke_n102_03_30,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_30,False,,1,1,1.0,,,,,,1,think,
d_nikke_n102_03_31,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_31,False,,1,1,1.0,,,,,,1,think,
d_nikke_n102_03_32,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_32,False,,1,1,1.0,,,,,,1,think,
d_nikke_n102_03_33,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_33,True,,1,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_34,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_34,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_35,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_35,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_36,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_36,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_37,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_37,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_38,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_38,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_39,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_39,True,,XS_10,XS_10,1.0,,,,,,1,pain,
d_nikke_n102_03_40,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_40,True,,XS_10,XS_10,1.0,,,,,,1,pain,
d_nikke_n102_03_41,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_41,False,,XS_10,XS_10,1.0,,,,,,1,pain,
d_nikke_n102_03_42,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_42,True,,XS_10,XS_10,1.0,,,,,,1,pain,
d_nikke_n102_03_43,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_43,False,,black,black,1.0,,,,,,1,pain,
d_nikke_n102_03_44,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_44,True,,XS_10,XS_10,1.0,,,,,,1,pain,
d_nikke_n102_03_45,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_45,False,,XS_10,XS_10,1.0,,,,,,1,pain,
d_nikke_n102_03_46,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_46,True,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_47,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_47,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_nikke_n102_03_48,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_48,True,,XS_10,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_03_49,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_49,False,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_03_50,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_50,True,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_03_51,d_nikke_n102_03,Self,n102,Self,Locale_NikkeEpisode:d_nikke_n102_03_51,False,,XS_100,XS_100,1.0,,,,,,1,delight,
d_nikke_n102_03_52,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_52,True,FastFood,XS_10,XS_10,1.0,,black,,,,1,delight,
d_nikke_n102_03_53,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_53,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_54,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_54,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_55,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_55,True,Cafe,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_56,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_56,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_57,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_57,True,City,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_58,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_58,True,,XS_10,XS_10,1.0,,,,,,1,delight,
d_nikke_n102_03_59,d_nikke_n102_03,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_03_59,False,,XS_10,XS_10,1.0,,,sfx_scn_smallalarm,,,1,delight,
d_nikke_n102_03_60,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_60,False,,XS_10,1,1.0,,,,,,1,delight,
d_nikke_n102_03_61,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_61,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_03_62,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_62,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_03_63,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_63,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_03_64,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_64,True,,1,1,1.0,,,,,,1,delight,
d_nikke_n102_03_65,d_nikke_n102_03,Speech,n102,n102,Locale_NikkeEpisode:d_nikke_n102_03_65,True,,1,1,1.0,none,,,,,5,delight,
d_nikke_n102_03_66,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_66,False,,1,1,1.0,,,,,,5,delight,n102
d_nikke_n102_03_67,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_67,False,none,1,1,1.0,,,,,,,,
d_nikke_n102_03_68,d_nikke_n102_03,Narration,n102,Narration,Locale_NikkeEpisode:d_nikke_n102_03_68,False,,black,black,1.0,bgm_story_trauma,,sfx_scn_phonevibration,m_nikke_n102_03,,,,
d_nikke_n102_03_69,d_nikke_n102_03,Monologue,n102,Monologue,Locale_NikkeEpisode:d_nikke_n102_03_69,False,,black,black,1.0,,,,,,,,
