id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake
s003_14_19,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_19,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_20,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_20,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_21,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_21,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_22,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_22,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_23,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_23,True,,2,idle_02,,12,delight,,1,1,1.3,,,,,,
s003_14_24,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_24,True,,2,idle_02,,12,delight,,1,1,1.0,,,,,,
s003_14_25,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_25,True,,2,idle_02,,12,delight,,1,1,1.0,,,,,,
s003_14_26,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_26,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_27,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_27,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_28,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_28,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_29,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_29,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_30,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_30,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_31,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_31,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_32,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_32,True,,2,worry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_33,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_33,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_34,s003_14,Narration,,,Locale_SideStory:s003_14_34,False,,2,idle_02,,12,idle,SilentBeach_d,black,black,1.0,,black,,,,
s003_14_35,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_35,True,,2,idle_02,,12,idle,,S_20,S_20,1.0,,,,,,
s003_14_36,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_36,True,,2,idle_02,,12,idle,,S_20,S_20,1.0,,,,,,
s003_14_37,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_37,True,,2,idle_02,,12,idle,,S_20,1,1.3,,,,,,
s003_14_38,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_38,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_39,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_39,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_40,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_40,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_41,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_41,True,,2,angry_02,,12,delight,,1,1,1.0,,,,,,
s003_14_42,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_42,True,,2,angry_02,,12,delight,,1,1,1.0,,,,,,
s003_14_43,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_43,True,,2,idle_02,,12,delight,,1,1,1.0,,,,,,
s003_14_44,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_44,True,,2,angry_02,,12,delight,,1,1,1.0,,,,,,
s003_14_45,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_45,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_46,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_46,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_47,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_47,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_48,s003_14,Monologue,lev,,Locale_SideStory:s003_14_48,False,,2,angry_02,,12,idle,EventScene_Side_03_02_2,black,black,1.0,,,lev,littlemermaid,,
s003_14_49,s003_14,Narration,lev,,Locale_SideStory:s003_14_49,False,,,,,,,,1,1,1.0,,,,,sfx_scn_tsunamiquakefar,Low_2
s003_14_50,s003_14,Monologue,lev,,Locale_SideStory:s003_14_50,False,,,,,,,,1,1,1.0,,,,,,
s003_14_51,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_51,True,,,,,,,,1,1,1.0,,,,,,
s003_14_52,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_52,False,,,,,,,,1,1,1.0,,,,,,
s003_14_53,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_53,True,,,,,,,,1,1,1.0,,,,,,
s003_14_54,s003_14,Monologue,lev,,Locale_SideStory:s003_14_54,False,,,,,,,,1,1,1.0,,,,,,
s003_14_55,s003_14,Narration,lev,,Locale_SideStory:s003_14_55,False,,,,,,,,1,Mudfish_10,1.5,,,,,sfx_scn_earthquake,Low_2
s003_14_56,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_56,False,,,,,,,,Mudfish_10,Mudfish_10,1.0,,,,,,
s003_14_57,s003_14,Monologue,lev,,Locale_SideStory:s003_14_57,False,,,,,,,,Mudfish_10,Mudfish_10,1.0,,,,,,
s003_14_58,s003_14,Narration,lev,,Locale_SideStory:s003_14_58,False,,,,,,,EventScene_Side_03_02_3,black,black,1.0,none,,,,,
s003_14_59,s003_14,Monologue,lev,,Locale_SideStory:s003_14_59,False,,,,,,,,Mudfish_10,1,1.5,,,,,,
s003_14_60,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_60,True,,,,,,,,1,1,1.0,,,,,,
s003_14_61,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_61,True,,,,,,,,1,1,1.0,,,,,,
s003_14_62,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_62,False,,,,,,,,1,1,1.0,,,,,,
s003_14_63,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_63,True,,,,,,,,1,1,1.0,,,,,,
s003_14_64,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_64,True,,,,,,,,1,1,1.0,,,,,,
s003_14_65,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_65,True,,,,,,,,1,1,1.0,,,,,,
s003_14_66,s003_14,Monologue,lev,,Locale_SideStory:s003_14_66,False,,,,,,,EventScene_Side_03_02_4,black,black,1.0,,,,,,
s003_14_67,s003_14,Narration,lev,,Locale_SideStory:s003_14_67,False,,,,,,,,Mudfish_11,Mudfish_23,0.7,bgm_disaster,,,,sfx_scn_groundbreak,Low_2
s003_14_68,s003_14,Monologue,lev,,Locale_SideStory:s003_14_68,False,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_69,s003_14,Monologue,lev,,Locale_SideStory:s003_14_69,False,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_70,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_70,True,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_71,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_71,True,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_72,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_72,True,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_73,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_73,True,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_74,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_74,True,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_75,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_75,True,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
s003_14_76,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_76,True,,,,,,,,Mudfish_23,Mudfish_23,1.0,,,,,,
