id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,characters/2/hide_char_id
s001_13_50,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_50,True,,1,surprise,,3,void,,,,,31,31,1.0,,,,
s001_13_51,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_51,True,,1,idle,,3,void,,,,,31,31,1.0,,,,
s001_13_52,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_52,True,,1,idle,,3,void,,,,,31,31,1.0,,,,
s001_13_53,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_53,True,,1,idle,,3,void,,,,,31,31,1.0,,,,
s001_13_54,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_54,False,,1,idle,,3,void,,,,,31,10,1.0,,,,
s001_13_55,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_55,True,,1,idle,,3,void,,,,,10,10,1.0,,,,
s001_13_56,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_56,True,,1,idle,,3,void,,,,,10,XXS_30,1.5,,,,
s001_13_57,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_57,True,,1,idle,,3,void,,,,,XXS_30,XXS_30,1.0,,,,
s001_13_58,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_58,True,,1,idle,,3,void,,,,,XXS_30,XXS_300,1.0,,,,
s001_13_59,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_59,True,,1,idle,,3,void,,,,,XXS_300,100,1.5,,,,
s001_13_60,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_60,True,,1,idle,,3,void,,,,,100,100,1.0,,,,
s001_13_61,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_61,True,,1,idle,,3,void,,,,,100,100,1.0,,,,
s001_13_62,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_62,True,,1,idle,,3,void,,,,,100,10,1.0,,,,
s001_13_63,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_63,True,,1,idle,,3,void,,,,,10,10,1.0,,,,
s001_13_64,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_64,True,,1,idle,,3,void,,,,,10,31,1.0,,,,
s001_13_65,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_65,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,
s001_13_66,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_66,True,,1,delight,,3,idle,,,,,31,31,1.0,,,,
s001_13_67,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_67,True,,1,delight,,3,idle,,,,,31,31,1.0,,,,
s001_13_68,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_68,True,,1,delight,,3,sad,,,,,31,31,1.0,,,,
