id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,play_ambient,ambient_volume,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
s001_06_32,s001_06,Narration,Locale_SideStory:s001_06_32,False,,30,53,1.0,,hongryeon,,sfx_scn_cuttingmeatfast,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_33,s001_06,Narration,Locale_SideStory:s001_06_33,False,,53,53,1.0,,rapunzel,,sfx_scn_skewer,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_34,s001_06,Narration,Locale_SideStory:s001_06_34,False,,53,53,1.0,,rapunzel,,sfx_scn_stabground,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_35,s001_06,Speech,Locale_SideStory:s001_06_35,True,,53,53,1.0,,hongryeon,hongryeon,,ambient_scn_burnsilent,80.0,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_36,s001_06,Speech,Locale_SideStory:s001_06_36,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_37,s001_06,Speech,Locale_SideStory:s001_06_37,True,,53,31,1.0,,rapunzel,rapunzel,,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_38,s001_06,Speech,Locale_SideStory:s001_06_38,True,,31,31,1.0,,marian_p,marian_p,,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_39,s001_06,Speech,Locale_SideStory:s001_06_39,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_40,s001_06,Speech,Locale_SideStory:s001_06_40,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_41,s001_06,Speech,Locale_SideStory:s001_06_41,False,,31,31,1.0,,marian_p,marian_p,,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_42,s001_06,Speech,Locale_SideStory:s001_06_42,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_43,s001_06,Narration,Locale_SideStory:s001_06_43,False,,31,10,1.5,none,marian_p,,,,,Blur_Low,Vignetting,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_44,s001_06,Narration,Locale_SideStory:s001_06_44,False,,10,100,2.0,,marian_p,,,,,Blur_Low,Vignetting,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_45,s001_06,Narration,Locale_SideStory:s001_06_45,False,,black,black,1.0,,marian_p,,,none,,,,,15,sad2,,,3,idle,snowwhite,1,idle,snowwhite,,5,idle
s001_06_46,s001_06,Speech,Locale_SideStory:s001_06_46,False,,53,53,1.0,event_bgm_wm_grassland,marian_p,marian_p,,,,,,,15,sad2,,,3,idle,,,,,,5,idle
s001_06_47,s001_06,Speech,Locale_SideStory:s001_06_47,True,,53,53,1.0,,hongryeon,hongryeon,,,,,,,15,sad2,marian_p,,3,idle,,,,,,5,idle
s001_06_48,s001_06,Speech,Locale_SideStory:s001_06_48,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,idle
s001_06_49,s001_06,Speech,Locale_SideStory:s001_06_49,True,,53,53,1.0,,hongryeon,hongryeon,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_50,s001_06,Speech,Locale_SideStory:s001_06_50,True,,53,53,1.0,,hongryeon,hongryeon,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_51,s001_06,Speech,Locale_SideStory:s001_06_51,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_52,s001_06,Speech,Locale_SideStory:s001_06_52,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_53,s001_06,Speech,Locale_SideStory:s001_06_53,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_54,s001_06,Speech,Locale_SideStory:s001_06_54,True,,53,53,1.0,,hongryeon,hongryeon,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_55,s001_06,Speech,Locale_SideStory:s001_06_55,True,,53,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_56,s001_06,Speech,Locale_SideStory:s001_06_56,True,,30,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_57,s001_06,Speech,Locale_SideStory:s001_06_57,True,,30,300,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_58,s001_06,Speech,Locale_SideStory:s001_06_58,True,,300,300,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_59,s001_06,Speech,Locale_SideStory:s001_06_59,True,,500,500,1.0,,hongryeon,hongryeon,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_60,s001_06,Speech,Locale_SideStory:s001_06_60,False,,300,300,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,no,,,,,,5,no
s001_06_61,s001_06,Speech,Locale_SideStory:s001_06_61,True,,300,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,no,,,,,,5,no
s001_06_62,s001_06,Speech,Locale_SideStory:s001_06_62,True,,30,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,no,,,,,,5,no
s001_06_63,s001_06,Speech,Locale_SideStory:s001_06_63,True,,30,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,no,,,,,,5,no
s001_06_64,s001_06,Speech,Locale_SideStory:s001_06_64,True,,30,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_65,s001_06,Speech,Locale_SideStory:s001_06_65,True,,30,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_66,s001_06,Speech,Locale_SideStory:s001_06_66,True,,30,53,1.0,,hongryeon,hongryeon,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_67,s001_06,Speech,Locale_SideStory:s001_06_67,True,,53,53,1.0,,hongryeon,hongryeon,,,,,,,,,,,3,sad,,,,,,5,no
s001_06_68,s001_06,Speech,Locale_SideStory:s001_06_68,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,idle,,,,,,5,no
s001_06_69,s001_06,Speech,Locale_SideStory:s001_06_69,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,idle,,,,,,5,no
s001_06_70,s001_06,Speech,Locale_SideStory:s001_06_70,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,idle,,,,,,5,no
s001_06_71,s001_06,Speech,Locale_SideStory:s001_06_71,True,,53,53,1.0,,hongryeon,hongryeon,,,,,,,,,,,3,idle,,,,,,5,idle
s001_06_72,s001_06,Speech,Locale_SideStory:s001_06_72,True,,53,31,1.0,,snowwhite,snowwhite,,,,,,,,,,,3,idle,snowwhite,1,special,,,5,idle
s001_06_73,s001_06,Speech,Locale_SideStory:s001_06_73,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_74,s001_06,Speech,Locale_SideStory:s001_06_74,False,,31,1,1.0,,snowwhite,snowwhite,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_75,s001_06,Speech,Locale_SideStory:s001_06_75,True,,1,10,1.0,,snowwhite,snowwhite,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_76,s001_06,Speech,Locale_SideStory:s001_06_76,True,,10,30,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_77,s001_06,Speech,Locale_SideStory:s001_06_77,True,,30,31,1.0,,snowwhite,snowwhite,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_78,s001_06,Speech,Locale_SideStory:s001_06_78,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_79,s001_06,Speech,Locale_SideStory:s001_06_79,True,,31,31,1.0,,snowwhite,snowwhite,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_80,s001_06,Speech,Locale_SideStory:s001_06_80,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,,,,,3,sad,,1,special,,,5,idle
s001_06_81,s001_06,Speech,Locale_SideStory:s001_06_81,True,,31,31,1.0,,snowwhite,snowwhite,,,,,,,,,,,3,sad,,1,shy,,,5,idle
