id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
s003_11_23,s003_11,Speech,lev,Locale_SideStory:s003_11_23,True,,2,idle_02,,12,delight,,1,1,1.0,,lev
s003_11_24,s003_11,Speech,lev,Locale_SideStory:s003_11_24,True,,2,idle_02,,12,delight,,1,1,1.0,,lev
s003_11_25,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_25,True,,2,idle_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_26,s003_11,Speech,lev,Locale_SideStory:s003_11_26,True,,2,idle_02,,12,delight,,1,1,1.0,,lev
s003_11_27,s003_11,Narration,lev,Locale_SideStory:s003_11_27,False,,2,idle_02,,12,delight,,1,1,1.0,,
s003_11_28,s003_11,Speech,lev,Locale_SideStory:s003_11_28,True,,2,idle_02,,12,delight,,1,1,1.0,,lev
s003_11_29,s003_11,Monologue,lev,Locale_SideStory:s003_11_29,False,,2,idle_02,,12,delight,,1,1,1.0,,
s003_11_30,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_30,True,,2,idle_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_31,s003_11,Speech,lev,Locale_SideStory:s003_11_31,True,,2,idle_02,,12,delight,,1,1,1.0,,lev
s003_11_32,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_32,True,,2,idle_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_33,s003_11,Speech,lev,Locale_SideStory:s003_11_33,True,,2,idle_02,,12,delight,,1,S_20,1.3,,lev
s003_11_34,s003_11,Speech,lev,Locale_SideStory:s003_11_34,False,,2,idle_02,,12,idle,,S_20,S_20,1.0,,littlemermaid
s003_11_35,s003_11,Speech,lev,Locale_SideStory:s003_11_35,True,,2,idle_02,,12,idle,,S_20,S_20,1.0,,lev
s003_11_36,s003_11,Speech,lev,Locale_SideStory:s003_11_36,False,,2,idle_02,,12,surprise,,S_20,S_20,1.0,,littlemermaid
s003_11_37,s003_11,Speech,lev,Locale_SideStory:s003_11_37,True,,2,idle_02,,12,surprise,,S_20,S_20,1.0,,lev
s003_11_38,s003_11,Speech,lev,Locale_SideStory:s003_11_38,True,,2,delight_02,,12,surprise,,S_20,S_20,1.0,,lev
s003_11_39,s003_11,Speech,lev,Locale_SideStory:s003_11_39,True,,2,delight_02,,12,surprise,,S_20,S_20,1.0,,lev
s003_11_40,s003_11,Speech,lev,Locale_SideStory:s003_11_40,True,,2,delight_02,,12,surprise,,S_20,S_20,1.0,,lev
s003_11_41,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_41,True,,2,delight_02,,12,idle,,S_20,L_120,1.3,,littlemermaid
s003_11_42,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_42,True,,2,delight_02,,12,idle,,L_120,L_120,1.0,,littlemermaid
s003_11_43,s003_11,Speech,lev,Locale_SideStory:s003_11_43,True,,2,delight_02,,12,idle,,L_120,1,1.3,,lev
s003_11_44,s003_11,Speech,lev,Locale_SideStory:s003_11_44,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_45,s003_11,Speech,lev,Locale_SideStory:s003_11_45,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_46,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_46,True,,2,delight_02,,12,idle,,1,1,1.0,,littlemermaid
s003_11_47,s003_11,Speech,lev,Locale_SideStory:s003_11_47,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_48,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_48,True,,2,delight_02,,12,idle,,1,1,1.0,,littlemermaid
s003_11_49,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_49,True,,2,delight_02,,12,idle,,1,1,1.0,,littlemermaid
s003_11_50,s003_11,Speech,lev,Locale_SideStory:s003_11_50,True,,2,angry_02,,12,idle,,1,1,1.0,,lev
s003_11_51,s003_11,Speech,lev,Locale_SideStory:s003_11_51,True,,2,angry_02,,12,idle,,1,1,1.0,,lev
s003_11_52,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_52,True,,2,angry_02,,12,think,,1,1,1.0,,littlemermaid
s003_11_53,s003_11,Speech,lev,Locale_SideStory:s003_11_53,True,,2,idle_02,,12,think,,1,1,1.0,,lev
s003_11_54,s003_11,Speech,lev,Locale_SideStory:s003_11_54,True,,2,idle_02,,12,think,,1,1,1.0,,lev
s003_11_55,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_55,True,,2,idle_02,,12,idle,,1,1,1.0,,littlemermaid
s003_11_56,s003_11,Speech,lev,Locale_SideStory:s003_11_56,True,,2,idle_02,,12,idle,,1,1,1.0,,lev
s003_11_57,s003_11,Speech,lev,Locale_SideStory:s003_11_57,True,,2,idle_02,,12,idle,,1,1,1.0,,lev
s003_11_58,s003_11,Speech,lev,Locale_SideStory:s003_11_58,True,,2,idle_02,,12,idle,,1,1,1.0,,lev
s003_11_59,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_59,True,,2,idle_02,,12,think,,1,1,1.0,,littlemermaid
s003_11_60,s003_11,Speech,lev,Locale_SideStory:s003_11_60,True,,2,idle_02,,12,think,,1,1,1.0,,lev
s003_11_61,s003_11,Speech,lev,Locale_SideStory:s003_11_61,True,,2,idle_02,,12,think,,1,1,1.0,,lev
s003_11_62,s003_11,Speech,lev,Locale_SideStory:s003_11_62,True,,2,idle_02,,12,think,,1,1,1.0,,lev
s003_11_63,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_63,True,,2,idle_02,,12,idle,,1,1,1.0,,littlemermaid
s003_11_64,s003_11,Speech,lev,Locale_SideStory:s003_11_64,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_65,s003_11,Speech,lev,Locale_SideStory:s003_11_65,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_66,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_66,True,,2,delight_02,,12,idle,,1,1,1.0,,littlemermaid
s003_11_67,s003_11,Speech,lev,Locale_SideStory:s003_11_67,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_68,s003_11,Speech,lev,Locale_SideStory:s003_11_68,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_69,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_69,True,,2,delight_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_70,s003_11,Speech,lev,Locale_SideStory:s003_11_70,True,,2,delight_02,,12,delight,,1,S_20,1.3,,lev
s003_11_71,s003_11,Monologue,lev,Locale_SideStory:s003_11_71,False,,2,delight_02,,12,delight,,S_20,S_20,1.0,,
s003_11_72,s003_11,Speech,lev,Locale_SideStory:s003_11_72,True,,2,delight_02,,12,delight,,S_20,S_20,1.0,,lev
s003_11_73,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_73,True,,2,delight_02,,12,delight,,S_20,L_120,1.3,,littlemermaid
