id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
s001_14_b3_e_16,s001_14_b3_e,Speech,marian_p,crown,Locale_SideStory:s001_14_b3_e_16,True,,black,black,1.0,bgm_intotheswarm_a,,,,1,angry,,chime,15,idle,crown,13,idle,
s001_14_b3_e_17,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_17,False,,black,black,1.0,,,,,1,surprise,,,15,idle,,13,idle,
s001_14_b3_e_18,s001_14_b3_e,Narration,crown,,Locale_SideStory:s001_14_b3_e_18,False,,19,1315,1.0,,,,,1,surprise,,,15,idle,,13,idle,
s001_14_b3_e_19,s001_14_b3_e,Narration,crown,,Locale_SideStory:s001_14_b3_e_19,False,,1315,1315,1.0,,sfx_scn_smash,,,1,surprise,,,15,idle,,13,idle,
s001_14_b3_e_20,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_20,True,,10,100,0.7,,,,,1,surprise,,,15,idle,,13,idle,
s001_14_b3_e_21,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_21,True,,130,1300,0.7,,,,,1,surprise,,,15,idle,,13,idle,
s001_14_b3_e_22,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_22,True,,XXS_150,XXS_1500,0.7,,,,,1,surprise,,,15,idle,,13,idle,
s001_14_b3_e_23,s001_14_b3_e,Narration,chime,,Locale_SideStory:s001_14_b3_e_23,False,,XXS_1500,XXS_1500,1.0,,sfx_scn_explosions,,,1,sad2,,,15,idle,,13,idle,
s001_14_b3_e_24,s001_14_b3_e,Narration,chime,,Locale_SideStory:s001_14_b3_e_24,False,,black,black,1.0,,sfx_scn_machinestoplarge,,,1,sad2,,,15,idle,,13,idle,
s001_14_b3_e_25,s001_14_b3_e,Narration,chime,,Locale_SideStory:s001_14_b3_e_25,False,,black,black,1.0,,sfx_scn_rapturelandingmany,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_26,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_26,False,,100,100,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_27,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_27,True,,XXS_300,XXS_300,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_28,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_28,True,,1300,1300,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_29,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_29,True,,100,100,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_30,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_30,True,,1300,1300,1.0,none,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_31,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_31,True,,1300,130,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_32,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_32,True,,10,10,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_33,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_33,True,,10,113,1.0,bgm_frostpillar,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_34,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_34,True,,113,113,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_35,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_35,True,,113,113,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_36,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_36,False,,113,113,1.0,,,,,1,sad2,,,3,idle,,13,idle,
s001_14_b3_e_37,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_37,True,,113,31,1.0,,,,,1,sad2,,,3,angry_02,,13,idle,
s001_14_b3_e_38,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_38,True,,31,31,1.0,,,,,1,sad2,,,3,angry_02,,13,idle,
s001_14_b3_e_39,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_39,True,,31,31,1.0,,,,,1,idle,,,3,angry_02,,13,idle,
s001_14_b3_e_40,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_40,True,,31,31,1.0,,,,,1,idle,,,3,angry_02,,13,idle,
s001_14_b3_e_41,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_41,True,,31,31,1.0,,,,,1,delight,,,3,angry_02,,13,idle,
s001_14_b3_e_42,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_42,True,,31,10,1.0,,,,,1,delight,,,3,angry_02,,13,idle,
s001_14_b3_e_43,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_43,True,,10,10,1.0,,,,,1,delight,,,3,angry_02,,13,idle,
s001_14_b3_e_44,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_44,True,,10,10,1.0,,,,,1,delight,,,3,angry_02,,13,idle,
s001_14_b3_e_45,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_45,True,,XXS_300,XXS_300,1.0,,,,,1,delight,,,3,angry,,13,idle,
s001_14_b3_e_46,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_46,True,,1300,1300,1.0,,,,,1,delight,,,3,angry,,13,idle,
s001_14_b3_e_47,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_47,True,,100,100,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_48,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_48,True,,100,10,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_49,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_49,True,,10,10,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_50,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_50,True,,10,10,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_51,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_51,True,,10,10,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_52,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_52,True,,10,10,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_53,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_53,True,,10,100,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_54,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_54,True,,100,100,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_55,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_55,False,,black,black,1.0,,sfx_scn_regeneration,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_56,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_56,False,,XXS_30,XXS_300,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_57,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_57,False,,black,black,1.0,,,,,1,idle,,,3,void,,13,idle,
s001_14_b3_e_58,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_58,False,,black,black,1.0,,,,,1,idle,marian_p,,3,void,,13,idle,
s001_14_b3_e_59,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_59,True,,XXS_300,XXS_300,1.0,,,,,,,,,3,void,,13,idle,
s001_14_b3_e_60,s001_14_b3_e,Speech,crown,crown,Locale_SideStory:s001_14_b3_e_60,True,,1300,1300,1.0,,,,,,,,,3,void,,13,idle,
s001_14_b3_e_61,s001_14_b3_e,Narration,marian_q,,Locale_SideStory:s001_14_b3_e_61,False,,black,black,1.0,none,sfx_scn_breakdoll,,,,,,,5,void,,13,idle,crown
s001_14_b3_e_62,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_62,False,,black,black,1.0,,,,marian_q,1,idle,,,5,void,,,,
s001_14_b3_e_63,s001_14_b3_e,Speech,chime,chime,Locale_SideStory:s001_14_b3_e_63,True,,XXS_500,XXS_500,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_64,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_64,True,,100,10,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_65,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_65,True,,10,10,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_66,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_66,True,,10,10,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_67,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_67,True,,10,1,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_68,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_68,True,,1,1,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_69,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_69,True,,1,1,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_70,s001_14_b3_e,Speech,marian_q,marian_q,Locale_SideStory:s001_14_b3_e_70,True,,1,10,1.0,,,,,1,idle,,,5,void,,,,
s001_14_b3_e_71,s001_14_b3_e,Narration,,,Locale_SideStory:s001_14_b3_e_71,False,,black,black,1.0,,,,,1,idle,,,5,void,,,,
