id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,play_ambient,ambient_volume,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
s002_12_53,s002_12,Speech,Locale_SideStory:s002_12_53,True,,yunimiharasad_03,yunimiharasad_03,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_54,s002_12,Speech,Locale_SideStory:s002_12_54,True,,yunimiharasad_03,yunimiharasad_03,1.0,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_55,s002_12,Speech,Locale_SideStory:s002_12_55,True,,yunimiharasad_03,yunimiharasad_04,1.5,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_56,s002_12,Speech,Locale_SideStory:s002_12_56,True,,yunimiharasad_04,yunimiharasad_04,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_57,s002_12,Speech,Locale_SideStory:s002_12_57,True,,yunimiharasad_04,yunimiharasad_04,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_58,s002_12,Speech,Locale_SideStory:s002_12_58,True,,yunimiharasad_04,yunimiharasad_04,1.0,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_59,s002_12,Speech,Locale_SideStory:s002_12_59,True,,yunimiharasad_04,yunimiharasad_04,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_60,s002_12,Speech,Locale_SideStory:s002_12_60,True,,yunimiharasad_04,yunimiharasad_03,1.5,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_61,s002_12,Speech,Locale_SideStory:s002_12_61,True,,yunimiharasad_03,yunimiharasad_03,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_62,s002_12,Speech,Locale_SideStory:s002_12_62,True,,yunimiharasad_03,yunimiharasad_03,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_63,s002_12,Speech,Locale_SideStory:s002_12_63,True,,yunimiharasad_03,yunimiharasad_02,1.5,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
