id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
s001_07_22,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_22,True,,31,31,1.0,,,,1,surprise,,3,special,,5,surprise,,7,surprise
s001_07_23,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_23,True,,31,31,1.0,,,,1,surprise,,3,special,,5,surprise,,7,surprise
s001_07_24,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_24,True,,31,31,1.0,,,,1,delight,,3,special,,5,surprise,,7,surprise
s001_07_25,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_25,True,,31,75,2.0,,,,1,delight,,3,special,,5,surprise,,7,surprise
s001_07_26,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_26,True,,75,75,1.0,,,,1,delight,,3,special,,5,surprise,,7,surprise
s001_07_27,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_27,True,,75,75,1.0,,,,1,delight,,3,special,,5,sad,,7,surprise
s001_07_28,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_28,False,,300,300,1.0,,,,1,delight,,3,special,,5,sad,,7,surprise
s001_07_29,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_29,True,,100,100,1.0,,,,1,delight,,3,special,,5,idle,,7,surprise
s001_07_30,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_30,True,,100,31,1.0,,,,1,delight,,3,special,,5,idle,,7,idle
s001_07_31,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_31,True,,31,31,1.0,,,,1,delight,,3,special,,5,idle,,7,idle
s001_07_32,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_32,True,,31,31,1.0,,,,1,delight,,3,special,,5,idle,,7,idle
s001_07_33,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_33,True,,31,31,1.0,,,,1,surprise,,3,special,,5,idle,,7,idle
s001_07_34,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_34,True,,31,31,1.0,,,,1,surprise,,3,special,,5,idle,,7,idle
s001_07_35,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_35,False,,31,31,1.0,,,,1,surprise,,3,special,,5,idle,,7,idle
s001_07_36,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_36,True,,31,53,1.0,,,,1,surprise,,3,special,,5,idle,,7,idle
s001_07_37,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_37,True,,53,53,1.0,,,,1,surprise,,3,special,,5,idle,,7,idle
s001_07_38,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_38,True,,53,53,1.0,,,,1,surprise,,3,special,,5,idle,,7,idle
s001_07_39,s001_07,Narration,rapunzel,,Locale_SideStory:s001_07_39,False,,black,black,1.0,none,,,1,surprise,,3,special,,5,idle,,7,idle
s001_07_40,s001_07,Narration,rapunzel,,Locale_SideStory:s001_07_40,False,,black,black,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_41,s001_07,Narration,rapunzel,,Locale_SideStory:s001_07_41,False,,black,black,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_42,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_42,True,,70,70,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_43,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_43,True,,30,30,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_44,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_44,True,,30,30,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_45,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_45,True,,70,70,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_46,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_46,True,,70,50,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_47,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_47,True,,50,50,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_48,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_48,True,,50,50,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_49,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_49,True,,50,50,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_50,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_50,True,,50,50,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_51,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_51,True,,50,50,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_52,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_52,True,,50,53,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_53,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_53,True,,53,53,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_54,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_54,False,,53,53,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_55,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_55,True,,70,70,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_56,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_56,True,,30,30,1.0,,,,1,idle,,3,idle,,5,sad,,7,idle
s001_07_57,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_57,True,,30,75,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_58,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_58,True,,75,75,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_59,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_59,True,,30,30,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_60,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_60,True,,70,70,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
s001_07_61,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_61,True,,70,700,1.0,,,,1,idle,,3,idle,,5,idle,,7,idle
