id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,set_filter_02,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade
s003_08_34,s003_08,Monologue,Locale_SideStory:s003_08_34,False,,4,4,1.0,,Grey,,,,,,12,idle,massproduction01,,,,,,,,,,
s003_08_35,s003_08,Speech,Locale_SideStory:s003_08_35,False,,4,12,1.5,,Grey,,,lev,,,12,idle,massproduction01,,,,,,,,,,
s003_08_36,s003_08,Monologue,Locale_SideStory:s003_08_36,False,,12,12,1.0,,Grey,,,,,,12,idle,massproduction01,,,,,,,,,,
s003_08_37,s003_08,Speech,Locale_SideStory:s003_08_37,False,,12,120,1.3,,Grey,,,massproduction01,,,12,idle,massproduction01,,,,,,,,,,
s003_08_38,s003_08,Monologue,Locale_SideStory:s003_08_38,False,,120,120,1.0,,Grey,,,,,,12,idle,massproduction01,,,,,,,,,,
s003_08_39,s003_08,Speech,Locale_SideStory:s003_08_39,True,,120,120,1.0,,Grey,,,lev,,,12,idle,lev,,,,,,,,,,
s003_08_40,s003_08,Monologue,Locale_SideStory:s003_08_40,False,,120,1200,1.3,,Grey,,,,,,12,idle,lev,,,,,,,,,,
s003_08_41,s003_08,Speech,Locale_SideStory:s003_08_41,True,,1200,120,0.7,,Grey,,,massproduction01,,,12,idle,massproduction01,,,,,,,,,,
s003_08_42,s003_08,Monologue,Locale_SideStory:s003_08_42,False,,120,120,1.0,,Grey,,,,,,12,idle,massproduction01,,,,,,,,,,
s003_08_43,s003_08,Monologue,Locale_SideStory:s003_08_43,False,,black,black,1.0,,Grey,,,,,,12,idle,massproduction01,massproduction01,,,,,,,,,
s003_08_44,s003_08,Monologue,Locale_SideStory:s003_08_44,False,,black,black,1.0,,Grey,,,,,,,,massproduction01,,,,,,,,,,
s003_08_45,s003_08,Speech,Locale_SideStory:s003_08_45,True,,100,100,1.0,,Grey,,,lev,,,,,,,,,,,,,,,
s003_08_46,s003_08,Narration,Locale_SideStory:s003_08_46,False,,100,1,1.0,,Grey,sfx_scn_darkwater,,,,,,,,,,,,,,,,,
s003_08_47,s003_08,Speech,Locale_SideStory:s003_08_47,False,,1,1,1.0,,Grey,,,lev,,,,,,,,,,,,,,,
s003_08_48,s003_08,Monologue,Locale_SideStory:s003_08_48,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_49,s003_08,Speech,Locale_SideStory:s003_08_49,True,,1,1,1.0,,Grey,,,lev,,,,,,,,,,,,,,,
s003_08_50,s003_08,Monologue,Locale_SideStory:s003_08_50,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_51,s003_08,Narration,Locale_SideStory:s003_08_51,False,,black,black,1.0,,Grey,sfx_scn_darkwater,,,,,,,,,,,,,,,,,
s003_08_52,s003_08,Speech,Locale_SideStory:s003_08_52,True,,2,2,1.0,,Grey,,,lev,,,,,,,,,,,,,,,
s003_08_53,s003_08,Monologue,Locale_SideStory:s003_08_53,False,,2,2,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_54,s003_08,Speech,Locale_SideStory:s003_08_54,True,,2,S_20,1.3,,Grey,,,lev,,,,,,,,,,,,,,,
s003_08_55,s003_08,Monologue,Locale_SideStory:s003_08_55,False,,S_20,S_20,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_56,s003_08,Monologue,Locale_SideStory:s003_08_56,False,,S_20,S_20,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_57,s003_08,Monologue,Locale_SideStory:s003_08_57,False,,S_20,S_20,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_58,s003_08,Speech,Locale_SideStory:s003_08_58,True,,S_20,S_200,1.5,,Grey,,,lev,,lev,2,surprise,,,,,,,,,,,
s003_08_59,s003_08,Monologue,Locale_SideStory:s003_08_59,False,,S_200,S_200,1.0,,Grey,,,,,,2,surprise,,,,,,,,,,,
s003_08_60,s003_08,Speech,Locale_SideStory:s003_08_60,True,,S_200,S_20,1.3,,Grey,,,lev,,,2,pain,lev,,,,,,,,,,
s003_08_61,s003_08,Speech,Locale_SideStory:s003_08_61,True,,S_20,S_20,1.0,,Grey,,,lev,,,2,pain,lev,,,,,,,,,,
s003_08_62,s003_08,Speech,Locale_SideStory:s003_08_62,True,,black,black,1.0,,Grey,,,lev,,,2,pain,lev,,,,,,,,,,
s003_08_63,s003_08,Monologue,Locale_SideStory:s003_08_63,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_64,s003_08,Monologue,Locale_SideStory:s003_08_64,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_65,s003_08,Monologue,Locale_SideStory:s003_08_65,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_66,s003_08,Monologue,Locale_SideStory:s003_08_66,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_67,s003_08,Monologue,Locale_SideStory:s003_08_67,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_68,s003_08,Monologue,Locale_SideStory:s003_08_68,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_69,s003_08,Monologue,Locale_SideStory:s003_08_69,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_70,s003_08,Monologue,Locale_SideStory:s003_08_70,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_71,s003_08,Monologue,Locale_SideStory:s003_08_71,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_72,s003_08,Monologue,Locale_SideStory:s003_08_72,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_73,s003_08,Monologue,Locale_SideStory:s003_08_73,False,,black,black,1.0,,Grey,,,,,,2,pain,lev,,,,,,,,,,
s003_08_74,s003_08,Monologue,Locale_SideStory:s003_08_74,False,,black,black,1.0,,Grey,,,,,,2,special,lev,,aggressivenikke,12,angry,scarednikke,14,idle,,,
s003_08_75,s003_08,Monologue,Locale_SideStory:s003_08_75,False,,black,black,1.0,,Grey,,,,,,2,special,lev,,,12,angry,,14,idle,,,
s003_08_76,s003_08,Speech,Locale_SideStory:s003_08_76,True,,1,1,1.0,,Grey,,,aggressivenikke,,,2,special,aggressivenikke,,,12,angry,,14,idle,,,
s003_08_77,s003_08,Speech,Locale_SideStory:s003_08_77,True,,1,1,1.0,,Grey,,,lev,,,2,special,lev,,,12,angry,,14,idle,,,
s003_08_78,s003_08,Monologue,Locale_SideStory:s003_08_78,False,,black,black,1.0,,Grey,,,,,,2,go,lev,,,12,angry,,14,idle,,,
s003_08_79,s003_08,Speech,Locale_SideStory:s003_08_79,False,,S_20,S_20,1.0,,Grey,,,aggressivenikke,,,2,go,lev,,,12,surprise,,14,surprise,,,
s003_08_80,s003_08,Speech,Locale_SideStory:s003_08_80,True,,13,13,1.0,,Grey,,,scarednikke,,,2,go,scarednikke,,,12,surprise,,14,surprise,,,
s003_08_81,s003_08,Speech,Locale_SideStory:s003_08_81,True,,13,1,1.3,,Grey,,,lev,,,2,go,lev,,,12,surprise,,14,surprise,,,
s003_08_82,s003_08,Speech,Locale_SideStory:s003_08_82,True,,1,1,1.0,,Grey,,,aggressivenikke,,,2,go,aggressivenikke,,,12,surprise,,14,surprise,,,
s003_08_83,s003_08,Narration,Locale_SideStory:s003_08_83,False,,1,1,1.0,,Grey,sfx_scn_5rapturestep,,,,,2,go,aggressivenikke,,,12,surprise,,14,surprise,,,
s003_08_84,s003_08,Speech,Locale_SideStory:s003_08_84,True,,1,13,1.3,,Grey,,,scarednikke,,,2,go,scarednikke,,,12,surprise,,14,pain,,,
s003_08_85,s003_08,Speech,Locale_SideStory:s003_08_85,True,,13,13,1.0,,Grey,,,aggressivenikke,,,2,go,aggressivenikke,,,12,surprise,,14,pain,,,
s003_08_86,s003_08,Speech,Locale_SideStory:s003_08_86,True,,S_20,S_20,1.0,,Grey,,,lev,,,2,go,lev,,,12,surprise,,14,pain,,,
s003_08_87,s003_08,Speech,Locale_SideStory:s003_08_87,True,,black,black,1.0,,Grey,,,scarednikke,,,2,go,scarednikke,,,12,surprise,,14,pain,,,
s003_08_88,s003_08,Monologue,Locale_SideStory:s003_08_88,False,,black,black,1.0,,Grey,,,,,,2,go,lev,,,12,surprise,,14,pain,aggressivenikke,scarednikke,
s003_08_89,s003_08,Monologue,Locale_SideStory:s003_08_89,False,,black,black,1.0,,Grey,,,,,,2,go,lev,,,,,,,,,,
s003_08_90,s003_08,Monologue,Locale_SideStory:s003_08_90,False,,2,S_20,1.3,,Grey,,,,,,2,go,lev,,,,,,,,,,
s003_08_91,s003_08,Monologue,Locale_SideStory:s003_08_91,False,,S_20,S_20,1.0,,Grey,,,,,,2,go,lev,,,,,,,,,,
s003_08_92,s003_08,Monologue,Locale_SideStory:s003_08_92,False,,S_20,S_20,1.0,,Grey,,,,,,2,go,lev,,,,,,,,,,
s003_08_93,s003_08,Monologue,Locale_SideStory:s003_08_93,False,,black,black,1.0,,Grey,,,,,,2,go,lev,lev,,,,,,,,,
s003_08_94,s003_08,Monologue,Locale_SideStory:s003_08_94,False,,black,black,1.0,,Grey,,,,,,,,lev,,,,,,,,,,
s003_08_95,s003_08,Monologue,Locale_SideStory:s003_08_95,False,silentcave_off,black,black,1.0,,Grey,,,,,,,,lev,,,,,,,,,,
s003_08_96,s003_08,Monologue,Locale_SideStory:s003_08_96,False,,2,2,1.0,,Grey,,,,,,,,lev,,,,,,,,,,
s003_08_97,s003_08,Monologue,Locale_SideStory:s003_08_97,False,silentcave_on,2,2,1.0,,Grey,,,,,,,,lev,,,,,,,,,,
s003_08_98,s003_08,Speech,Locale_SideStory:s003_08_98,False,,2,S_20,1.3,,Grey,,,lev,,lev,2,worry,lev,,,,,,,,,,
s003_08_99,s003_08,Speech,Locale_SideStory:s003_08_99,True,,S_20,S_20,1.0,,Grey,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_100,s003_08,Monologue,Locale_SideStory:s003_08_100,False,,S_20,S_20,1.0,,Grey,,,,,,2,worry,lev,,,,,,,,,,
s003_08_101,s003_08,Monologue,Locale_SideStory:s003_08_101,False,,S_20,S_20,1.0,,Grey,,,,,,2,worry,lev,,,,,,,,,,
s003_08_102,s003_08,Monologue,Locale_SideStory:s003_08_102,False,,S_20,S_20,1.0,,Grey,,,,,,2,worry,lev,,,,,,,,,,
s003_08_103,s003_08,Speech,Locale_SideStory:s003_08_103,True,,S_20,S_200,1.3,,Grey,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_104,s003_08,Monologue,Locale_SideStory:s003_08_104,False,,S_200,S_200,1.0,,Grey,,,,,,2,worry,lev,,,,,,,,,,
s003_08_105,s003_08,Monologue,Locale_SideStory:s003_08_105,False,SilentBeach,black,black,1.0,,Grey,,,,,,2,worry,lev,lev,littlemermaid,12,think,,,,,,
s003_08_106,s003_08,Monologue,Locale_SideStory:s003_08_106,False,,L_120,L_120,1.0,,Grey,,,,,,,,lev,,,12,think,,,,,,
s003_08_107,s003_08,Speech,Locale_SideStory:s003_08_107,True,,L_120,L_120,1.0,,Grey,,,littlemermaid,,,,,littlemermaid,,,12,think,,,,,,
s003_08_108,s003_08,Speech,Locale_SideStory:s003_08_108,True,,L_120,L_120,1.0,,Grey,,,littlemermaid,,,,,littlemermaid,,,12,think,,,,,,
s003_08_109,s003_08,Speech,Locale_SideStory:s003_08_109,True,,L_120,L_120,1.0,,Grey,,,littlemermaid,,,,,littlemermaid,,,12,think,,,,,,
s003_08_110,s003_08,Monologue,Locale_SideStory:s003_08_110,False,,black,black,1.0,,Grey,,,,,,,,lev,,,12,delight,,,,,,
s003_08_111,s003_08,Monologue,Locale_SideStory:s003_08_111,False,,black,black,1.0,,Grey,,,,,,,,lev,,,12,delight,,,,,,
s003_08_112,s003_08,Monologue,Locale_SideStory:s003_08_112,False,,black,black,1.0,,Grey,,,,,,,,lev,,,12,delight,,,,,,
s003_08_113,s003_08,Monologue,Locale_SideStory:s003_08_113,False,,black,black,1.0,,Grey,,,,,,,,lev,,,12,delight,,,,,,
s003_08_114,s003_08,Monologue,Locale_SideStory:s003_08_114,False,,black,black,1.0,,Grey,,,,,,,,lev,,,12,delight,,,,,,
s003_08_115,s003_08,Monologue,Locale_SideStory:s003_08_115,False,SilentBeach_n,black,black,1.0,,Grey,,,,,lev,2,shy,lev,,,12,delight,,,,littlemermaid,,
s003_08_116,s003_08,Speech,Locale_SideStory:s003_08_116,True,,2,S_20,1.3,,,,,lev,,,2,worry,lev,,,,,,,,,,black
s003_08_117,s003_08,Speech,Locale_SideStory:s003_08_117,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_118,s003_08,Speech,Locale_SideStory:s003_08_118,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_119,s003_08,Speech,Locale_SideStory:s003_08_119,False,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_120,s003_08,Speech,Locale_SideStory:s003_08_120,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_121,s003_08,Speech,Locale_SideStory:s003_08_121,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_122,s003_08,Speech,Locale_SideStory:s003_08_122,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_123,s003_08,Speech,Locale_SideStory:s003_08_123,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_124,s003_08,Speech,Locale_SideStory:s003_08_124,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_125,s003_08,Speech,Locale_SideStory:s003_08_125,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_126,s003_08,Speech,Locale_SideStory:s003_08_126,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_127,s003_08,Speech,Locale_SideStory:s003_08_127,True,,S_20,S_20,1.0,,,,,lev,,,2,worry,lev,,,,,,,,,,
s003_08_128,s003_08,Speech,Locale_SideStory:s003_08_128,True,,S_20,L_120,1.0,none,,,,littlemermaid,,,2,worry,littlemermaid,,littlemermaid,12,idle,,,,,,
s003_08_129,s003_08,Speech,Locale_SideStory:s003_08_129,False,,L_120,L_120,1.0,,,,,lev,,,2,surprise,littlemermaid,,,12,idle,,,,,,
s003_08_130,s003_08,Speech,Locale_SideStory:s003_08_130,True,,L_120,L_120,1.0,,,,,littlemermaid,,,2,surprise,littlemermaid,,,12,idle,,,,,,
