id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,set_filter_01,play_sound,set_camera_shake
s002_04_25,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_25,True,,1,pain,,3,idle,,13,idle,,130,10,1.0,,,,,,
s002_04_26,s002_04,Speech,yuni_n,mana,Locale_SideStory:s002_04_26,True,,1,pain,,3,idle,,13,idle,,10,L_30,1.0,,,,,,
s002_04_27,s002_04,Speech,yuni_n,mihara,Locale_SideStory:s002_04_27,True,,1,pain,,3,idle,,13,idle,,L_30,L_300,1.0,,,,,,
s002_04_28,s002_04,Speech,yuni_n,mana,Locale_SideStory:s002_04_28,True,,1,pain,,3,idle,,13,idle,,L_300,L_300,1.0,,,,,,
s002_04_29,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_29,False,,1,angry,,3,idle,,13,idle,,100,10,1.0,,,,,,
s002_04_30,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_30,True,,1,angry,,3,idle,,13,idle,,10,10,1.0,,,,,,
s002_04_31,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_31,True,,1,angry,,3,idle,,13,idle,,10,130,1.0,,,,,,
s002_04_32,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_32,True,,1,angry,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_33,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_33,True,,1,angry,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_34,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_34,True,,1,pain,,3,idle,,13,idle,,130,10,1.0,,,,,,
s002_04_35,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_35,False,,1,pain,,3,idle,,13,idle,,10,10,1.0,,,,,,
s002_04_36,s002_04,Monologue,mihara,,Locale_SideStory:s002_04_36,False,,1,pain,,3,idle,,13,idle,,10,31,1.0,,,,,,
s002_04_37,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_37,True,,1,pain,,3,idle,,13,idle,,31,31,1.0,,,,,,
s002_04_38,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_38,True,,1,pain,,3,idle,,13,idle,,31,31,1.0,,,,,,
s002_04_39,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_39,True,,1,pain,,3,idle,,13,idle,,31,113,1.5,,,,,,
s002_04_40,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_40,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_41,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_41,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_42,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_42,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_43,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_43,True,,1,pain,,3,idle,,13,idle,,113,130,1.0,,,,,,
s002_04_44,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_44,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_45,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_45,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_46,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_46,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_47,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_47,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_48,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_48,True,,1,pain,,3,idle,,13,idle,,130,113,1.0,,,,,,
s002_04_49,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_49,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_50,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_50,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_51,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_51,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_52,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_52,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_53,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_53,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_54,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_54,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_55,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_55,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_56,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_56,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_57,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_57,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_58,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_58,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_59,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_59,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_60,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_60,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_61,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_61,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_62,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_62,True,,1,pain,,3,idle,,13,idle,,L_30,L_300,1.0,,,,,,
s002_04_63,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_63,False,,1,pain,,3,idle,,13,idle,,L_300,100,1.0,,,,,,
s002_04_64,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_64,True,,1,pain,,3,idle,,13,idle,,100,1300,1.0,,,,,,
s002_04_65,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_65,True,,1,pain,,3,idle,,13,idle,,1300,130,1.0,,,,,,
s002_04_66,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_66,True,,1,think,,3,idle,,13,idle,,130,113,1.0,,,,,,
s002_04_67,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_67,True,,1,think,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_68,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_68,True,,1,think,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_69,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_69,True,,1,think,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_70,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_70,True,,1,think,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_71,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_71,True,,1,think,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_72,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_72,True,,1,think,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_73,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_73,True,,1,think,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_74,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_74,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_75,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_75,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_76,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_76,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_77,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_77,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_78,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_78,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_79,s002_04,Narration,mihara,,Locale_SideStory:s002_04_79,False,,1,pain,,3,idle,,13,idle,,black,black,1.0,none,,,,sfx_scn_heavydoorclose2,
s002_04_80,s002_04,Monologue,mihara,,Locale_SideStory:s002_04_80,False,,1,pain,,3,idle,,13,idle,,black,black,1.0,,,mana,,,
s002_04_81,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_81,False,,1,pain,,3,idle,,,,,L_30,L_30,1.0,,,,,,
s002_04_82,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_82,True,,1,pain,,3,idle,,,,,L_30,31,1.0,bgm_frostpillar,,,,,
s002_04_83,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_83,True,,1,pain,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_84,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_84,True,,1,pain,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_85,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_85,False,,1,pain,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_86,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_86,True,,1,pain,,3,idle,,,,,31,10,1.0,,,,,,
s002_04_87,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_87,True,,1,idle,,3,idle,,,,,10,100,1.0,,,,,,
s002_04_88,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_88,True,,1,idle,,3,idle,,,,,100,100,1.0,,,,,,
s002_04_89,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_89,False,,1,idle,,3,idle,,,,,L_30,L_300,1.0,,,,,,
s002_04_90,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_90,True,,1,idle,,3,idle,,,,,100,10,1.0,,,,,,
s002_04_91,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_91,True,,1,idle,,3,idle,,,,,10,10,1.0,,,,,,
s002_04_92,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_92,True,,1,idle,,3,idle,,,,,10,31,1.0,,,,,,
s002_04_93,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_93,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_94,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_94,True,,1,idle,,3,idle,,,,,31,31,1.0,none,,,,,
s002_04_95,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_95,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_96,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_96,True,,1,idle,,3,sad,,,,,31,31,1.0,bgm_risk,,,,,
s002_04_97,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_97,True,,1,pain,,3,sad,,,,,31,31,1.0,,,,,,
s002_04_98,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_98,True,,1,pain,,3,sad,,,,,31,31,1.0,,,,,,
s002_04_99,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_99,True,,1,surprise,,3,sad,,,,,31,31,1.0,,,,,,
s002_04_100,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_100,True,,1,surprise,,3,sad,,,,,31,31,1.0,,,,,,Low_2
s002_04_101,s002_04,Monologue,yuni_n,,Locale_SideStory:s002_04_101,False,,1,surprise,,3,sad,,,,,black,black,1.0,,,,,,
s002_04_102,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_102,False,,1,surprise,,3,sad,,,,,10,100,0.7,,,,,,
s002_04_103,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_103,True,,1,pain,,3,sad,,,,,100,100,1.0,,,,,,
s002_04_104,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_104,True,,1,pain,,3,sad,,,,,L_30,L_300,0.7,,,,,,Low_2
s002_04_105,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_105,True,,1,angry,,3,sad,,,,,100,100,1.0,,,,,,
s002_04_106,s002_04,Monologue,mihara,,Locale_SideStory:s002_04_106,False,,1,angry,,3,sad,,,,,black,black,1.0,,,,,,
s002_04_107,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_107,False,,1,angry,,3,idle,,,,,L_300,L_30,0.7,,,,,,
s002_04_108,s002_04,Monologue,yuni_n,,Locale_SideStory:s002_04_108,False,,1,angry,,3,idle,,,,,black,black,1.0,,,,,,
s002_04_109,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_109,True,,1,angry,,3,idle,,,,,L_30,L_30,1.0,,,,,,
s002_04_110,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_110,True,,1,idle,,3,idle,,,,,L_30,31,1.0,,,,,,
s002_04_111,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_111,False,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_112,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_112,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_113,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_113,False,,1,idle,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_114,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_114,True,,1,idle,,3,idle,,,,,31,10,1.0,,,,,,
s002_04_115,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_115,True,,1,idle,,3,idle,,,,,10,10,1.0,,,,,,
s002_04_116,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_116,False,,1,idle,,3,idle,,,,,L_30,L_30,1.0,,,,,,
s002_04_117,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_117,True,,1,idle,,3,idle,,,,,L_30,L_300,1.0,,,,,,
s002_04_118,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_118,True,,1,idle,,3,idle,,,,,100,100,1.0,,,,,,
s002_04_119,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_119,True,,1,idle,,3,idle,,,,,L_30,L_300,1.0,,,,,,
s002_04_120,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_120,True,,1,pain,,3,idle,,,,,100,100,1.0,,,,,,
s002_04_121,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_121,True,,1,pain,,3,idle,,,,,100,10,1.0,,,,,,
s002_04_122,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_122,True,,1,pain,,3,idle,,,,,L_30,L_300,1.0,,,,,,
s002_04_123,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_123,True,,1,pain,,3,idle,,,,,100,100,1.0,,,,,,
s002_04_124,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_124,True,,1,pain,,3,idle,,,,,100,10,1.0,,,,,,
s002_04_125,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_125,True,,1,pain,,3,idle,,,,,L_300,L_30,1.0,,,,,,
s002_04_126,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_126,True,,1,pain,,3,idle,,,,,L_30,31,1.0,,,,,,
s002_04_127,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_127,True,,1,pain,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_128,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_128,True,,1,pain,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_129,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_129,True,,1,pain,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_130,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_130,False,,1,pain,,3,idle,,,,,31,31,1.0,,,,,,
s002_04_131,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_131,True,,1,pain,,3,idle,,,,,31,1,1.0,,,,,,
s002_04_132,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_132,True,,1,pain,,3,idle,,,,,1,10,1.0,,,,,,
s002_04_133,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_133,True,,1,pain,,3,idle,,,,,10,10,1.0,,,,,,
s002_04_134,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_134,True,,1,idle,,3,idle,,,,,10,100,1.0,,,,,,
