id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade
s001_12_18,s001_12,Speech,Locale_SideStory:s001_12_18,False,,moonrun_04,moonrun_03,1.0,,crown,crown,,
s001_12_19,s001_12,Narration,Locale_SideStory:s001_12_19,False,,moonrun_03,moonrun_03,1.0,,crown,,sfx_scn_mechanichorse,
s001_12_20,s001_12,Speech,Locale_SideStory:s001_12_20,False,,moonrun_03,moonrun_03,1.0,,marian_p,marian_p,,
s001_12_21,s001_12,Narration,Locale_SideStory:s001_12_21,False,,moonrun_03,moonrun_03,1.0,,marian_p,,sfx_scn_mechanichorse,
s001_12_22,s001_12,Speech,Locale_SideStory:s001_12_22,False,,moonrun_03,moonrun_03,1.0,,marian_p,marian_p,,
s001_12_23,s001_12,Narration,Locale_SideStory:s001_12_23,False,,moonrun_03,moonrun_03,1.0,,marian_p,,sfx_scn_mechanichorse,
s001_12_24,s001_12,Speech,Locale_SideStory:s001_12_24,False,,moonrun_03,moonrun_04,1.0,,marian_p,marian_p,,
s001_12_25,s001_12,Speech,Locale_SideStory:s001_12_25,False,,moonrun_04,moonrun_04,1.0,,chime,chime,,
s001_12_26,s001_12,Speech,Locale_SideStory:s001_12_26,False,,moonrun_04,moonrun_04,1.0,,marian_p,marian_p,,
s001_12_27,s001_12,Speech,Locale_SideStory:s001_12_27,False,,moonrun_04,moonrun_04,1.0,,chime,chime,,
s001_12_28,s001_12,Speech,Locale_SideStory:s001_12_28,False,,moonrun_04,moonrun_04,1.0,,chime,chime,,
s001_12_29,s001_12,Speech,Locale_SideStory:s001_12_29,False,EventScene_Side_01_03,black,black,1.0,none,crown,crown,,
s001_12_30,s001_12,Speech,Locale_SideStory:s001_12_30,False,,black,black,1.0,,crown,crown,,
s001_12_31,s001_12,Narration,Locale_SideStory:s001_12_31,False,,moonwalk_02,moonwalk_01,2.0,bgm_frostpillar,crown,,,black
s001_12_32,s001_12,Narration,Locale_SideStory:s001_12_32,False,,moonwalk_01,moonwalk_01,1.0,,crown,,,
s001_12_33,s001_12,Speech,Locale_SideStory:s001_12_33,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_34,s001_12,Speech,Locale_SideStory:s001_12_34,False,,moonwalk_01,moonwalk_01,1.0,,chime,chime,,
s001_12_35,s001_12,Speech,Locale_SideStory:s001_12_35,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_36,s001_12,Speech,Locale_SideStory:s001_12_36,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_37,s001_12,Speech,Locale_SideStory:s001_12_37,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_38,s001_12,Speech,Locale_SideStory:s001_12_38,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_39,s001_12,Speech,Locale_SideStory:s001_12_39,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_40,s001_12,Speech,Locale_SideStory:s001_12_40,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_41,s001_12,Speech,Locale_SideStory:s001_12_41,False,,moonwalk_01,moonwalk_01,1.0,,crown,crown,,
s001_12_42,s001_12,Speech,Locale_SideStory:s001_12_42,False,,moonwalk_01,moonwalk_01,1.0,,crown,crown,,
s001_12_43,s001_12,Speech,Locale_SideStory:s001_12_43,False,,moonwalk_01,moonwalk_01,1.0,,chime,chime,,
s001_12_44,s001_12,Speech,Locale_SideStory:s001_12_44,False,,moonwalk_01,moonwalk_01,1.0,,crown,crown,,
s001_12_45,s001_12,Speech,Locale_SideStory:s001_12_45,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_46,s001_12,Speech,Locale_SideStory:s001_12_46,False,,moonwalk_01,moonwalk_02,1.0,,chime,chime,,
s001_12_47,s001_12,Speech,Locale_SideStory:s001_12_47,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_48,s001_12,Speech,Locale_SideStory:s001_12_48,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_49,s001_12,Speech,Locale_SideStory:s001_12_49,False,,moonwalk_02,moonwalk_02,1.0,,marian_p,marian_p,,
s001_12_50,s001_12,Speech,Locale_SideStory:s001_12_50,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_51,s001_12,Speech,Locale_SideStory:s001_12_51,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_52,s001_12,Speech,Locale_SideStory:s001_12_52,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_53,s001_12,Speech,Locale_SideStory:s001_12_53,False,,moonwalk_02,moonwalk_02,1.0,,marian_p,marian_p,,
s001_12_54,s001_12,Speech,Locale_SideStory:s001_12_54,False,,moonwalk_02,moonwalk_01,1.0,,chime,chime,,
s001_12_55,s001_12,Speech,Locale_SideStory:s001_12_55,False,,moonwalk_01,moonwalk_01,1.0,,chime,chime,,
s001_12_56,s001_12,Speech,Locale_SideStory:s001_12_56,False,,moonwalk_01,moonwalk_01,1.0,,chime,chime,,
s001_12_57,s001_12,Speech,Locale_SideStory:s001_12_57,False,,moonwalk_01,moonwalk_01,1.0,,chime,chime,,
s001_12_58,s001_12,Speech,Locale_SideStory:s001_12_58,False,,moonwalk_01,moonwalk_01,1.0,,chime,chime,,
s001_12_59,s001_12,Speech,Locale_SideStory:s001_12_59,False,,moonwalk_01,moonwalk_01,1.0,,chime,chime,,
s001_12_60,s001_12,Speech,Locale_SideStory:s001_12_60,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_61,s001_12,Speech,Locale_SideStory:s001_12_61,False,,moonwalk_01,moonwalk_02,2.0,,chime,chime,,
s001_12_62,s001_12,Speech,Locale_SideStory:s001_12_62,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_63,s001_12,Speech,Locale_SideStory:s001_12_63,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_64,s001_12,Speech,Locale_SideStory:s001_12_64,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_65,s001_12,Speech,Locale_SideStory:s001_12_65,False,,moonwalk_02,moonwalk_02,1.0,,marian_p,marian_p,,
s001_12_66,s001_12,Speech,Locale_SideStory:s001_12_66,False,,moonwalk_02,moonwalk_02,1.0,,marian_p,marian_p,,
s001_12_67,s001_12,Speech,Locale_SideStory:s001_12_67,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_68,s001_12,Speech,Locale_SideStory:s001_12_68,False,,moonwalk_02,moonwalk_02,1.0,,marian_p,marian_p,,
s001_12_69,s001_12,Speech,Locale_SideStory:s001_12_69,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_70,s001_12,Speech,Locale_SideStory:s001_12_70,False,,moonwalk_02,moonwalk_02,1.0,,marian_p,marian_p,,
s001_12_71,s001_12,Speech,Locale_SideStory:s001_12_71,False,,moonwalk_02,moonwalk_02,1.0,,chime,chime,,
s001_12_72,s001_12,Speech,Locale_SideStory:s001_12_72,False,,moonwalk_02,moonwalk_01,1.0,,chime,chime,,
s001_12_73,s001_12,Speech,Locale_SideStory:s001_12_73,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_74,s001_12,Speech,Locale_SideStory:s001_12_74,False,,moonwalk_01,moonwalk_01,1.0,,crown,crown,,
s001_12_75,s001_12,Speech,Locale_SideStory:s001_12_75,False,,moonwalk_01,moonwalk_01,1.0,,crown,crown,,
s001_12_76,s001_12,Speech,Locale_SideStory:s001_12_76,False,,moonwalk_01,moonwalk_01,1.0,,crown,crown,,
s001_12_77,s001_12,Speech,Locale_SideStory:s001_12_77,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
s001_12_78,s001_12,Speech,Locale_SideStory:s001_12_78,False,,moonwalk_01,moonwalk_01,1.0,,marian_p,marian_p,,
