id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,set_filter_01,fade,characters/0/hide_char_id
s003_03_32,s003_03,Narration,littlemermaid,,Locale_SideStory:s003_03_32,False,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_33,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_33,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_34,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_34,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_35,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_35,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_36,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_36,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_37,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_37,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_38,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_38,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_39,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_39,False,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_40,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_40,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_41,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_41,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_42,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_42,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_43,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_43,True,,1,1,1.0,,,12,angry,,2,think,,Grey,,
s003_03_44,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_44,True,,1,1,1.0,,,12,angry,,2,think,,Grey,,
s003_03_45,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_45,True,,1,1,1.0,,,12,angry,,2,think,,Grey,,
s003_03_46,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_46,True,,1,1,1.0,,,12,think,,2,think,,Grey,,
s003_03_47,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_47,True,,1,1,1.0,,,12,think,,2,think,,Grey,,
s003_03_48,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_48,False,,1,1,1.0,,,12,think,,2,think,,Grey,,
s003_03_49,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_49,False,,1,1,1.0,,,12,think,,2,think,,Grey,,
s003_03_50,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_50,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_51,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_51,True,,1,1,1.0,,,12,worry,,2,idle,,Grey,,
s003_03_52,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_52,True,,1,1,1.0,,,12,worry,,2,idle,,Grey,,
s003_03_53,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_53,True,,1,1,1.0,,,12,worry,,2,idle,,Grey,,
s003_03_54,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_54,True,,1,1,1.0,,,12,worry,,2,idle,,Grey,,
s003_03_55,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_55,True,,1,1,1.0,,,12,worry,,2,idle,,Grey,,
s003_03_56,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_56,True,,1,1,1.0,,,12,worry,,2,idle,,Grey,,
s003_03_57,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_57,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_58,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_58,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_59,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_59,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_60,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_60,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_61,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_61,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_62,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_62,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_63,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_63,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_64,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_64,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_65,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_65,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_66,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_66,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_67,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_67,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_68,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_68,True,,1,1,1.0,,,12,idle,,2,delight,,Grey,,
s003_03_69,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_69,True,silentcave_on,black,black,1.0,none,blackwatergirl,13,idle,,3,think,abe,Grey,black,
s003_03_70,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_70,False,,L_30,L_30,1.0,bgm_story_discussion,,13,worry,,3,think,,,,
s003_03_71,s003_03,Monologue,littlemermaid,,Locale_SideStory:s003_03_71,False,,L_30,3,1.0,,,13,worry,,3,idle,,,,
s003_03_72,s003_03,Speech,littlemermaid,blackwatergirl,Locale_SideStory:s003_03_72,False,,3,3,1.0,,,13,worry,,3,idle,,,,
s003_03_73,s003_03,Monologue,littlemermaid,,Locale_SideStory:s003_03_73,False,,black,black,1.0,,,13,worry,,3,idle,,,,littlemermaid
s003_03_74,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_74,False,silentcave_off,black,black,1.0,,,13,worry,,,,,,,
s003_03_75,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_75,True,,S_130,S_130,1.0,,,13,worry,,,,,,,
s003_03_76,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_76,True,,S_130,S_1300,1.3,,,13,worry,,,,,,,
s003_03_77,s003_03,Monologue,blackwatergirl,,Locale_SideStory:s003_03_77,False,,S_1300,S_1300,1.0,,,13,worry,,,,,,,
s003_03_78,s003_03,Monologue,blackwatergirl,,Locale_SideStory:s003_03_78,False,silentcave_on,black,black,1.0,,,13,worry,,,,,,,
s003_03_79,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_79,True,,S_1300,S_130,1.3,,,13,shy,,,,,,,
s003_03_80,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_80,True,,S_130,S_130,1.0,,,13,delight,,,,,,,
s003_03_81,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_81,True,,S_130,13,1.3,,,13,worry,,,,,,,
s003_03_82,s003_03,Monologue,blackwatergirl,,Locale_SideStory:s003_03_82,False,,13,13,1.0,,,13,worry,,,,,,,
s003_03_83,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_83,True,,13,13,1.0,,,13,worry,,,,,,,
s003_03_84,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_84,True,,13,13,1.0,,,13,worry,,,,,,,
s003_03_85,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_85,True,,13,13,1.0,,,13,worry,,,,,,,
s003_03_86,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_86,True,,13,S_130,1.3,,,13,angry,,,,,,,
s003_03_87,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_87,True,,S_130,S_130,1.0,,,13,angry,,,,,,,
s003_03_88,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_88,True,,S_130,S_130,1.0,,,13,angry,,,,,,,
s003_03_89,s003_03,Monologue,blackwatergirl,,Locale_SideStory:s003_03_89,False,,black,black,1.0,,,13,idle,,,,,,,
s003_03_90,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_90,False,,S_130,S_130,1.0,,,13,worry,,,,,,,
s003_03_91,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_91,True,,S_130,S_130,1.0,,,13,worry,,,,,,,
s003_03_92,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_92,True,,S_130,S_130,1.0,,,13,worry,,,,,,,
s003_03_93,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_93,True,,S_130,S_130,1.0,,,13,worry,,,,,,,
s003_03_94,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_94,True,,S_130,S_130,1.0,,,13,worry,,,,,,,
s003_03_95,s003_03,Monologue,blackwatergirl,,Locale_SideStory:s003_03_95,False,,S_130,S_130,1.0,,,13,worry,,,,,,,
s003_03_96,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_96,True,,S_130,S_1300,1.3,,,13,sad,,,,,,,
s003_03_97,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_97,True,,S_1300,S_1300,1.0,,,13,sad,,,,,,,
s003_03_98,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_98,True,,S_1300,S_1300,1.0,,,13,sad,,,,,,,
