id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
s002_03_26,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_26,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_27,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_27,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_28,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_28,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_29,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_29,False,,10,100,0.7,,,,,1,surprise,,13,idle,,,
s002_03_30,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_30,True,,100,100,1.0,,,,,1,idle,,13,idle,,,
s002_03_31,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_31,True,,100,10,1.0,,,,,1,idle,,13,idle,,,
s002_03_32,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_32,False,,10,10,1.0,,,,,1,idle,,13,idle,,,
s002_03_33,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_33,True,,10,10,1.0,,,,,1,idle,,13,idle,,,
s002_03_34,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_34,True,,10,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_35,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_35,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_36,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_36,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_37,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_37,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_38,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_38,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_39,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_39,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_40,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_40,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_41,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_41,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_42,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_42,True,JailCorridor,100,100,1.0,,black,,,1,idle,,13,idle,,,
s002_03_43,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_43,True,,100,100,1.0,,,,,1,idle,,13,idle,,,
s002_03_44,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_44,True,,100,1300,1.0,,,,,1,idle,,13,idle,,,
s002_03_45,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_45,True,,1300,130,1.0,,,,,1,idle,,13,idle,,,
s002_03_46,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_46,True,,130,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_47,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_47,True,,113,113,1.0,,,,,1,idle,,13,idle,,,
s002_03_48,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_48,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_49,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_49,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_50,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_50,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_51,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_51,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_52,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_52,True,,113,113,1.0,,,,,1,surprise,,13,idle,,,
s002_03_53,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_53,True,,113,113,1.0,,,,,1,think,,13,idle,,,
s002_03_54,s002_03,Monologue,,,Locale_SideStory:s002_03_54,False,,black,black,1.0,,,,,1,think,,13,idle,,,
s002_03_55,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_55,True,,1300,1300,1.0,,,,,1,think,,13,idle,,,
s002_03_56,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_56,True,,1300,1300,1.0,,,,,1,think,,13,idle,,,
s002_03_57,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_57,True,,1300,113,1.0,,,,,1,pain,,13,idle,,,
s002_03_58,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_58,True,,113,113,1.0,,,,,1,pain,,13,idle,,,
s002_03_59,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_59,True,,113,113,1.0,,,,,1,pain,,13,idle,,,
s002_03_60,s002_03,Narration,mihara,,Locale_SideStory:s002_03_60,False,Jail,black,black,1.0,none,,sfx_scn_heavydoorclose2,,1,pain,,13,idle,,,
s002_03_61,s002_03,Monologue,mihara,,Locale_SideStory:s002_03_61,False,,5,50,1.0,,,sfx_scn_heelfootstep,,1,pain,,13,idle,,,
s002_03_62,s002_03,Speech,unknown,unknown,Locale_SideStory:s002_03_62,False,,black,black,1.0,,,,,1,pain,,13,idle,yuni_n,3,idle
s002_03_63,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_63,True,,100,100,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_64,s002_03,Speech,unknown,unknown,Locale_SideStory:s002_03_64,True,,black,black,1.0,bgm_recognition_underworld,,,,1,pain,,13,idle,,3,idle
s002_03_65,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_65,True,,100,100,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_66,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_66,True,,100,10,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_67,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_67,False,,10,113,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_68,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_68,True,,113,113,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_69,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_69,True,,113,113,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_70,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_70,True,,113,113,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_71,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_71,True,,113,113,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_72,s002_03,Speech,unknown,unknown,Locale_SideStory:s002_03_72,True,,113,31,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_73,s002_03,Speech,mihara,mihara,Locale_SideStory:s002_03_73,True,,31,L_30,1.0,,,,,1,pain,,13,idle,,3,idle
s002_03_74,s002_03,Speech,mana,mana,Locale_SideStory:s002_03_74,True,,L_30,L_300,0.5,,,,,1,pain,,13,idle,,3,idle
