id,name_localkey,animation_name,hide_character_name_code/0/name,hide_character_name_code/0/value,hide_character_name_code/1/name,hide_character_name_code/1/value,hide_character_name_code/2/name,hide_character_name_code/2/value,hide_costume_id/0/name,hide_costume_id/0/value,hide_costume_id/1/name,hide_costume_id/1/value,hide_costume_id/2/name,hide_costume_id/2/value
66,Locale_System:CHARACTER_FACE_ANIMATION_LIST_SURPRISE_01,surprsie,,,,,,,,,,,,
67,Locale_System:CHARACTER_FACE_ANIMATION_LIST_THINK_01,think,hide_character_name_code,5001.0,hide_character_name_code,5013.0,hide_character_name_code,5042.0,,,,,,
68,Locale_System:CHARACTER_FACE_ANIMATION_LIST_THINK_01,think_01,,,,,,,,,,,,
69,Locale_System:CHARACTER_FACE_ANIMATION_LIST_THINK_01,think_02,,,,,,,,,,,,
70,Locale_System:CHARACTER_FACE_ANIMATION_LIST_THINK_01,think_2,,,,,,,,,,,,
71,Locale_System:CHARACTER_FACE_ANIMATION_LIST_THINK_01,think1,,,,,,,,,,,,
72,Locale_System:CHARACTER_FACE_ANIMATION_LIST_THINK_01,think2,,,,,,,,,,,,
73,Locale_System:CHARACTER_FACE_ANIMATION_LIST_VOID_01,void,hide_character_name_code,5024.0,hide_character_name_code,1010.0,hide_character_name_code,5001.0,hide_costume_id,60002.0,,,,
74,Locale_System:CHARACTER_FACE_ANIMATION_LIST_VOID_01,void_02,,,,,,,,,,,,
75,Locale_System:CHARACTER_FACE_ANIMATION_LIST_WORRY_01,worried,,,,,,,,,,,,
76,Locale_System:CHARACTER_FACE_ANIMATION_LIST_WORRY_01,worry,hide_character_name_code,5001.0,,,,,hide_costume_id,30050.0,,,,
77,Locale_System:CHARACTER_FACE_ANIMATION_LIST_WORRY_01,worry_02,,,,,,,,,,,,
78,Locale_System:CHARACTER_FACE_ANIMATION_LIST_CHU_01,chu1,,,,,,,,,,,,
79,Locale_System:CHARACTER_FACE_ANIMATION_LIST_CHU_01,chu2,,,,,,,,,,,,
80,Locale_System:CHARACTER_FACE_ANIMATION_LIST_ETC_01,etc,,,,,,,,,,,,
81,Locale_System:CHARACTER_FACE_ANIMATION_LIST_ETC_01,etc_02,,,,,,,,,,,,
