id,group,priority,type,value_min,value_max,reward_id
10311308,103113,8,DamageDoneToTargetMonster,46641001,62007000,13131008
10311309,103113,9,DamageDoneToTargetMonster,62007001,0,13131009
10310401,103104,1,DamageDoneToTargetMonster,0,8404000,13140001
10310402,103104,2,DamageDoneToTargetMonster,8404001,11641000,13140002
10310403,103104,3,DamageDoneToTargetMonster,11641001,17026000,13140003
10310404,103104,4,DamageDoneToTargetMonster,17026001,20454000,13140004
10310405,103104,5,DamageDoneToTargetMonster,20454001,26539000,13140005
10310406,103104,6,DamageDoneToTargetMonster,26539001,32798000,13140006
10310407,103104,7,DamageDoneToTargetMonster,32798001,46641000,13140007
10310408,103104,8,DamageDoneToTargetMonster,46641001,62007000,13140008
10310409,103104,9,DamageDoneToTargetMonster,62007001,0,13140009
10311404,103114,4,DamageDoneToTargetMonster,17026001,20454000,13141004
10311405,103114,5,DamageDoneToTargetMonster,20454001,26539000,13141005
10311406,103114,6,DamageDoneToTargetMonster,26539001,32798000,13141006
10311407,103114,7,DamageDoneToTargetMonster,32798001,46641000,13141007
10311408,103114,8,DamageDoneToTargetMonster,46641001,62007000,13141008
10311409,103114,9,DamageDoneToTargetMonster,62007001,0,13141009
10310501,103105,1,DamageDoneToTargetMonster,0,8404000,13150001
10310502,103105,2,DamageDoneToTargetMonster,8404001,11641000,13150002
10310503,103105,3,DamageDoneToTargetMonster,11641001,17026000,13150003
10310504,103105,4,DamageDoneToTargetMonster,17026001,20454000,13150004
10310505,103105,5,DamageDoneToTargetMonster,20454001,26539000,13150005
10310506,103105,6,DamageDoneToTargetMonster,26539001,32798000,13150006
10310507,103105,7,DamageDoneToTargetMonster,32798001,46641000,13150007
10310508,103105,8,DamageDoneToTargetMonster,46641001,62007000,13150008
10310509,103105,9,DamageDoneToTargetMonster,62007001,0,13150009
10311504,103115,4,DamageDoneToTargetMonster,17026001,20454000,13151004
10311505,103115,5,DamageDoneToTargetMonster,20454001,26539000,13151005
10311506,103115,6,DamageDoneToTargetMonster,26539001,32798000,13151006
10311507,103115,7,DamageDoneToTargetMonster,32798001,46641000,13151007
10311508,103115,8,DamageDoneToTargetMonster,46641001,62007000,13151008
10311509,103115,9,DamageDoneToTargetMonster,62007001,0,13151009
10320101,104101,1,DamageDoneToTargetMonster,0,120000000,13200001
10320102,104101,2,DamageDoneToTargetMonster,120000001,200000000,13200002
10320103,104101,3,DamageDoneToTargetMonster,200000001,600000000,13200003
10320104,104101,4,DamageDoneToTargetMonster,600000001,1200000000,13200004
10320105,104101,5,DamageDoneToTargetMonster,1200000001,2300000000,13200005
10320106,104101,6,DamageDoneToTargetMonster,2300000001,3500000000,13200006
10320107,104101,7,DamageDoneToTargetMonster,3500000001,4600000000,13200007
10320108,104101,8,DamageDoneToTargetMonster,4600000001,5800000000,13200008
10320109,104101,9,DamageDoneToTargetMonster,5800000001,0,13200009
10321101,104111,1,DamageDoneToTargetMonster,0,120000000,13211001
10321102,104111,2,DamageDoneToTargetMonster,120000001,200000000,13211002
10321103,104111,3,DamageDoneToTargetMonster,200000001,600000000,13211003
10321104,104111,4,DamageDoneToTargetMonster,600000001,1200000000,13211004
10321105,104111,5,DamageDoneToTargetMonster,1200000001,2300000000,13211005
10321106,104111,6,DamageDoneToTargetMonster,2300000001,3500000000,13211006
10321107,104111,7,DamageDoneToTargetMonster,3500000001,4600000000,13211007
10321108,104111,8,DamageDoneToTargetMonster,4600000001,5800000000,13211008
10321109,104111,9,DamageDoneToTargetMonster,5800000001,0,13211009
10322101,104121,1,DamageDoneToTargetMonster,0,120000000,13200101
10322102,104121,2,DamageDoneToTargetMonster,120000001,200000000,13200102
10322103,104121,3,DamageDoneToTargetMonster,200000001,600000000,13200103
10322104,104121,4,DamageDoneToTargetMonster,600000001,1200000000,13200104
10322105,104121,5,DamageDoneToTargetMonster,1200000001,2300000000,13200105
10322106,104121,6,DamageDoneToTargetMonster,2300000001,3500000000,13200106
10322107,104121,7,DamageDoneToTargetMonster,3500000001,4600000000,13200107
10322108,104121,8,DamageDoneToTargetMonster,4600000001,5800000000,13200108
10322109,104121,9,DamageDoneToTargetMonster,5800000001,0,13200109
10320201,104102,1,DamageDoneToTargetMonster,0,175000000,13200001
10320202,104102,2,DamageDoneToTargetMonster,175000001,350000000,13200002
10320203,104102,3,DamageDoneToTargetMonster,350000001,689000000,13200003
10320204,104102,4,DamageDoneToTargetMonster,689000001,1310000000,13200004
10320205,104102,5,DamageDoneToTargetMonster,1310000001,2400000000,13200005
10320206,104102,6,DamageDoneToTargetMonster,2400000001,3382000000,13200006
10320207,104102,7,DamageDoneToTargetMonster,3382000001,4500000000,13200007
10320208,104102,8,DamageDoneToTargetMonster,4500000001,5800000000,13200008
10320209,104102,9,DamageDoneToTargetMonster,5800000001,0,13200009
10321201,104112,1,DamageDoneToTargetMonster,0,175000000,13212001
10321202,104112,2,DamageDoneToTargetMonster,175000001,350000000,13212002
10321203,104112,3,DamageDoneToTargetMonster,350000001,689000000,13212003
10321204,104112,4,DamageDoneToTargetMonster,689000001,1310000000,13212004
10321205,104112,5,DamageDoneToTargetMonster,1310000001,2400000000,13212005
10321206,104112,6,DamageDoneToTargetMonster,2400000001,3382000000,13212006
10321207,104112,7,DamageDoneToTargetMonster,3382000001,4500000000,13212007
10321208,104112,8,DamageDoneToTargetMonster,4500000001,5800000000,13212008
10321209,104112,9,DamageDoneToTargetMonster,5800000001,0,13212009
10322201,104122,1,DamageDoneToTargetMonster,0,175000000,13200101
10322202,104122,2,DamageDoneToTargetMonster,175000001,350000000,13200102
10322203,104122,3,DamageDoneToTargetMonster,350000001,689000000,13200103
10322204,104122,4,DamageDoneToTargetMonster,689000001,1310000000,13200104
10322205,104122,5,DamageDoneToTargetMonster,1310000001,2400000000,13200105
10322206,104122,6,DamageDoneToTargetMonster,2400000001,3382000000,13200106
10322207,104122,7,DamageDoneToTargetMonster,3382000001,4500000000,13200107
10322208,104122,8,DamageDoneToTargetMonster,4500000001,5800000000,13200108
10322209,104122,9,DamageDoneToTargetMonster,5800000001,0,13200109
10320301,104103,1,DamageDoneToTargetMonster,0,118000000,13200001
10320302,104103,2,DamageDoneToTargetMonster,118000001,400000000,13200002
10320303,104103,3,DamageDoneToTargetMonster,400000001,742000000,13200003
10320304,104103,4,DamageDoneToTargetMonster,742000001,1413000000,13200004
10320305,104103,5,DamageDoneToTargetMonster,1413000001,2420000000,13200005
10320306,104103,6,DamageDoneToTargetMonster,2420000001,3740000000,13200006
10320307,104103,7,DamageDoneToTargetMonster,3740000001,4341000000,13200007
10320308,104103,8,DamageDoneToTargetMonster,4341000001,5861000000,13200008
10320309,104103,9,DamageDoneToTargetMonster,5861000001,0,13200009
10321301,104113,1,DamageDoneToTargetMonster,0,118000000,13213001
10321302,104113,2,DamageDoneToTargetMonster,118000001,400000000,13213002
10321303,104113,3,DamageDoneToTargetMonster,400000001,742000000,13213003
10321304,104113,4,DamageDoneToTargetMonster,742000001,1413000000,13213004
10321305,104113,5,DamageDoneToTargetMonster,1413000001,2420000000,13213005
10321306,104113,6,DamageDoneToTargetMonster,2420000001,3740000000,13213006
10321307,104113,7,DamageDoneToTargetMonster,3740000001,4341000000,13213007
10321308,104113,8,DamageDoneToTargetMonster,4341000001,5861000000,13213008
10321309,104113,9,DamageDoneToTargetMonster,5861000001,0,13213009
10322301,104123,1,DamageDoneToTargetMonster,0,118000000,13200101
10322302,104123,2,DamageDoneToTargetMonster,118000001,400000000,13200102
10322303,104123,3,DamageDoneToTargetMonster,400000001,742000000,13200103
10322304,104123,4,DamageDoneToTargetMonster,742000001,1413000000,13200104
10322305,104123,5,DamageDoneToTargetMonster,1413000001,2420000000,13200105
10322306,104123,6,DamageDoneToTargetMonster,2420000001,3740000000,13200106
10322307,104123,7,DamageDoneToTargetMonster,3740000001,4341000000,13200107
10322308,104123,8,DamageDoneToTargetMonster,4341000001,5861000000,13200108
10322309,104123,9,DamageDoneToTargetMonster,5861000001,0,13200109
10320401,104104,1,DamageDoneToTargetMonster,0,100000000,13200001
10320402,104104,2,DamageDoneToTargetMonster,100000001,280000000,13200002
10320403,104104,3,DamageDoneToTargetMonster,280000001,620000000,13200003
10320404,104104,4,DamageDoneToTargetMonster,620000001,1350000000,13200004
10320405,104104,5,DamageDoneToTargetMonster,1350000001,2380000000,13200005
10320406,104104,6,DamageDoneToTargetMonster,2380000001,3280000000,13200006
10320407,104104,7,DamageDoneToTargetMonster,3280000001,4250000000,13200007
10320408,104104,8,DamageDoneToTargetMonster,4250000001,5470000000,13200008
10320409,104104,9,DamageDoneToTargetMonster,5470000001,0,13200009
10321401,104114,1,DamageDoneToTargetMonster,0,100000000,13214001
10321402,104114,2,DamageDoneToTargetMonster,100000001,280000000,13214002
10321403,104114,3,DamageDoneToTargetMonster,280000001,620000000,13214003
10321404,104114,4,DamageDoneToTargetMonster,620000001,1350000000,13214004
10321405,104114,5,DamageDoneToTargetMonster,1350000001,2380000000,13214005
10321406,104114,6,DamageDoneToTargetMonster,2380000001,3280000000,13214006
10321407,104114,7,DamageDoneToTargetMonster,3280000001,4250000000,13214007
10321408,104114,8,DamageDoneToTargetMonster,4250000001,5470000000,13214008
10321409,104114,9,DamageDoneToTargetMonster,5470000001,0,13214009
10322401,104124,1,DamageDoneToTargetMonster,0,100000000,13200101
10322402,104124,2,DamageDoneToTargetMonster,100000001,280000000,13200102
10322403,104124,3,DamageDoneToTargetMonster,280000001,620000000,13200103
10322404,104124,4,DamageDoneToTargetMonster,620000001,1350000000,13200104
10322405,104124,5,DamageDoneToTargetMonster,1350000001,2380000000,13200105
10322406,104124,6,DamageDoneToTargetMonster,2380000001,3280000000,13200106
10322407,104124,7,DamageDoneToTargetMonster,3280000001,4250000000,13200107
10322408,104124,8,DamageDoneToTargetMonster,4250000001,5470000000,13200108
10322409,104124,9,DamageDoneToTargetMonster,5470000001,0,13200109
10320501,104105,1,DamageDoneToTargetMonster,0,178000000,13200051
10320502,104105,2,DamageDoneToTargetMonster,178000001,475000000,13200052
10320503,104105,3,DamageDoneToTargetMonster,475000001,890000000,13200053
10320504,104105,4,DamageDoneToTargetMonster,890000001,1364000000,13200054
10320505,104105,5,DamageDoneToTargetMonster,1364000001,2194000000,13200055
10320506,104105,6,DamageDoneToTargetMonster,2194000001,3023000000,13200056
10320507,104105,7,DamageDoneToTargetMonster,3023000001,3853000000,13200057
10320508,104105,8,DamageDoneToTargetMonster,3853000001,5394000000,13200058
10320509,104105,9,DamageDoneToTargetMonster,5394000001,0,13200059
10321501,104115,1,DamageDoneToTargetMonster,0,178000000,13215001
10321502,104115,2,DamageDoneToTargetMonster,178000001,475000000,13215002
10321503,104115,3,DamageDoneToTargetMonster,475000001,890000000,13215003
10321504,104115,4,DamageDoneToTargetMonster,890000001,1364000000,13215004
10321505,104115,5,DamageDoneToTargetMonster,1364000001,2194000000,13215005
10321506,104115,6,DamageDoneToTargetMonster,2194000001,3023000000,13215006
10321507,104115,7,DamageDoneToTargetMonster,3023000001,3853000000,13215007
10321508,104115,8,DamageDoneToTargetMonster,3853000001,5394000000,13215008
10321509,104115,9,DamageDoneToTargetMonster,5394000001,0,13215009
10322501,104125,1,DamageDoneToTargetMonster,0,178000000,13200101
10322502,104125,2,DamageDoneToTargetMonster,178000001,475000000,13200102
10322503,104125,3,DamageDoneToTargetMonster,475000001,890000000,13200103
10322504,104125,4,DamageDoneToTargetMonster,890000001,1364000000,13200104
10322505,104125,5,DamageDoneToTargetMonster,1364000001,2194000000,13200105
10322506,104125,6,DamageDoneToTargetMonster,2194000001,3023000000,13200106
10322507,104125,7,DamageDoneToTargetMonster,3023000001,3853000000,13200107
10322508,104125,8,DamageDoneToTargetMonster,3853000001,5394000000,13200108
10322509,104125,9,DamageDoneToTargetMonster,5394000001,0,13200109
