id,archive_messenger_group_id,tid,archive_messenger_condition_list/0/condition_type,archive_messenger_condition_list/0/condition_id,archive_messenger_condition_list/1/condition_type,archive_messenger_condition_list/1/condition_id,archive_messenger_condition_list/2/condition_type,archive_messenger_condition_list/2/condition_id
7000403,40020,m_ex_2023_summer_03,EventStageClear,102110103,MessageClear,7000402,None,0
7000404,40020,m_ex_2023_summer_04,EventStageClear,102110112,MessageClear,7000403,None,0
7000405,40020,m_ex_2023_summer_05,EventStageClear,102110112,MessageClear,7000404,None,0
7000406,40020,m_ex_2023_summer_06,EventStageClear,102120112,MessageClear,7000405,None,0
7000501,40022,m_ex_nyanyaparadise_01,EventStageClear,102210105,None,0,None,0
7000502,40022,m_ex_nyanyaparadise_02,EventStageClear,102210108,MessageClear,7000501,None,0
7000503,40022,m_ex_nyanyaparadise_03,EventStageClear,102210110,MessageClear,7000502,None,0
7000504,40022,m_ex_nyanyaparadise_04,EventStageClear,102210111,MessageClear,7000503,None,0
7000505,40022,m_ex_nyanyaparadise_05,EventStageClear,102210112,MessageClear,7000504,None,0
7000506,40022,m_ex_nyanyaparadise_06,EventStageClear,102220112,MessageClear,7000505,None,0
7000601,40023,m_ex_goldenship_01,EventStageClear,102310103,None,0,None,0
7000602,40023,m_ex_goldenship_02,EventStageClear,102310107,MessageClear,7000601,None,0
7000603,40023,m_ex_goldenship_03,EventStageClear,102310112,MessageClear,7000602,None,0
7000604,40023,m_ex_goldenship_04,EventStageClear,102310112,MessageClear,7000603,None,0
7000605,40023,m_ex_goldenship_05,EventStageClear,102320112,MessageClear,7000604,None,0
7000701,40028,m_ex_schooloflock_01,EventStageClear,102810103,None,0,None,0
7000702,40028,m_ex_schooloflock_02,EventStageClear,102810105,MessageClear,7000701,None,0
7000703,40028,m_ex_schooloflock_03,EventStageClear,102810106,MessageClear,7000702,None,0
7000704,40028,m_ex_schooloflock_04,EventStageClear,102810110,MessageClear,7000703,None,0
7000705,40028,m_ex_schooloflock_05,EventStageClear,102810112,MessageClear,7000704,None,0
7000801,40029,m_ex_dazzlingcupid_01,EventStageClear,102910101,None,0,None,0
7000802,40029,m_ex_dazzlingcupid_02,EventStageClear,102910103,MessageClear,7000801,None,0
7000803,40029,m_ex_dazzlingcupid_03,EventStageClear,102910103,MessageClear,7000801,None,0
7000804,40029,m_ex_dazzlingcupid_04,EventStageClear,102910106,MessageClear,7000802,None,0
7000805,40029,m_ex_dazzlingcupid_05,EventStageClear,102910106,MessageClear,7000803,None,0
7000806,40029,m_ex_dazzlingcupid_06,EventStageClear,102920112,MessageClear,7000804,MessageClear,7000805
7000901,40030,m_ex_freezeacpu_01,EventStageClear,103010103,None,0,None,0
7000902,40030,m_ex_freezeacpu_02,EventStageClear,103010106,MessageClear,7000901,None,0
7000903,40030,m_ex_freezeacpu_03,EventStageClear,103010112,MessageClear,7000902,None,0
7000904,40030,m_ex_freezeacpu_04,EventStageClear,103020112,MessageClear,7000903,None,0
7000905,40030,m_ex_freezeacpu_05,MessageClear,7000904,None,0,None,0
7000906,40030,m_ex_freezeacpu_06,MessageClear,7000905,None,0,None,0
7001001,40033,m_ex_alonesurviver_01,EventStageClear,103310101,None,0,None,0
7001002,40033,m_ex_alonesurviver_02,EventStageClear,103310106,MessageClear,7001001,None,0
7001003,40033,m_ex_alonesurviver_03,EventStageClear,103310108,MessageClear,7001002,None,0
7001004,40033,m_ex_alonesurviver_04,EventStageClear,103310112,MessageClear,7001003,None,0
7001005,40033,m_ex_alonesurviver_05,EventStageClear,103320112,MessageClear,7001004,None,0
7001101,40037,m_ex_lionheart_01,EventStageClear,103710103,None,0,None,0
7001102,40037,m_ex_lionheart_02,EventStageClear,103710105,MessageClear,7001101,None,0
7001103,40037,m_ex_lionheart_03,EventStageClear,103710110,MessageClear,7001102,None,0
7001104,40037,m_ex_lionheart_04,EventStageClear,103710112,MessageClear,7001103,None,0
7001105,40037,m_ex_lionheart_05,EventStageClear,103720112,MessageClear,7001104,None,0
7001201,40038,m_ex_dirtybackyard_01,EventStageClear,103810101,None,0,None,0
7001202,40038,m_ex_dirtybackyard_02,EventStageClear,103810105,MessageClear,7001201,None,0
7001203,40038,m_ex_dirtybackyard_03,EventStageClear,103810106,MessageClear,7001202,None,0
7001204,40038,m_ex_dirtybackyard_04,EventStageClear,103810112,MessageClear,7001203,None,0
7001301,40039,m_ex_perfectmaid_01,EventStageClear,103910103,None,0,None,0
7001302,40039,m_ex_perfectmaid_02,EventStageClear,103910105,MessageClear,7001301,None,0
7001303,40039,m_ex_perfectmaid_03,EventStageClear,103910112,MessageClear,7001302,None,0
7001304,40039,m_ex_perfectmaid_04,EventStageClear,103920112,MessageClear,7001303,None,0
7001401,40040,m_ex_boomsday_01,EventStageClear,104010101,None,0,None,0
7001402,40040,m_ex_boomsday_02,EventStageClear,104010112,MessageClear,7001401,None,0
7001403,40040,m_ex_boomsday_03,EventStageClear,104010112,MessageClear,7001402,None,0
7001404,40040,m_ex_boomsday_04,EventStageClear,104020112,MessageClear,7001402,None,0
7001501,40043,m_ex_killthelord_01,EventStageClear,104310105,None,0,None,0
7001502,40043,m_ex_killthelord_02,EventStageClear,104310105,MessageClear,7001501,None,0
7001503,40043,m_ex_killthelord_03,EventStageClear,104310108,MessageClear,7001502,None,0
7001504,40043,m_ex_killthelord_04,EventStageClear,104310112,MessageClear,7001503,None,0
7001601,130004,m_ex_liarsend_01,CampaignClear,6600405,None,0,None,0
7001602,130004,m_ex_liarsend_02,CampaignClear,6600405,None,0,None,0
7001603,130004,m_ex_liarsend_03,CampaignClear,6600405,None,0,None,0
7001604,130004,m_ex_liarsend_04,CampaignClear,6600405,None,0,None,0
7001701,40044,m_ex_onemoretime_01,EventStageClear,104410105,None,0,None,0
7001702,40044,m_ex_onemoretime_02,EventStageClear,104410105,MessageClear,7001701,None,0
7001703,40044,m_ex_onemoretime_03,EventStageClear,104410110,MessageClear,7001702,None,0
7001704,40044,m_ex_onemoretime_04,EventStageClear,104410112,MessageClear,7001703,None,0
7001801,40047,m_ex_darkhero_01,EventStageClear,104710101,None,0,None,0
7001802,40047,m_ex_darkhero_02,EventStageClear,104710101,MessageClear,7001801,None,0
7001803,40047,m_ex_darkhero_03,EventStageClear,104710103,MessageClear,7001802,None,0
7001804,40047,m_ex_darkhero_04,EventStageClear,104720112,MessageClear,7001803,None,0
7001901,40050,m_ex_claymore_01,EventStageClear,105010106,None,0,None,0
7001902,40050,m_ex_claymore_02,EventStageClear,105010108,MessageClear,7001901,None,0
7001903,40050,m_ex_claymore_03,EventStageClear,105010112,MessageClear,7001902,None,0
7002001,40053,m_ex_juveniledays_01,EventStageClear,105310105,None,0,None,0
7002002,40053,m_ex_juveniledays_02,EventStageClear,105310110,MessageClear,7002001,None,0
7002003,40053,m_ex_juveniledays_03,EventStageClear,105310110,MessageClear,7002002,None,0
7002004,40053,m_ex_juveniledays_04,EventStageClear,105320112,MessageClear,7002003,None,0
7002101,40054,m_ex_colorless_01,EventStageClear,105410106,None,0,None,0
7002102,40054,m_ex_colorless_02,EventStageClear,105410110,MessageClear,7002101,None,0
7002103,40054,m_ex_colorless_03,EventStageClear,105410112,MessageClear,7002102,None,0
7002201,40058,m_ex_jinxplayer_01,EventStageClear,105810106,None,0,None,0
7002202,40058,m_ex_jinxplayer_02,EventStageClear,105810110,MessageClear,7002201,None,0
7002203,40058,m_ex_jinxplayer_03,EventStageClear,105810112,MessageClear,7002202,None,0
7002301,40059,m_ex_phantomthiefvsdetective_01,EventStageClear,105910105,None,0,None,0
7002302,40059,m_ex_phantomthiefvsdetective_02,EventStageClear,105910110,MessageClear,7002301,None,0
7002303,40059,m_ex_phantomthiefvsdetective_03,EventStageClear,105910112,MessageClear,7002302,None,0
7002304,40059,m_ex_phantomthiefvsdetective_04,EventStageClear,105920112,MessageClear,7002303,None,0
7002401,40060,m_ex_lifeagain_01,EventStageClear,106010106,None,0,None,0
7002402,40060,m_ex_lifeagain_02,EventStageClear,106010110,MessageClear,7002401,None,0
7002403,40060,m_ex_lifeagain_03,EventStageClear,106010112,MessageClear,7002402,None,0
7002404,40060,m_ex_lifeagain_04,EventStageClear,106020112,MessageClear,7002403,None,0
7002501,40063,m_ex_secretgarden_01,EventStageClear,106310105,None,0,None,0
7002502,40063,m_ex_secretgarden_02,EventStageClear,106310108,MessageClear,7002501,None,0
7002503,40063,m_ex_secretgarden_03,EventStageClear,106310110,MessageClear,7002502,None,0
7002504,40063,m_ex_secretgarden_04,EventStageClear,106310112,MessageClear,7002503,None,0
7002505,40063,m_ex_secretgarden_05,EventStageClear,106320112,MessageClear,7002504,None,0
7002601,40069,m_ex_romanticvalentine_01,EventStageClear,106910105,None,0,None,0
7002602,40069,m_ex_romanticvalentine_02,EventStageClear,106910110,MessageClear,7002601,None,0
7002603,40069,m_ex_romanticvalentine_03,EventStageClear,106910112,MessageClear,7002602,None,0
7002604,40069,m_ex_romanticvalentine_04,EventStageClear,106920112,MessageClear,7002603,None,0
7002701,40073,m_ex_newflavor_01,EventStageClear,107310105,None,0,None,0
7002702,40073,m_ex_newflavor_02,EventStageClear,107310108,MessageClear,7002701,None,0
7002703,40073,m_ex_newflavor_03,EventStageClear,107310112,MessageClear,7002702,None,0
7002704,40073,m_ex_newflavor_04,EventStageClear,107320112,MessageClear,7002703,None,0
7002801,40074,m_ex_trueflavor_01,EventStageClear,107410105,None,0,None,0
7002802,40074,m_ex_trueflavor_02,EventStageClear,107410110,MessageClear,7002801,None,0
7002803,40074,m_ex_trueflavor_03,EventStageClear,107410112,MessageClear,7002802,None,0
7002804,40074,m_ex_trueflavor_04,EventStageClear,107420112,MessageClear,7002803,None,0
