id,group_id,upgrade_list_order,upgrade_name,upgrade_description,upgrade_icon,upgrade_cost,upgrade_effect_type,upgrade_effect_value
10010501,100105,1,Locale_Event:td_fortheking_upgrade_name_herotower_atkup_2,Locale_Event:td_fortheking_upgrade_description_herotower_atkup_2,icn_upgrade_list_atkup_2,1,AtkIncrease,1500
10010502,100105,2,Locale_Event:td_fortheking_upgrade_name_herotower_rpmup_2,Locale_Event:td_fortheking_upgrade_description_herotower_rpmup_2,icn_upgrade_list_rpmup_2,2,RpmIncrease,1500
10010503,100105,3,Locale_Event:td_fortheking_upgrade_name_herotower_rangeup_2,Locale_Event:td_fortheking_upgrade_description_herotower_rangeup_2,icn_upgrade_list_rangeup_2,2,RangeIncrease,300
10010504,100105,4,Locale_Event:td_fortheking_upgrade_name_herotower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_herotower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10010505,100105,5,Locale_Event:td_fortheking_upgrade_name_herotower_burstcooldown,Locale_Event:td_fortheking_upgrade_description_herotower_burstcooldown,icn_upgrade_list_burstcooldown,3,BurstCoolTimeDecrease,1000
10010601,100106,1,Locale_Event:td_fortheking_upgrade_name_global_refundup_1,Locale_Event:td_fortheking_upgrade_description_global_refundup_1,icn_upgrade_list_refundup,1,RefundPenaltyDecrease,10
10010602,100106,2,Locale_Event:td_fortheking_upgrade_name_global_defensepointup_1,Locale_Event:td_fortheking_upgrade_description_global_defensepointup_1,icn_upgrade_list_defensepointup,1,DefensePointIncrease,5
10010603,100106,3,Locale_Event:td_fortheking_upgrade_name_global_refundup_2,Locale_Event:td_fortheking_upgrade_description_global_refundup_2,icn_upgrade_list_refundup,2,RefundPenaltyDecrease,10
10010604,100106,4,Locale_Event:td_fortheking_upgrade_name_global_defensepointup_2,Locale_Event:td_fortheking_upgrade_description_global_defensepointup_2,icn_upgrade_list_defensepointup,2,DefensePointIncrease,5
10010605,100106,5,Locale_Event:td_fortheking_upgrade_name_global_goldup,Locale_Event:td_fortheking_upgrade_description_global_goldup,icn_upgrade_list_goldup,3,GoldIncrease,2000
10020101,100201,1,Locale_Event:td_fortheking_upgrade_name_guntower_rpmup_1,Locale_Event:td_fortheking_upgrade_description_guntower_rpmup_1,icn_upgrade_list_rpmup_1,1,RpmIncrease,1000
10020102,100201,2,Locale_Event:td_fortheking_upgrade_name_guntower_rangeup_1,Locale_Event:td_fortheking_upgrade_description_guntower_rangeup_1,icn_upgrade_list_rangeup_1,1,RangeIncrease,200
10020103,100201,3,Locale_Event:td_fortheking_upgrade_name_guntower_atkup_1,Locale_Event:td_fortheking_upgrade_description_guntower_atkup_1,icn_upgrade_list_atkup_1,1,AtkIncrease,1000
10020104,100201,4,Locale_Event:td_fortheking_upgrade_name_guntower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_guntower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10020105,100201,5,Locale_Event:td_fortheking_upgrade_name_guntower_penetrateup_2,Locale_Event:td_fortheking_upgrade_description_guntower_penetrateup_2,icn_upgrade_list_penetrateup_2,3,PenetrateIncrease,2000
10020201,100202,1,Locale_Event:td_fortheking_upgrade_name_pulsetower_atkup_1,Locale_Event:td_fortheking_upgrade_description_pulsetower_atkup_1,icn_upgrade_list_atkup_1,1,AtkIncrease,1000
10020202,100202,2,Locale_Event:td_fortheking_upgrade_name_pulsetower_rangeup_1,Locale_Event:td_fortheking_upgrade_description_pulsetower_rangeup_1,icn_upgrade_list_rangeup_1,1,RangeIncrease,200
10020203,100202,3,Locale_Event:td_fortheking_upgrade_name_pulsetower_rpmup_1,Locale_Event:td_fortheking_upgrade_description_pulsetower_rpmup_1,icn_upgrade_list_rpmup_1,2,RpmIncrease,1000
10020204,100202,4,Locale_Event:td_fortheking_upgrade_name_pulsetower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_pulsetower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10020205,100202,5,Locale_Event:td_fortheking_upgrade_name_pulsetower_atkup_2,Locale_Event:td_fortheking_upgrade_description_pulsetower_atkup_2,icn_upgrade_list_atkup_2,3,AtkIncrease,1500
10020301,100203,1,Locale_Event:td_fortheking_upgrade_name_cannontower_effectrangeup_1,Locale_Event:td_fortheking_upgrade_description_cannontower_effectrangeup_1,icn_upgrade_list_effectrangeup_1,1,EffectRangeIncrease,50
10020302,100203,2,Locale_Event:td_fortheking_upgrade_name_cannontower_towercostdown,Locale_Event:td_fortheking_upgrade_description_cannontower_towercostdown,icn_upgrade_list_towercostdown,2,DiscountCost,1000
10020303,100203,3,Locale_Event:td_fortheking_upgrade_name_cannontower_atkup_1,Locale_Event:td_fortheking_upgrade_description_cannontower_atkup_1,icn_upgrade_list_atkup_1,2,AtkIncrease,1000
10020304,100203,4,Locale_Event:td_fortheking_upgrade_name_cannontower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_cannontower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10020305,100203,5,Locale_Event:td_fortheking_upgrade_name_cannontower_effectrangeup_2,Locale_Event:td_fortheking_upgrade_description_cannontower_effectrangeup_2,icn_upgrade_list_effectrangeup_2,3,EffectRangeIncrease,100
10020401,100204,1,Locale_Event:td_fortheking_upgrade_name_icecannontower_debuffpowerup_1,Locale_Event:td_fortheking_upgrade_description_icecannontower_debuffpowerup_1,icn_upgrade_list_debuffpowerup_1,1,DebuffPowerUp,250
10020402,100204,2,Locale_Event:td_fortheking_upgrade_name_icecannontower_effectrangeup_1,Locale_Event:td_fortheking_upgrade_description_icecannontower_effectrangeup_1,icn_upgrade_list_effectrangeup_1,1,EffectRangeIncrease,50
10020403,100204,3,Locale_Event:td_fortheking_upgrade_name_icecannontower_debufftimeup_1,Locale_Event:td_fortheking_upgrade_description_icecannontower_debufftimeup_1,icn_upgrade_list_debufftimeup_1,1,SetDebuffTimeIncrease,50
10020404,100204,4,Locale_Event:td_fortheking_upgrade_name_icecannontower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_icecannontower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10020405,100204,5,Locale_Event:td_fortheking_upgrade_name_icecannontower_debuffpowerup_2,Locale_Event:td_fortheking_upgrade_description_icecannontower_debuffpowerup_2,icn_upgrade_list_debuffpowerup_2,3,DebuffPowerUp,500
10020501,100205,1,Locale_Event:td_fortheking_upgrade_name_herotower_atkup_2,Locale_Event:td_fortheking_upgrade_description_herotower_atkup_2,icn_upgrade_list_atkup_2,1,AtkIncrease,1500
10020502,100205,2,Locale_Event:td_fortheking_upgrade_name_herotower_rpmup_2,Locale_Event:td_fortheking_upgrade_description_herotower_rpmup_2,icn_upgrade_list_rpmup_2,2,RpmIncrease,1500
10020503,100205,3,Locale_Event:td_fortheking_upgrade_name_herotower_rangeup_2,Locale_Event:td_fortheking_upgrade_description_herotower_rangeup_2,icn_upgrade_list_rangeup_2,2,RangeIncrease,300
10020504,100205,4,Locale_Event:td_fortheking_upgrade_name_herotower_skillcostdown,Locale_Event:td_fortheking_upgrade_description_herotower_skillcostdown,icn_upgrade_list_skillcostdown,2,DiscountSkillCost,2000
10020505,100205,5,Locale_Event:td_fortheking_upgrade_name_herotower_burstcooldown,Locale_Event:td_fortheking_upgrade_description_herotower_burstcooldown,icn_upgrade_list_burstcooldown,3,BurstCoolTimeDecrease,1000
10020601,100206,1,Locale_Event:td_fortheking_upgrade_name_global_refundup_1,Locale_Event:td_fortheking_upgrade_description_global_refundup_1,icn_upgrade_list_refundup,1,RefundPenaltyDecrease,10
10020602,100206,2,Locale_Event:td_fortheking_upgrade_name_global_defensepointup_1,Locale_Event:td_fortheking_upgrade_description_global_defensepointup_1,icn_upgrade_list_defensepointup,1,DefensePointIncrease,5
10020603,100206,3,Locale_Event:td_fortheking_upgrade_name_global_refundup_2,Locale_Event:td_fortheking_upgrade_description_global_refundup_2,icn_upgrade_list_refundup,2,RefundPenaltyDecrease,10
10020604,100206,4,Locale_Event:td_fortheking_upgrade_name_global_defensepointup_2,Locale_Event:td_fortheking_upgrade_description_global_defensepointup_2,icn_upgrade_list_defensepointup,2,DefensePointIncrease,5
10020605,100206,5,Locale_Event:td_fortheking_upgrade_name_global_goldup,Locale_Event:td_fortheking_upgrade_description_global_goldup,icn_upgrade_list_goldup,3,GoldIncrease,2000
