id,manager_id,is_consume_stamina,is_heroine_group,target_heroine_id,forced_appear_start_day,forced_appear_location,forced_appear_time,dialog_event_id,is_use_lost_item,lost_item_id,lost_item_occur_dialog_event_id,lost_item_require_dialog_event_id,relation_result_event_type,relation_appear_dialog_condition_list/0/event_condition_dialog_event,relation_appear_dialog_condition_list/1/event_condition_dialog_event,relation_appear_dialog_condition_list/2/event_condition_dialog_event,relation_appear_heroine_condition_list/0/condition_target_heroine,relation_appear_heroine_condition_list/0/event_condition_relation_lv,relation_appear_heroine_condition_list/0/event_condition_relation_point,relation_appear_heroine_condition_list/1/condition_target_heroine,relation_appear_heroine_condition_list/1/event_condition_relation_lv,relation_appear_heroine_condition_list/1/event_condition_relation_point,relation_appear_heroine_condition_list/2/condition_target_heroine,relation_appear_heroine_condition_list/2/event_condition_relation_lv,relation_appear_heroine_condition_list/2/event_condition_relation_point,relation_appear_selection_condition_list/0/event_condition_selection_event,relation_appear_selection_condition_list/1/event_condition_selection_event,relation_appear_selection_condition_list/2/event_condition_selection_event
snowfall_episode_ludmilla_04,1001,False,False,snowfalloasis_ludmilla,4,snowfalloasis_inn,DayTime,snowfall_episode_ludmilla_04,False,0,,,Relationlvup,,,,snowfalloasis_ludmilla,3,75,,0,0,,0,0,,,
snowfall_episode_ludmilla_05,1001,False,False,snowfalloasis_ludmilla,4,snowfalloasis_hotspring,Evening,snowfall_episode_ludmilla_05,False,0,,,Relationlvup,snowfall_global_08,,,snowfalloasis_ludmilla,4,75,,0,0,,0,0,,,
snowfall_episode_ludmilla_06,1001,False,False,snowfalloasis_ludmilla,4,snowfalloasis_trail,Night,snowfall_episode_ludmilla_06,False,0,,,Ending,,,,snowfalloasis_ludmilla,5,75,,0,0,,0,0,,,
snowfall_episode_ludmilla_07,1001,False,False,snowfalloasis_ludmilla,4,snowfalloasis_trail,Night,snowfall_episode_ludmilla_07,False,0,,,Hiddenending,,,,snowfalloasis_ludmilla,6,100,,0,0,,0,0,,,
snowfall_episode_noir_01,1001,True,False,snowfalloasis_noir,8,snowfalloasis_bamboo,DayTime,snowfall_episode_noir_01,False,0,,,Unlockheroine,,,,,0,0,,0,0,,0,0,,,
snowfall_episode_noir_03_e,1001,False,False,snowfalloasis_noir,8,snowfalloasis_trail,Evening,snowfall_episode_noir_03_e,True,100105,snowfall_episode_noir_03_s,snowfall_episode_noir_03_m,Relationlvup,,,,snowfalloasis_noir,2,50,snowfalloasis_blanc,3,0,,0,0,,,
snowfall_episode_blanc_01,1001,True,False,snowfalloasis_blanc,9,snowfalloasis_hotspring,DayTime,snowfall_episode_blanc_01,False,0,,,Unlockheroine,,,,,0,0,,0,0,,0,0,,,
snowfall_episode_blanc_03,1001,False,False,snowfalloasis_blanc,9,snowfalloasis_trail,Night,snowfall_episode_blanc_03,False,0,,,Relationlvup,,,,snowfalloasis_blanc,2,50,,0,0,,0,0,,,
snowfall_episode_noirblanc_02,1001,False,True,snowfalloasis_bunnysisters,9,snowfalloasis_inn,DayTime,snowfall_episode_noirblanc_02,False,0,,,Relationlvup,snowfall_global_09,,,snowfalloasis_noir,1,50,snowfalloasis_blanc,1,50,,0,0,,,
snowfall_episode_noirblanc_04,1001,False,True,snowfalloasis_bunnysisters,9,snowfalloasis_inn,DayTime,snowfall_episode_noirblanc_04,False,0,,,Ending,,,,snowfalloasis_noir,3,75,snowfalloasis_blanc,3,75,,0,0,,,
snowfall_episode_noirblanc_05,1001,False,True,snowfalloasis_bunnysisters,9,snowfalloasis_hotspring,DayTime,snowfall_episode_noirblanc_05,False,0,,,Hiddenending,,,,snowfalloasis_noir,4,100,snowfalloasis_blanc,4,100,,0,0,,,
