id,group,order,type,value
15021,150,21,Description,HELP_ARENA_08_01
15022,150,22,Title,HELP_ARENA_09
15023,150,23,Description,HELP_ARENA_09_01_231102
15024,150,24,Description,HELP_ARENA_09_02_231102
15025,150,25,Description,HELP_ARENA_09_03_231102
15026,150,26,Title,HELP_ARENA_10
15027,150,27,Description,HELP_ARENA_10_01
15028,150,28,Description,HELP_ARENA_10_02
15029,150,29,Title,HELP_ARENA_11
15030,150,30,Description,HELP_ARENA_11_01
15031,150,31,Description,HELP_ARENA_11_02
15032,150,32,Description,HELP_ARENA_11_03
16001,160,1,Title,HELP_SPECIAL_ARENA_01
16002,160,2,Description,HELP_SPECIAL_ARENA_01_01
16003,160,3,Title,HELP_SPECIAL_ARENA_02
16004,160,4,Description,HELP_SPECIAL_ARENA_02_01
16005,160,5,Description,HELP_SPECIAL_ARENA_02_02
16006,160,6,Description,HELP_SPECIAL_ARENA_02_03
16007,160,7,Title,HELP_SPECIAL_ARENA_03
16008,160,8,Description,HELP_SPECIAL_ARENA_03_01
16009,160,9,Title,HELP_SPECIAL_ARENA_04
16010,160,10,Description,HELP_SPECIAL_ARENA_04_01
16011,160,11,Title,HELP_SPECIAL_ARENA_05
16012,160,12,Description,HELP_SPECIAL_ARENA_05_01
16013,160,13,Title,HELP_SPECIAL_ARENA_06
16014,160,14,Description,HELP_SPECIAL_ARENA_06_01
16015,160,15,Description,HELP_SPECIAL_ARENA_06_02
16016,160,16,Title,HELP_SPECIAL_ARENA_07
16017,160,17,Description,HELP_SPECIAL_ARENA_07_01
16018,160,18,Description,HELP_SPECIAL_ARENA_07_02
16019,160,19,Title,HELP_SPECIAL_ARENA_08
16020,160,20,Description,HELP_SPECIAL_ARENA_08_01
16021,160,21,Title,HELP_SPECIAL_ARENA_09
16022,160,22,Description,HELP_SPECIAL_ARENA_09_01
16023,160,23,Description,HELP_SPECIAL_ARENA_09_02
16024,160,24,Description,HELP_SPECIAL_ARENA_09_03
16025,160,25,Title,HELP_SPECIAL_ARENA_10
16026,160,26,Description,HELP_SPECIAL_ARENA_10_01
16027,160,27,Description,HELP_SPECIAL_ARENA_10_02
16028,160,28,Title,HELP_SPECIAL_ARENA_11
16029,160,29,Description,HELP_SPECIAL_ARENA_11_01
16030,160,30,Description,HELP_SPECIAL_ARENA_11_05
16031,160,31,Description,HELP_SPECIAL_ARENA_11_03
16032,160,32,Description,HELP_SPECIAL_ARENA_11_04
16033,160,33,Title,HELP_SPECIAL_ARENA_12
16034,160,34,Description,HELP_SPECIAL_ARENA_12_01
16035,160,35,Description,HELP_SPECIAL_ARENA_12_02
16036,160,36,Title,HELP_SPECIAL_ARENA_13
16037,160,37,Description,HELP_SPECIAL_ARENA_13_01
16038,160,38,Description,HELP_SPECIAL_ARENA_13_02
16039,160,39,Description,HELP_SPECIAL_ARENA_13_03
16040,160,40,Title,HELP_SPECIAL_ARENA_14
16041,160,41,Description,HELP_SPECIAL_ARENA_14_01
16042,160,42,Title,HELP_SPECIAL_ARENA_15
16043,160,43,Description,HELP_SPECIAL_ARENA_15_01_231102
16044,160,44,Description,HELP_SPECIAL_ARENA_15_02_231102
16045,160,45,Description,HELP_SPECIAL_ARENA_15_03_231102
16046,160,46,Title,HELP_SPECIAL_ARENA_16
16047,160,47,Description,HELP_SPECIAL_ARENA_16_01
16048,160,48,Description,HELP_SPECIAL_ARENA_16_02
16049,160,49,Description,HELP_SPECIAL_ARENA_16_03
16050,160,50,Title,HELP_SPECIAL_ARENA_17
16051,160,51,Description,HELP_SPECIAL_ARENA_17_01
16052,160,52,Description,HELP_SPECIAL_ARENA_17_02
16101,161,1,Title,HELP_CHAMPION_ARENA_01
16102,161,2,Description,HELP_CHAMPION_ARENA_01_01
16103,161,3,Description,HELP_CHAMPION_ARENA_01_02
16104,161,4,Title,HELP_CHAMPION_ARENA_02
16105,161,5,Description,HELP_CHAMPION_ARENA_02_01
16106,161,6,Description,HELP_CHAMPION_ARENA_02_02
16107,161,7,Description,HELP_CHAMPION_ARENA_02_03
16108,161,8,Description,HELP_CHAMPION_ARENA_02_04
16109,161,9,Title,HELP_CHAMPION_ARENA_03
16110,161,10,Description,HELP_CHAMPION_ARENA_03_01
16111,161,11,Description,HELP_CHAMPION_ARENA_03_02
16112,161,12,Description,HELP_CHAMPION_ARENA_03_03
16113,161,13,Title,HELP_CHAMPION_ARENA_04
16114,161,14,Description,HELP_CHAMPION_ARENA_04_01
16115,161,15,Description,HELP_CHAMPION_ARENA_04_02
16116,161,16,Title,HELP_CHAMPION_ARENA_05
16117,161,17,Description,HELP_CHAMPION_ARENA_05_01
16118,161,18,Description,HELP_CHAMPION_ARENA_05_02
16119,161,19,Description,HELP_CHAMPION_ARENA_05_03
16120,161,20,Title,HELP_CHAMPION_ARENA_06
16121,161,21,Description,HELP_CHAMPION_ARENA_06_01
16122,161,22,Title,HELP_CHAMPION_ARENA_07
16123,161,23,Description,HELP_CHAMPION_ARENA_7_01
16124,161,24,Description,HELP_CHAMPION_ARENA_7_02
16125,162,1,Title,HELP_CHAMPION_ARENA_11
16126,162,2,Description,HELP_CHAMPION_ARENA_11_01
16127,162,3,Description,HELP_CHAMPION_ARENA_11_02
16128,162,4,Description,HELP_CHAMPION_ARENA_11_04
16129,162,5,Title,HELP_CHAMPION_ARENA_12
16130,162,6,Description,HELP_CHAMPION_ARENA_12_01
16131,162,7,Description,HELP_CHAMPION_ARENA_12_03
16132,162,8,Title,HELP_CHAMPION_ARENA_13
16133,162,9,Description,HELP_CHAMPION_ARENA_13_01
16134,162,10,Description,HELP_CHAMPION_ARENA_13_02
16135,163,1,Title,HELP_CHAMPION_ARENA_21
16136,163,2,Description,HELP_CHAMPION_ARENA_21_01
16137,163,3,Description,HELP_CHAMPION_ARENA_21_02
16138,163,4,Title,HELP_CHAMPION_ARENA_13
16139,163,5,Description,HELP_CHAMPION_ARENA_13_01
16140,163,6,Description,HELP_CHAMPION_ARENA_13_02
16141,163,7,Title,HELP_CHAMPION_ARENA_22
16142,163,8,Description,HELP_CHAMPION_ARENA_22_01
16143,163,9,Description,HELP_CHAMPION_ARENA_22_05
16144,163,10,Description,HELP_CHAMPION_ARENA_22_06
16145,163,11,Description,HELP_CHAMPION_ARENA_22_04
16146,164,1,Title,HELP_CHAMPION_ARENA_31
16147,164,2,Description,HELP_CHAMPION_ARENA_31_01
16148,164,3,Description,HELP_CHAMPION_ARENA_31_02
16149,164,4,Title,HELP_CHAMPION_ARENA_13
16150,164,5,Description,HELP_CHAMPION_ARENA_13_01
16151,164,6,Description,HELP_CHAMPION_ARENA_13_02
16152,164,7,Title,HELP_CHAMPION_ARENA_22
16153,164,8,Description,HELP_CHAMPION_ARENA_22_01
16154,164,9,Description,HELP_CHAMPION_ARENA_22_05
16155,164,10,Description,HELP_CHAMPION_ARENA_22_06
16156,164,11,Description,HELP_CHAMPION_ARENA_22_04
17001,170,1,Title,HELP_GUILD_01
17002,170,2,Description,HELP_GUILD_01_01
17003,170,3,Title,HELP_GUILD_02
17004,170,4,Description,HELP_GUILD_02_01
17005,170,5,Description,HELP_GUILD_02_02
17006,170,6,Description,HELP_GUILD_02_03
17007,170,7,Description,HELP_GUILD_02_04
17008,170,8,Description,HELP_GUILD_02_05
17009,170,9,Title,HELP_GUILD_03
17010,170,10,Description,HELP_GUILD_03_01
17011,170,11,Title,HELP_GUILD_04
17012,170,12,Description,HELP_GUILD_04_01
17013,170,13,Description,HELP_GUILD_04_02
17014,170,14,Title,HELP_GUILD_05
17015,170,15,Description,HELP_GUILD_05_01
17016,170,16,Title,HELP_GUILD_06
17017,170,17,Description,HELP_GUILD_06_01
17018,170,18,Description,HELP_GUILD_06_02
18001,180,1,Title,HELP_GUILD_MANAGEMENT_01
18002,180,2,Description,HELP_GUILD_MANAGEMENT_01_01
18003,180,3,Title,HELP_GUILD_MANAGEMENT_02
18004,180,4,Description,HELP_GUILD_MANAGEMENT_02_01
18005,180,5,Title,HELP_GUILD_MANAGEMENT_03
18006,180,6,Description,HELP_GUILD_MANAGEMENT_03_01
18007,180,7,Description,HELP_GUILD_MANAGEMENT_03_02
18008,180,8,Description,HELP_GUILD_MANAGEMENT_03_03
18009,180,9,Description,HELP_GUILD_MANAGEMENT_03_04
18010,180,10,Description,HELP_GUILD_MANAGEMENT_03_05
18011,180,11,Description,HELP_GUILD_MANAGEMENT_03_06
18012,180,12,Title,HELP_GUILD_MANAGEMENT_04
18013,180,13,Description,HELP_GUILD_MANAGEMENT_04_01
19001,190,1,Title,HELP_SHOOTING_RANGE_01
19002,190,2,Description,HELP_SHOOTING_RANGE_01_01
19003,190,3,Title,HELP_SHOOTING_RANGE_02
19004,190,4,Description,HELP_SHOOTING_RANGE_02_01
19005,190,5,Description,HELP_SHOOTING_RANGE_02_02
19101,191,1,Title,HELP_SHOOTING_RANGE_SPEC_01
19102,191,2,Description,HELP_SHOOTING_RANGE_SPEC_01_01
19103,191,3,Description,HELP_SHOOTING_RANGE_SPEC_01_02
20001,200,1,Title,HELP_INTERCEPT_01
20002,200,2,Description,HELP_INTERCEPT_01_01
20003,200,3,Title,HELP_INTERCEPT_02
20004,200,4,Description,HELP_INTERCEPT_02_01
20005,200,5,Description,HELP_INTERCEPT_02_02
20006,200,6,Title,HELP_INTERCEPT_03
20007,200,7,Description,HELP_INTERCEPT_03_01
20008,200,8,Title,HELP_INTERCEPT_04
20009,200,9,Description,HELP_INTERCEPT_04_01
20010,200,10,Description,HELP_INTERCEPT_04_02
21001,210,1,Title,HELP_OUTPOST_01
21002,210,2,Description,HELP_OUTPOST_01_01
21003,210,3,Title,HELP_OUTPOST_02
21004,210,4,Description,HELP_OUTPOST_02_01
21005,210,5,Description,HELP_OUTPOST_02_02
21006,210,6,Description,HELP_OUTPOST_02_03
21007,210,7,Title,HELP_OUTPOST_03
21008,210,8,Description,HELP_OUTPOST_03_01
21009,210,9,Description,HELP_OUTPOST_03_02
21010,210,10,Description,HELP_OUTPOST_03_03
21601,216,1,Title,HELP_EP_MISSION_01
21602,216,2,Description,HELP_EP_MISSION_01_01
21603,216,3,Description,HELP_EP_MISSION_01_02
21604,216,4,Description,HELP_EP_MISSION_01_03
21605,216,5,Title,HELP_EP_MISSION_02
21606,216,6,Description,HELP_EP_MISSION_02_01
22001,220,1,Title,HELP_OUTPOST_BATTLE_01
22002,220,2,Description,HELP_OUTPOST_BATTLE_01_01
22003,220,3,Description,HELP_OUTPOST_BATTLE_01_02
22004,220,4,Title,HELP_OUTPOST_BATTLE_02
22005,220,5,Description,HELP_OUTPOST_BATTLE_02_01
22101,221,1,Title,HELP_OUTPOST_BATTLE_REWARD_01
22102,221,2,Description,HELP_OUTPOST_BATTLE_REWARD_01_01
22103,221,3,Description,HELP_OUTPOST_BATTLE_REWARD_01_02
22104,221,4,Description,HELP_OUTPOST_BATTLE_REWARD_01_03
22105,221,5,Title,HELP_OUTPOST_BATTLE_REWARD_02
22106,221,6,Description,HELP_OUTPOST_BATTLE_REWARD_02_01
22107,221,7,Description,HELP_OUTPOST_BATTLE_REWARD_02_02
22108,221,8,Title,HELP_OUTPOST_BATTLE_REWARD_03
22109,221,9,Description,HELP_OUTPOST_BATTLE_REWARD_03_01
23001,230,1,Title,HELP_SYNCHRO_01
23002,230,2,Description,HELP_SYNCHRO_01_01
23003,230,3,Title,HELP_SYNCHRO_02
23004,230,4,Description,HELP_SYNCHRO_02_01
23005,230,5,Title,HELP_SYNCHRO_03
23006,230,6,Description,HELP_SYNCHRO_03_01
23007,230,7,Title,HELP_SYNCHRO_04
23008,230,8,Description,HELP_SYNCHRO_04_01
23009,230,9,Description,HELP_SYNCHRO_04_02
23010,230,10,Title,HELP_SYNCHRO_05
23011,230,11,Description,HELP_SYNCHRO_05_01
23012,230,12,Description,HELP_SYNCHRO_05_02
23013,230,13,Description,HELP_SYNCHRO_05_03
23014,230,14,Title,HELP_SYNCHRO_06
23015,230,15,Description,HELP_SYNCHRO_06_01
24001,240,1,Title,HELP_RECYCLE_ROOM_01
24002,240,2,Description,HELP_RECYCLE_ROOM_01_01
24003,240,3,Title,HELP_RECYCLE_ROOM_02
24004,240,4,Description,HELP_RECYCLE_ROOM_02_01
24005,240,5,Description,HELP_RECYCLE_ROOM_02_02
24006,240,6,Title,HELP_RECYCLE_ROOM_03
24007,240,7,Description,HELP_RECYCLE_ROOM_03_01
24008,240,8,Description,HELP_RECYCLE_ROOM_03_02
24009,240,9,Description,HELP_RECYCLE_ROOM_03_03
24010,240,10,Title,HELP_RECYCLE_ROOM_04
24011,240,11,Description,HELP_RECYCLE_ROOM_04_01
24012,240,12,Description,HELP_RECYCLE_ROOM_04_02
24013,240,13,Description,HELP_RECYCLE_ROOM_04_03
25001,250,1,Title,HELP_ACADEMY_01
25002,250,2,Description,HELP_ACADEMY_01_01
25003,250,3,Title,HELP_ACADEMY_02
25004,250,4,Description,HELP_ACADEMY_02_01
25005,250,5,Description,HELP_ACADEMY_02_02
25006,250,6,Title,HELP_ACADEMY_03
25007,250,7,Description,HELP_ACADEMY_03_01
26001,260,1,Title,HELP_INFRACORE_01
26002,260,2,Description,HELP_INFRACORE_01_01
26003,260,3,Description,HELP_INFRACORE_01_02
26004,260,4,Title,HELP_INFRACORE_02
26005,260,5,Description,HELP_INFRACORE_02_01
26006,260,6,Description,HELP_INFRACORE_02_02
26007,260,7,Title,HELP_INFRACORE_03
26008,260,8,Description,HELP_INFRACORE_03_01
27001,270,1,Title,HELP_CHARACTER_MANAGE_01
27002,270,2,Description,HELP_CHARACTER_MANAGE_01_01
27003,270,3,Title,HELP_CHARACTER_MANAGE_02
27004,270,4,Description,HELP_CHARACTER_MANAGE_02_01
27005,270,5,Description,HELP_CHARACTER_MANAGE_02_02
27006,270,6,Description,HELP_CHARACTER_MANAGE_02_03
27007,270,7,Title,HELP_CHARACTER_MANAGE_03
27008,270,8,Description,HELP_CHARACTER_MANAGE_03_01
27009,270,9,Description,HELP_CHARACTER_MANAGE_03_02
27010,270,10,Description,HELP_CHARACTER_MANAGE_03_03
27011,270,11,Title,HELP_CHARACTER_MANAGE_04
27012,270,12,Description,HELP_CHARACTER_MANAGE_04_01
27013,270,13,Description,HELP_CHARACTER_MANAGE_04_02
28001,280,1,Title,HELP_MEMORIAL_01
28002,280,2,Description,HELP_MEMORIAL_01_01
28003,280,3,Title,HELP_MEMORIAL_02
28004,280,4,Description,HELP_MEMORIAL_02_01
28005,280,5,Title,HELP_MEMORIAL_03
28006,280,6,Description,HELP_MEMORIAL_03_01
29001,290,1,Title,HELP_JUKEBOX_01
29002,290,2,Description,HELP_JUKEBOX_01_01
29003,290,3,Title,HELP_JUKEBOX_02
29004,290,4,Description,HELP_JUKEBOX_02_01
29005,290,5,Title,HELP_JUKEBOX_03
29006,290,6,Description,HELP_JUKEBOX_03_01
29007,290,7,Title,HELP_JUKEBOX_05
29008,290,8,Description,HELP_JUKEBOX_05_01
29009,290,9,Description,HELP_JUKEBOX_05_02
29010,290,10,Description,HELP_JUKEBOX_05_03
29011,290,11,Description,HELP_JUKEBOX_05_04
29012,290,12,Description,HELP_JUKEBOX_05_05
29013,290,13,Title,HELP_JUKEBOX_04
29014,290,14,Description,HELP_JUKEBOX_04_01
30001,300,1,Title,HELP_DISPATCH_01
30002,300,2,Description,HELP_DISPATCH_01_01
30003,300,3,Title,HELP_DISPATCH_02
30004,300,4,Description,HELP_DISPATCH_02_01
30005,300,5,Title,HELP_DISPATCH_03
30006,300,6,Description,HELP_DISPATCH_03_01
30007,300,7,Description,HELP_DISPATCH_03_02
30008,300,8,Description,HELP_DISPATCH_05_02
30009,300,9,Title,HELP_DISPATCH_04
30010,300,10,Description,HELP_DISPATCH_04_01
30011,300,11,Description,HELP_DISPATCH_04_02
30012,300,12,Description,HELP_DISPATCH_04_03
31001,310,1,Title,HELP_CONTENTS_SHOP_01
31002,310,2,Description,HELP_CONTENTS_SHOP_01_01
31003,310,3,Title,HELP_CONTENTS_SHOP_02
31004,310,4,Description,HELP_CONTENTS_SHOP_02_01
31005,310,5,Description,HELP_CONTENTS_SHOP_02_02
31006,310,6,Title,HELP_CONTENTS_SHOP_03
31007,310,7,Description,HELP_CONTENTS_SHOP_03_01
31008,310,8,Description,HELP_CONTENTS_SHOP_03_02
32001,320,1,Title,HELP_EMERGENCY_QUEST_01
32002,320,2,Description,HELP_EMERGENCY_QUEST_01_01
32003,320,3,Title,HELP_EMERGENCY_QUEST_02
32004,320,4,Description,HELP_EMERGENCY_QUEST_02_01
33001,330,1,Title,HELP_FRIEND_01
33002,330,2,Description,HELP_FRIEND_01_01
33003,330,3,Title,HELP_FRIEND_02
33004,330,4,Description,HELP_FRIEND_02_01
33005,330,5,Title,HELP_FRIEND_03
33006,330,6,Description,HELP_FRIEND_03_01
33007,330,7,Description,HELP_FRIEND_03_02
33008,330,8,Title,HELP_FRIEND_04
33009,330,9,Description,HELP_FRIEND_04_01
33010,330,10,Title,HELP_FRIEND_05
33011,330,11,Description,HELP_FRIEND_05_01
33012,330,12,Description,HELP_FRIEND_05_02
34001,340,1,Title,HELP_MY_LOBBY_01
34002,340,2,Description,HELP_MY_LOBBY_01_01
34003,340,3,Title,HELP_MY_LOBBY_02
34004,340,4,Description,HELP_MY_LOBBY_02_01
34005,340,5,Title,HELP_MY_LOBBY_03
34006,340,6,Description,HELP_MY_LOBBY_03_01
34101,341,1,Title,HELP_BACKGROUND_FILL_01
34102,341,2,Description,HELP_BACKGROUND_FILL_01_01
34103,341,3,Description,HELP_BACKGROUND_FILL_01_02
34104,341,4,Title,HELP_BACKGROUND_FILL_02
34105,341,5,Description,HELP_BACKGROUND_FILL_02_01
34106,341,6,Description,HELP_BACKGROUND_FILL_02_02
35001,350,1,Title,HELP_COOPERATION_01
35002,350,2,Description,HELP_COOPERATION_01_01
35003,350,3,Title,HELP_COOPERATION_02
35004,350,4,Description,HELP_COOPERATION_02_01
35005,350,5,Description,HELP_COOPERATION_02_02
35006,350,6,Title,HELP_COOPERATION_03
35007,350,7,Description,HELP_COOPERATION_03_01
35008,350,8,Title,HELP_COOPERATION_04
35009,350,9,Description,HELP_COOPERATION_04_01
35010,350,10,Title,HELP_COOPERATION_05
35011,350,11,Description,HELP_COOPERATION_05_01
35012,350,12,Title,HELP_COOPERATION_06
35013,350,13,Description,HELP_COOPERATION_06_01
35014,350,14,Title,HELP_COOPERATION_07
35015,350,15,Description,HELP_COOPERATION_07_01
35016,350,16,Description,HELP_COOPERATION_07_02
35017,350,17,Title,HELP_COOPERATION_08
35018,350,18,Description,HELP_COOPERATION_08_01
35019,350,19,Title,HELP_COOPERATION_09
35020,350,20,Description,HELP_COOPERATION_09_01
35021,350,21,Title,HELP_COOPERATION_10
35022,350,22,Description,HELP_COOPERATION_10_01
35023,350,23,Title,HELP_COOPERATION_11
35024,350,24,Description,HELP_COOPERATION_11_01
35025,350,25,Description,HELP_COOPERATION_11_02
35026,350,26,Description,HELP_COOPERATION_11_03
36001,360,1,Title,HELP_CAMPAIGN_RANKING_01
36002,360,2,Description,HELP_CAMPAIGN_RANKING_01_01
36003,360,3,Title,HELP_CAMPAIGN_RANKING_02
36004,360,4,Description,HELP_CAMPAIGN_RANKING_02_01
37001,370,1,Title,HELP_POINT_RANKING_01
37002,370,2,Description,HELP_POINT_RANKING_01_01
37003,370,3,Title,HELP_POINT_RANKING_02
37004,370,4,Description,HELP_POINT_RANKING_02_01
37005,370,5,Title,HELP_POINT_RANKING_03
37006,370,6,Description,HELP_POINT_RANKING_03_01
37007,370,7,Description,HELP_POINT_RANKING_03_02
37008,370,8,Description,HELP_POINT_RANKING_03_03
37009,370,9,Description,HELP_POINT_RANKING_03_04
37010,370,10,Description,HELP_POINT_RANKING_03_05
37011,370,11,Title,HELP_POINT_RANKING_04
37012,370,12,Description,HELP_POINT_RANKING_04_01
37013,370,13,Title,HELP_POINT_RANKING_05
37014,370,14,Description,HELP_POINT_RANKING_05_01
37015,370,15,Title,HELP_POINT_RANKING_06
37016,370,16,Description,HELP_POINT_RANKING_06_01
37017,370,17,Title,HELP_POINT_RANKING_07
37018,370,18,Description,HELP_POINT_RANKING_07_01
38001,380,1,Title,HELP_TOWER_RANKING_01
38002,380,2,Description,HELP_TOWER_RANKING_01_01
38003,380,3,Title,HELP_TOWER_RANKING_02
38004,380,4,Description,HELP_TOWER_RANKING_02_01
38101,381,1,Title,HELP_MUSEUM_RANKING_01
38102,381,2,Description,HELP_MUSEUM_RANKING_01_01
38103,381,3,Title,HELP_MUSEUM_RANKING_02
38104,381,4,Description,HELP_MUSEUM_RANKING_02_01
38105,381,5,Description,HELP_MUSEUM_RANKING_02_02
38106,381,6,Title,HELP_MUSEUM_RANKING_03
38107,381,7,Description,HELP_MUSEUM_RANKING_03_01
38201,382,1,Title,HELP_MUSEUM_RANKING_04
38202,382,2,Description,HELP_MUSEUM_RANKING_04_01
38203,382,3,Title,HELP_MUSEUM_RANKING_02
38204,382,4,Description,HELP_MUSEUM_RANKING_02_01
38205,382,5,Description,HELP_MUSEUM_RANKING_02_02
38206,382,6,Title,HELP_MUSEUM_RANKING_03
38207,382,7,Description,HELP_MUSEUM_RANKING_03_01
38501,385,1,Title,HELP_RANKING_MAIN_01
38502,385,2,Description,HELP_RANKING_MAIN_01_01
38503,385,3,Title,HELP_RANKING_MAIN_02
38504,385,4,Description,HELP_RANKING_MAIN_02_02
38505,385,5,Title,HELP_RANKING_MAIN_03
38506,385,6,Description,HELP_RANKING_MAIN_03_01
38507,385,7,Title,HELP_RANKING_MAIN_04
38508,385,8,Description,HELP_RANKING_MAIN_04_01
38509,385,9,Title,HELP_RANKING_MAIN_05
38510,385,10,Description,HELP_RANKING_MAIN_05_01
38511,385,11,Description,HELP_RANKING_MAIN_05_02
38512,385,12,Description,HELP_RANKING_MAIN_05_03
38513,385,13,Title,HELP_RANKING_MAIN_06
38514,385,14,Description,HELP_RANKING_MAIN_06_01
38515,385,15,Description,HELP_RANKING_MAIN_06_02
39001,390,1,Title,HELP_GACHA_01
39002,390,2,Description,HELP_GACHA_01_01
39003,390,3,Title,HELP_GACHA_09
39004,390,4,Description,HELP_GACHA_09_01
39005,390,5,Title,HELP_GACHA_02
39006,390,6,Description,HELP_GACHA_02_01
39007,390,7,Description,HELP_GACHA_02_02_01
39008,390,8,Description,HELP_GACHA_02_04_01
39009,390,9,Title,HELP_GACHA_03
39010,390,10,Description,HELP_GACHA_03_01
39011,390,11,Title,HELP_GACHA_07
39012,390,12,Description,HELP_GACHA_07_01
39013,390,13,Title,HELP_GACHA_08
39014,390,14,Description,HELP_GACHA_08_01
39015,390,15,Description,HELP_GACHA_08_02
39016,390,16,Title,HELP_GACHA_04
39017,390,17,Description,HELP_GACHA_04_01
39018,390,18,Description,HELP_GACHA_04_02
39019,390,19,Title,HELP_GACHA_05
39020,390,20,Description,HELP_GACHA_05_01
39021,390,21,Description,HELP_GACHA_05_02
39022,390,22,Title,HELP_GACHA_06
39023,390,23,Description,HELP_GACHA_06_01
39024,390,24,Description,HELP_GACHA_06_02
40001,400,1,Title,HELP_ALBUM_01
40002,400,2,Description,HELP_ALBUM_01_01
40003,400,3,Title,HELP_ALBUM_02
40004,400,4,Description,HELP_ALBUM_02_01
41001,410,1,Image,guide_con_pass
41002,410,2,Title,HELP_PASS_01
