id,resource_id,img_resource_id,pre_img_resource_id,build_category,locale_name,locale_desc,build_construct_time,can_destruct,unlock_condition,unlock_value,unlock_hint_locale,build_limit_count,max_level,build_perks,requirement_electric,build_specific_type,build_specific_value/0/build_specific_value,build_specific_value/1/build_specific_value,cost_material_setting/0/cost_material,cost_material_setting/0/cost_material_amount,cost_material_setting/1/cost_material,cost_material_setting/1/cost_material_amount,cost_material_setting/2/cost_material,cost_material_setting/2/cost_material_amount,synergy_effect_id/0/synergy_effect_id,synergy_effect_id/1/synergy_effect_id
207,rebuildeden_building_restroom,rebuildeden_img_building_restroom_01,rebuildeden_img_pre_building_restroom_01,Force,Locale_Event:rebe_Build_Name_T2_06,Locale_Event:rebe_Build_Desc_T2_06,300,True,MainQuest,1001,Locale_Event:rebe_Quest_Hint_08,1,0,0,0,Barracks,2,0,1101,800,1102,95,1103,25,0,0
208,rebuildeden_building_weatherreport_01,rebuildeden_img_building_weatherreport_01,rebuildeden_img_pre_building_weatherreport_01,Etc,Locale_Event:rebe_Build_Name_T2_07,Locale_Event:rebe_Build_Desc_T2_07,300,False,MainQuest,801,Locale_Event:rebe_Quest_Hint_06,1,0,0,0,WeatherStation,1,0,1101,1120,1102,55,1103,15,0,0
301,rebuildeden_building_materialcollector_03,rebuildeden_img_building_materialcollector_03,rebuildeden_img_pre_building_materialcollector_03,Production,Locale_Event:rebe_Build_Name_T3_01,Locale_Event:rebe_Build_Desc_T3_01,300,True,MainQuest,901,Locale_Event:rebe_Quest_Hint_07,0,5,101,100,MaterialGenerator,1101,5,1101,850,1102,80,1103,110,102,0
302,rebuildeden_building_energyCollector_01,rebuildeden_img_building_energyCollector_01,rebuildeden_img_pre_building_energyCollector_01,Production,Locale_Event:rebe_Build_Name_T3_02,Locale_Event:rebe_Build_Desc_T3_02,300,True,MainQuest,901,Locale_Event:rebe_Quest_Hint_07,2,4,104,125,MaterialGenerator,1103,1,1101,1450,1103,20,0,0,107,0
303,rebuildeden_building_expeditionsupply_01,rebuildeden_img_building_expeditionsupply_01,rebuildeden_img_pre_building_expeditionsupply_01,Force,Locale_Event:rebe_Build_Name_T3_03,Locale_Event:rebe_Build_Desc_T3_03,300,True,MainQuest,1301,Locale_Event:rebe_Quest_Hint_10,1,4,105,0,DispatchSupport,0,0,1101,3200,1102,320,1103,180,0,0
304,rebuildeden_building_restroom,rebuildeden_img_building_restroom_01,rebuildeden_img_pre_building_restroom_01,Force,Locale_Event:rebe_Build_Name_T3_04,Locale_Event:rebe_Build_Desc_T3_04,300,True,MainQuest,1401,Locale_Event:rebe_Quest_Hint_11,1,0,0,0,Barracks,3,0,1101,4320,1102,190,1103,60,0,0
305,rebuildeden_building_tower_01,rebuildeden_img_building_tower_01,rebuildeden_img_pre_building_tower_01,Etc,Locale_Event:rebe_Build_Name_T3_05_a,Locale_Event:rebe_Build_Desc_T3_05,300,False,MainQuest,1501,Locale_Event:rebe_Quest_Hint_12,1,0,0,0,AutoTurret,2,0,1101,3600,1102,80,1103,240,0,0
306,rebuildeden_building_labo_01,rebuildeden_img_building_labo_01,rebuildeden_img_pre_building_labo_01,Etc,Locale_Event:rebe_Build_Name_T3_06,Locale_Event:rebe_Build_Desc_T3_06,300,False,MainQuest,1101,Locale_Event:rebe_Quest_Hint_08_b,1,0,0,0,Laboratory,3,0,1101,3600,1102,400,1103,300,0,0
307,rebuildeden_building_tower_02,rebuildeden_img_building_tower_01,rebuildeden_img_pre_building_tower_01,Etc,Locale_Event:rebe_Build_Name_T3_05_b,Locale_Event:rebe_Build_Desc_T3_05,300,False,MainQuest,1501,Locale_Event:rebe_Quest_Hint_12,1,0,0,0,AutoTurret,2,0,1101,3600,1102,80,1103,240,0,0
401,rebuildeden_building_generator_03,rebuildeden_img_building_generator_03,rebuildeden_img_pre_building_generator_03,Electrics,Locale_Event:rebe_Build_Name_T4_01,Locale_Event:rebe_Build_Desc_T4_01,300,True,MainQuest,901,Locale_Event:rebe_Quest_Hint_07,0,4,100,0,PowerPlant,40,3,1101,900,1102,80,1103,120,101,0
402,rebuildeden_building_materialcollector_04,rebuildeden_img_building_materialcollector_04,rebuildeden_img_pre_building_materialcollector_04,Production,Locale_Event:rebe_Build_Name_T4_02,Locale_Event:rebe_Build_Desc_T4_02,300,True,MainQuest,1201,Locale_Event:rebe_Quest_Hint_09,0,5,101,125,MaterialGenerator,1101,7,1101,1450,1102,480,1103,250,102,0
403,rebuildeden_building_mining_01,rebuildeden_img_building_mining_01,rebuildeden_img_pre_building_mining_01,Production,Locale_Event:rebe_Build_Name_T4_03,Locale_Event:rebe_Build_Desc_T4_03,300,True,MainQuest,901,Locale_Event:rebe_Quest_Hint_07,4,4,101,125,MaterialGenerator,1102,1,1101,1450,1103,20,0,0,108,0
404,rebuildeden_building_recruit_02,rebuildeden_img_building_recruit_02,rebuildeden_img_pre_building_recruit_02,Force,Locale_Event:rebe_Build_Name_T4_04,Locale_Event:rebe_Build_Desc_T4_04,300,True,MainQuest,1201,Locale_Event:rebe_Quest_Hint_09,1,4,106,0,RecruitSupport,0,0,1101,7200,1102,640,1103,400,0,0
405,rebuildeden_building_verticalelevator_01,rebuildeden_img_building_verticalelevator,rebuildeden_img_pre_building_verticalelevator,Etc,Locale_Event:rebe_Build_Name_T4_05,Locale_Event:rebe_Build_Desc_T4_05,300,False,MainQuest,1901,Locale_Event:rebe_Quest_Hint_16,1,0,0,0,UpperPassage,4,0,1101,22000,1102,1500,1103,800,0,0
501,rebuildeden_building_generator_04,rebuildeden_img_building_generator_04,rebuildeden_img_pre_building_generator_04,Electrics,Locale_Event:rebe_Build_Name_T5_01,Locale_Event:rebe_Build_Desc_T5_01,300,True,MainQuest,1201,Locale_Event:rebe_Quest_Hint_09,0,4,100,0,PowerPlant,50,4,1101,2000,1102,500,1103,260,101,0
503,rebuildeden_building_materialcollector_05,rebuildeden_img_building_materialcollector_05,rebuildeden_img_pre_building_materialcollector_05,Production,Locale_Event:rebe_Build_Name_T5_03,Locale_Event:rebe_Build_Desc_T5_03,300,True,MainQuest,1801,Locale_Event:rebe_Quest_Hint_15,0,5,101,150,MaterialGenerator,1101,10,1101,4800,1102,950,1103,640,102,0
504,rebuildeden_building_commandcenter_01,rebuildeden_img_building_commandcenter_01,rebuildeden_img_pre_building_commandcenter_01,Etc,Locale_Event:rebe_Build_Name_T5_04,Locale_Event:rebe_Build_Desc_T5_04,300,False,MainQuest,2201,Locale_Event:rebe_Quest_Hint_17,1,0,0,0,WatchTower,5,0,1101,30000,1102,1300,1103,1200,0,0
505,rebuildeden_giantwall_01,rebuildeden_img_building_giantwall_01,rebuildeden_img_pre_building_giantwall_01,Etc,Locale_Event:rebe_Build_Name_T5_05,Locale_Event:rebe_Build_Desc_T5_05,300,False,MainQuest,1501,Locale_Event:rebe_Quest_Hint_12,2,0,0,0,OuterWall,6,0,1101,3000,1102,650,1103,360,0,0
506,rebuildeden_building_restroom,rebuildeden_img_building_restroom_01,rebuildeden_img_pre_building_restroom_01,Force,Locale_Event:rebe_Build_Name_T5_06,Locale_Event:rebe_Build_Desc_T5_06,300,True,MainQuest,1701,Locale_Event:rebe_Quest_Hint_14,1,0,0,0,Barracks,4,0,1101,15000,1102,750,1103,380,0,0
