id,group_id,order,timelineaction,timelinevalue/0/timelinevalue,timelinevalue/1/timelinevalue,timelinevalue/2/timelinevalue
60100,60100,1,CamZoomAdjust,1.2,,
60101,60100,2,ObjectStatusChange,C6_1_42,611,anim_ON
60102,60100,2,ObjectStatusChange,C6_1_42,612,anim_ON
60103,60100,3,BalloonDisplay,60100,Player,
60104,60100,4,BalloonDisplay,60101,Player,
60105,60100,5,BalloonDisplay,60102,Player,
60106,60100,6,BalloonDisplay,60103,Player,
60107,60100,7,EndTableTimeline,,,
60202,60200,1,EndTableTimeline,,,
70100,70100,1,CamZoomAdjust,1.2,,
70101,70100,2,BalloonDisplay,70100,Player,
70102,70100,3,BalloonDisplay,70101,Player,
70103,70100,4,EndTableTimeline,,,
70200,70200,1,CamZoomAdjust,1.2,,
70201,70200,2,ObjectStatusChange,C7_1_30,731,anim_ON
70202,70200,3,BalloonDisplay,70200,Player,
70203,70200,4,BalloonDisplay,70201,Player,
70204,70200,5,BalloonDisplay,70202,Player,
70205,70200,6,EndTableTimeline,,,
70301,70300,1,EndTableTimeline,,,
80100,80100,1,ObjectStatusChange,C8_1_BOSS,811,anim_ON
80101,80100,2,LoadTimelineAnimation,MVG_ScenarioTimeline_Chapter7,,
80102,80100,3,FadeIn,1,,
80103,80100,4,PlayTimelineAnimation,MVG_ScenarioTimeline_Chapter7,,
80104,80100,5,FadeOut,1,,
80105,80100,6,GoToLobby,,,
80106,80100,7,EndTableTimeline,,,
9001,12345,1,Wait,1,,
9002,12345,2,ObjectStatusChange,World_Level_5,8001,anim_OFF
9003,12345,3,EndTableTimeline,,,
9101,123456,1,Wait,1,,
9102,123456,2,ObjectStatusChange,World_Level_5,8001,anim_ON
9103,123456,3,EndTableTimeline,,,
900001,10000,1,Wait,1,,
900002,10000,2,FadeOut,1,,
900003,10000,3,Wait,1,,
900004,10000,4,LoadTimelineAnimation,MVG_ScenarioTimeline_Chapter4,,
900005,10000,5,FadeIn,1,,
900006,10000,5,PlayTimelineAnimation,MVG_timeline_test,,
900007,10000,6,Wait,1,,
900008,10000,7,FadeOut,1,,
900009,10000,8,ReturnToOriginalRoom,9005,World_Level_1,
900010,10000,9,FadeIn,1,,
900011,10000,10,EndTableTimeline,,,
910001,11000,1,Wait,1,,
910002,11000,2,FadeOut,1,,
910003,11000,3,Wait,1,,
910004,11000,4,LoadTimelineAnimation,MVG_timeline_test,,
910005,11000,5,FadeIn,1,,
910006,11000,5,PlayTimelineAnimation,MVG_timeline_test,,
910007,11000,6,Wait,1,,
910008,11000,7,FadeOut,1,,
910009,11000,8,ReturnToOriginalRoom,9005,Test_Placeholder,
910010,11000,9,FadeIn,1,,
910011,11000,10,EndTableTimeline,,,
100,100,1,CamPointMove,10200,0.3,
101,100,1,StartBossIntroDisplay,EventMVG_MonsterName_01,,
102,100,2,CamPointReturnPlayer,0.3,,
103,100,3,EndTableTimeline,,,
