id,level_enhance_id,level,material_id,material_value,gold_value,slot,harmonycube_stats/0/stat_type,harmonycube_stats/0/stat_rate,harmonycube_stats/1/stat_type,harmonycube_stats/1/stat_rate,harmonycube_stats/2/stat_type,harmonycube_stats/2/stat_rate,skill_levels/0/skill_level,skill_levels/1/skill_level,skill_levels/2/skill_level
10003003,10003,3,7020003,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10003004,10003,4,7020003,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10003005,10003,5,7020003,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10003006,10003,6,7020003,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10003007,10003,7,7020003,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10003008,10003,8,7020003,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10003009,10003,9,7020003,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10003010,10003,10,7020003,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10003011,10003,11,7020003,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10003012,10003,12,7020003,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10003013,10003,13,7020003,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10003014,10003,14,7020003,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10003015,10003,15,7020003,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10004001,10004,1,7020004,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10004002,10004,2,7020004,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10004003,10004,3,7020004,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10004004,10004,4,7020004,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10004005,10004,5,7020004,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10004006,10004,6,7020004,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10004007,10004,7,7020004,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10004008,10004,8,7020004,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10004009,10004,9,7020004,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10004010,10004,10,7020004,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10004011,10004,11,7020004,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10004012,10004,12,7020004,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10004013,10004,13,7020004,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10004014,10004,14,7020004,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10004015,10004,15,7020004,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10005001,10005,1,7020005,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10005002,10005,2,7020005,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10005003,10005,3,7020005,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10005004,10005,4,7020005,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10005005,10005,5,7020005,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10005006,10005,6,7020005,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10005007,10005,7,7020005,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10005008,10005,8,7020005,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10005009,10005,9,7020005,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10005010,10005,10,7020005,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10005011,10005,11,7020005,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10005012,10005,12,7020005,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10005013,10005,13,7020005,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10005014,10005,14,7020005,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10005015,10005,15,7020005,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10006001,10006,1,7020006,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10006002,10006,2,7020006,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10006003,10006,3,7020006,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10006004,10006,4,7020006,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10006005,10006,5,7020006,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10006006,10006,6,7020006,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10006007,10006,7,7020006,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10006008,10006,8,7020006,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10006009,10006,9,7020006,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10006010,10006,10,7020006,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10006011,10006,11,7020006,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10006012,10006,12,7020006,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10006013,10006,13,7020006,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10006014,10006,14,7020006,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10006015,10006,15,7020006,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
11001001,11001,1,7020007,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
11001002,11001,2,7020007,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
11001003,11001,3,7020007,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
11001004,11001,4,7020007,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
11001005,11001,5,7020007,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
11001006,11001,6,7020007,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
11001007,11001,7,7020007,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
11001008,11001,8,7020007,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
11001009,11001,9,7020007,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
11001010,11001,10,7020007,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
11001011,11001,11,7020007,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
11001012,11001,12,7020007,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
11001013,11001,13,7020007,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
11001014,11001,14,7020007,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
11001015,11001,15,7020007,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10007001,10007,1,7020009,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10007002,10007,2,7020009,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10007003,10007,3,7020009,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10007004,10007,4,7020009,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10007005,10007,5,7020009,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10007006,10007,6,7020009,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10007007,10007,7,7020009,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10007008,10007,8,7020009,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10007009,10007,9,7020009,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10007010,10007,10,7020009,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10007011,10007,11,7020009,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10007012,10007,12,7020009,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10007013,10007,13,7020009,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10007014,10007,14,7020009,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10007015,10007,15,7020009,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10008001,10008,1,7020010,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10008002,10008,2,7020010,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10008003,10008,3,7020010,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10008004,10008,4,7020010,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10008005,10008,5,7020010,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10008006,10008,6,7020010,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10008007,10008,7,7020010,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10008008,10008,8,7020010,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10008009,10008,9,7020010,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10008010,10008,10,7020010,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10008011,10008,11,7020010,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10008012,10008,12,7020010,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10008013,10008,13,7020010,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10008014,10008,14,7020010,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10008015,10008,15,7020010,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10009001,10009,1,7020011,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10009002,10009,2,7020011,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10009003,10009,3,7020011,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10009004,10009,4,7020011,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10009005,10009,5,7020011,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10009006,10009,6,7020011,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10009007,10009,7,7020011,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10009008,10009,8,7020011,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10009009,10009,9,7020011,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10009010,10009,10,7020011,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10009011,10009,11,7020011,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10009012,10009,12,7020011,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10009013,10009,13,7020011,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10009014,10009,14,7020011,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10009015,10009,15,7020011,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10010001,10010,1,7020012,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10010002,10010,2,7020012,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10010003,10010,3,7020012,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10010004,10010,4,7020012,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10010005,10010,5,7020012,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10010006,10010,6,7020012,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10010007,10010,7,7020012,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10010008,10010,8,7020012,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10010009,10010,9,7020012,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10010010,10010,10,7020012,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10010011,10010,11,7020012,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10010012,10010,12,7020012,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10010013,10010,13,7020012,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10010014,10010,14,7020012,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10010015,10010,15,7020012,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10011001,10011,1,7020013,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10011002,10011,2,7020013,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10011003,10011,3,7020013,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10011004,10011,4,7020013,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10011005,10011,5,7020013,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10011006,10011,6,7020013,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10011007,10011,7,7020013,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10011008,10011,8,7020013,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10011009,10011,9,7020013,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10011010,10011,10,7020013,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10011011,10011,11,7020013,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10011012,10011,12,7020013,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10011013,10011,13,7020013,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10011014,10011,14,7020013,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10011015,10011,15,7020013,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10012001,10012,1,7020014,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10012002,10012,2,7020014,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10012003,10012,3,7020014,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10012004,10012,4,7020014,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10012005,10012,5,7020014,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10012006,10012,6,7020014,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10012007,10012,7,7020014,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10012008,10012,8,7020014,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10012009,10012,9,7020014,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10012010,10012,10,7020014,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10012011,10012,11,7020014,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10012012,10012,12,7020014,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10012013,10012,13,7020014,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10012014,10012,14,7020014,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10012015,10012,15,7020014,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
10013001,10013,1,7020015,10,10000,1,Atk,390,Defence,78,Hp,11800,1,0,0
10013002,10013,2,7020015,10,20000,2,Atk,450,Defence,90,Hp,13600,1,0,0
10013003,10013,3,7020015,30,40000,2,Atk,520,Defence,103,Hp,15600,2,0,0
10013004,10013,4,7020015,30,80000,3,Atk,600,Defence,119,Hp,17900,2,0,0
10013005,10013,5,7020015,50,160000,3,Atk,690,Defence,136,Hp,20600,2,1,0
10013006,10013,6,7020015,50,240000,4,Atk,790,Defence,157,Hp,23700,2,1,0
10013007,10013,7,7020015,70,320000,4,Atk,910,Defence,180,Hp,27300,3,1,0
10013008,10013,8,7020015,70,400000,5,Atk,1050,Defence,207,Hp,31400,3,1,0
10013009,10013,9,7020015,100,480000,5,Atk,1200,Defence,239,Hp,36100,3,2,0
10013010,10013,10,7020015,100,480000,6,Atk,1380,Defence,274,Hp,41500,3,3,0
10013011,10013,11,7020015,100,480000,8,Atk,1590,Defence,316,Hp,47700,3,4,0
10013012,10013,12,7020015,100,480000,8,Atk,1830,Defence,363,Hp,54900,3,4,0
10013013,10013,13,7020015,100,480000,10,Atk,2100,Defence,417,Hp,63100,3,5,0
10013014,10013,14,7020015,100,480000,10,Atk,2420,Defence,480,Hp,72500,3,5,0
10013015,10013,15,7020015,0,480000,12,Atk,2780,Defence,552,Hp,83400,3,6,0
