id,block_group,name_localkey,description_localkey,block_type,block_rare,element,attak,hp,defence,function_group
20203,203,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,5,Water,189,5674,37,101
20301,301,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,6,Water,282,8478,56,101
20302,302,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,6,Water,282,8478,56,101
20303,303,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,6,Water,282,8478,56,101
20401,401,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,7,Water,381,11431,76,101
20402,402,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,7,Water,381,11431,76,101
20403,403,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,7,Water,381,11431,76,101
20501,501,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,8,Water,488,14646,97,101
20502,502,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,8,Water,488,14646,97,101
20503,503,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,8,Water,488,14646,97,101
20601,601,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,9,Water,595,17861,119,101
20602,602,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,9,Water,595,17861,119,101
20603,603,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,9,Water,595,17861,119,101
30101,101,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,4,Wind,105,3157,21,101
30102,102,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,4,Wind,105,3157,21,101
30103,103,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,4,Wind,105,3157,21,101
30201,201,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,5,Wind,189,5674,37,101
30202,202,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,5,Wind,189,5674,37,101
30203,203,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,5,Wind,189,5674,37,101
30301,301,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,6,Wind,282,8478,56,101
30302,302,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,6,Wind,282,8478,56,101
30303,303,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,6,Wind,282,8478,56,101
30401,401,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,7,Wind,381,11431,76,101
30402,402,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,7,Wind,381,11431,76,101
30403,403,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,7,Wind,381,11431,76,101
30501,501,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,8,Wind,488,14646,97,101
30502,502,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,8,Wind,488,14646,97,101
30503,503,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,8,Wind,488,14646,97,101
30601,601,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,9,Wind,595,17861,119,101
30602,602,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,9,Wind,595,17861,119,101
30603,603,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,9,Wind,595,17861,119,101
40101,101,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,4,Electronic,105,3157,21,101
40102,102,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,4,Electronic,105,3157,21,101
40103,103,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,4,Electronic,105,3157,21,101
40201,201,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,5,Electronic,189,5674,37,101
40202,202,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,5,Electronic,189,5674,37,101
40203,203,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,5,Electronic,189,5674,37,101
40301,301,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,6,Electronic,282,8478,56,101
40302,302,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,6,Electronic,282,8478,56,101
40303,303,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,6,Electronic,282,8478,56,101
40401,401,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,7,Electronic,381,11431,76,101
40402,402,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,7,Electronic,381,11431,76,101
40403,403,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,7,Electronic,381,11431,76,101
40501,501,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,8,Electronic,488,14646,97,101
40502,502,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,8,Electronic,488,14646,97,101
40503,503,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,8,Electronic,488,14646,97,101
40601,601,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,9,Electronic,595,17861,119,101
40602,602,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,9,Electronic,595,17861,119,101
40603,603,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,9,Electronic,595,17861,119,101
50101,101,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,4,Iron,105,3157,21,101
50102,102,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,4,Iron,105,3157,21,101
50103,103,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,4,Iron,105,3157,21,101
50201,201,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,5,Iron,189,5674,37,101
50202,202,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,5,Iron,189,5674,37,101
50203,203,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,5,Iron,189,5674,37,101
50301,301,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,6,Iron,282,8478,56,101
50302,302,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,6,Iron,282,8478,56,101
50303,303,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,6,Iron,282,8478,56,101
50401,401,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,7,Iron,381,11431,76,101
50402,402,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,7,Iron,381,11431,76,101
50403,403,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,7,Iron,381,11431,76,101
50501,501,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,8,Iron,488,14646,97,101
50502,502,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,8,Iron,488,14646,97,101
50503,503,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,8,Iron,488,14646,97,101
50601,601,Locale_Item:hexa_block_name_c,Locale_Item:hexa_block_desc,Type_C,9,Iron,595,17861,119,101
50602,602,Locale_Item:hexa_block_name_i,Locale_Item:hexa_block_desc,Type_I,9,Iron,595,17861,119,101
50603,603,Locale_Item:hexa_block_name_a,Locale_Item:hexa_block_desc,Type_A,9,Iron,595,17861,119,101
