id,skill_group,description_localkey,battle_radius,target,target_position,target_position_value_1,target_position_value_2,skill_type,skill_value,skill_hit_count,knock_back_damage,projectile_speed,projectile_parabola_height,remain_time,cool_time,animation_skill,animation_skill_speed,effect_muzzle,effect_projectile,effect_skill,effect_impact,effect_impact_scale,effect_hit,effect_hit_default,area_type,area_remain_time,area_action_time,area_skill_type,area_skill_value,effect_area,effect_area_scale
104201,1042,0,200000,EnemyAll,Circle,10,0,ProjectileParabola,0,1,0,200000,150000,0,20000,skill01,10000,0,bm_fx_skill01_minion_402,0,bm_fx_skill01_minion_402_hit,18000,0,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
104202,1042,0,0,EnemyAll,Circle,10,0,DeathBoom,10000,1,0,0,0,0,10000,0,0,0,0,bm_fx_skill02_minion_402,0,10000,0,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
104301,1043,0,200000,EnemyAll,Circle,10,0,ProjectileParabola,0,5,0,200000,150000,0,20000,skill01,10000,0,bm_fx_skill01_minion_403,0,bm_fx_skill01_minion_403_hit,12000,0,bm_fx_hit_enemy_101,Area,30000,10000,Attack,0,bm_fx_skill01_minion_403_ground,12000
105101,1051,0,225000,Friendly,Single,0,0,Heal,0,1,0,0,0,0,30000,skill01,10000,bm_fx_skill01_minion_501,0,0,0,0,bm_fx_skill01_minion_501_heal,0,None,0,0,None,0,0,0
105201,1052,0,225000,Friendly,Circle,10,0,Heal,0,1,0,0,0,0,40000,skill01,10000,bm_fx_skill01_minion_502,0,0,bm_fx_skill01_minion_502_ground,10000,bm_fx_skill01_minion_502_heal,0,None,0,0,None,0,0,0
105301,1053,0,225000,Friendly,Circle,10,0,IncreaseAttackDamage,2000,1,0,0,0,40000,10000,skill01,10000,bm_fx_skill01_minion_503,0,bm_fx_skill01_minion_503_buff,bm_fx_skill01_minion_503_ground,10000,0,0,None,0,0,None,0,0,0
201101,2011,0,70000,EnemyAll,Quadrilateral,7,11,Instant,0,1,2000,0,0,0,30000,skill01,10000,bm_fx_skill01_hero_101_muz,0,0,0,0,bm_fx_skill01_hero_101_hit,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
201102,2011,0,0,EnemyAll,All,0,0,HeroSpecialSkillAttack,-6000,1,3000,0,0,22000,1800000,skill02,10000,bm_fx_skill02_hero_101,bm_fx_skill02_hero_101_hit,0,0,0,0,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
202101,2021,0,300000,EnemyAll,Circle,10,0,Projectile,0,5,2000,200000,0,0,60000,skill01,10000,bm_fx_skill01_hero_201_muz,bm_fx_skill01_hero_201,0,0,0,0,bm_fx_hit_enemy_101,Area,30000,10000,Attack,0,bm_fx_skill01_hero_201_hit,10000
202102,2021,0,0,EnemyAll,All,0,0,HeroSpecialSkillAttack,-6000,1,3000,0,0,22000,1800000,skill02,10000,bm_fx_skill02_hero_201,bm_fx_skill02_hero_201_hit,0,0,0,0,bm_fx_hit_enemy_101,None,0,0,None,0,0,0
203101,2031,0,250000,Friendly,Circle,10,0,Heal,0,1,0,0,0,0,40000,skill01,10000,bm_fx_skill01_hero_301,0,0,bm_fx_skill01_minion_502_ground,10000,bm_fx_skill01_hero_301_heal,0,None,0,0,None,0,0,0
203102,2031,0,0,Friendly,All,0,0,HeroSpecialSkillHeal,5000,1,0,0,0,22000,1800000,skill02,10000,bm_fx_skill02_hero_301,bm_fx_skill02_hero_301_hit,0,0,0,bm_fx_skill02_hero_301_heal,0,None,0,0,None,0,0,0
