id,group,page_number,order,resource_type,resource_value
47,10020,1,1,locale,10020_1_add_des
48,10021,1,1,locale,10021_1_add_des
49,10021,1,2,locale,10021_2_add_des
50,10022,1,1,locale,10022_1_add_des
51,10022,1,2,locale,10022_2_add_des
52,10023,1,1,locale,10023_1_add_des
53,10023,1,2,locale,10023_2_add_des
54,10023,1,3,locale,10023_3_add_des
55,10024,1,1,locale,10024_1_add_des
56,10024,1,2,locale,10024_2_add_des
57,10025,1,1,locale,10025_1_add_des
58,10025,1,2,locale,10025_2_add_des
59,10020,1,2,locale,10020_2_add_des
60,10026,1,1,locale,10026_1_add_des
61,10026,1,2,locale,10026_2_add_des
62,10027,1,1,locale,10027_1_add_des
63,10027,1,2,locale,10027_2_add_des
64,10027,1,3,locale,10027_3_add_des
65,10028,1,1,locale,10028_1_add_des_1
66,10029,1,1,locale,10029_1_add_des
67,10030,1,1,locale,10030_1_add_des
68,10031,1,1,locale,10031_1_add_des
69,10031,1,2,locale,10031_2_add_des
70,10031,1,3,locale,10031_3_add_des
71,10032,1,1,locale,10032_1_add_des
72,10032,1,2,locale,10032_2_add_des
73,10033,1,1,locale,10033_1_add_des
74,10033,1,2,locale,10033_2_add_des
75,10034,1,1,locale,10034_1_add_des
76,10035,1,1,locale,10035_1_add_des
77,10026,1,3,locale,10026_3_add_des
78,10036,1,1,locale,10036_1_add_des
79,10037,1,1,locale,10037_1_add_des
80,10038,1,1,locale,10038_1_add_des
81,10038,1,2,locale,10038_2_add_des
82,10039,1,1,locale,10039_1_add_des
83,10039,1,2,locale,10039_2_add_des
84,10039,1,3,locale,10039_3_add_des
85,10039,1,4,locale,10039_4_add_des
86,10040,1,1,locale,10040_1_add_des
87,10040,1,2,locale,10040_2_add_des
88,10041,1,1,locale,10041_1_add_des
89,10041,1,2,locale,10041_2_add_des
90,10041,1,3,locale,10041_3_add_des
91,10042,1,1,locale,10042_1_add_des
92,10043,1,1,locale,10043_1_add_des
93,10043,1,2,locale,10043_2_add_des
94,10044,1,1,locale,10044_1_add_des
95,10044,1,2,locale,10044_2_add_des
96,10046,1,1,locale,10046_1_add_des
97,10027,1,4,locale,10027_4_add_des
98,10047,1,1,locale,10047_1_add_des
99,10047,1,2,locale,10047_2_add_des
100,10046,1,2,locale,10046_2_add_des
101,10048,1,1,locale,10048_1_add_des
102,10049,1,1,locale,10049_1_add_des
103,10049,1,2,locale,10049_2_add_des
104,10049,1,3,locale,10049_3_add_des
105,10018,1,3,locale,10018_3_add_des
106,10050,1,1,locale,10050_1_add_des
107,10050,1,2,locale,10050_2_add_des
108,10050,1,3,locale,10050_3_add_des
109,10051,1,1,locale,10051_1_add_des
110,10051,1,2,locale,10051_2_add_des
111,10052,1,1,locale,10052_1_add_des
112,10053,1,1,locale,10053_1_add_des
113,10053,1,2,locale,10053_2_add_des
114,10054,1,1,locale,10054_1_add_des
115,10054,1,2,locale,10054_2_add_des
116,10055,1,1,image,10055_word_img
117,10055,1,2,locale,10055_1_add_des
118,10055,1,3,locale,10055_2_add_des
119,10055,1,4,locale,10055_3_add_des
120,10055,1,5,locale,10055_4_add_des
121,10055,1,6,locale,10055_5_add_des
122,10056,1,1,locale,10056_1_add_des
123,10056,1,2,locale,10056_2_add_des
124,10056,1,3,locale,10056_3_add_des
125,10057,1,1,locale,10057_1_add_des
126,10058,1,1,locale,10058_1_add_des
127,10059,1,1,locale,10059_1_add_des
128,10059,1,1,locale,10059_2_add_des
129,10059,1,1,locale,10059_3_add_des
130,10028,1,2,locale,10028_2_add_des
131,10028,1,3,locale,10028_3_add_des
132,10028,1,4,locale,10028_4_add_des
133,10060,1,1,locale,10060_1_add_des
134,10060,1,2,locale,10060_2_add_des
135,10062,1,1,locale,10062_1_add_des
136,10062,1,2,locale,10062_2_add_des
137,10063,1,1,locale,10063_1_add_des
138,10063,1,2,locale,10063_2_add_des
139,10063,1,3,locale,10063_3_add_des
140,10064,1,1,locale,10064_1_add_des
141,10064,1,2,locale,10064_2_add_des
142,10064,1,3,locale,10064_3_add_des
143,10064,1,4,locale,10064_4_add_des
144,10064,1,5,locale,10064_5_add_des
145,10065,1,1,locale,10065_1_add_des
146,10065,1,2,locale,10065_2_add_des
147,10066,1,1,locale,10066_1_add_des
148,10066,1,2,locale,10066_2_add_des
149,10067,1,1,locale,10067_1_add_des
150,10067,1,2,locale,10067_2_add_des
151,10067,1,3,locale,10067_3_add_des
152,10067,1,4,locale,10067_4_add_des
153,10068,1,1,locale,10068_1_add_des
154,10068,1,2,locale,10068_2_add_des
155,10068,1,3,locale,10068_3_add_des
156,10069,1,1,locale,10069_1_add_des
157,10069,1,2,locale,10069_2_add_des
158,10070,1,1,locale,10070_1_add_des
159,10070,1,2,locale,10070_2_add_des
160,10071,1,1,locale,10071_1_add_des
161,10071,1,2,locale,10071_2_add_des
162,10072,1,1,locale,10072_1_add_des
163,10072,1,2,locale,10072_2_add_des
164,10073,1,1,locale,10073_1_add_des
165,10074,1,1,locale,10074_1_add_des
166,10074,1,2,locale,10074_2_add_des
167,10074,1,3,locale,10074_3_add_des
168,10075,1,1,locale,10075_1_add_des
169,10075,1,2,locale,10075_2_add_des
170,10075,1,3,locale,10075_3_add_des
171,10076,1,1,locale,10076_1_add_des
172,10076,1,2,locale,10076_2_add_des
173,10077,1,1,locale,10077_1_add_des
174,10077,1,2,locale,10077_2_add_des
175,10077,1,3,locale,10077_3_add_des
176,10078,1,1,locale,10078_1_add_des
177,10078,1,2,locale,10078_2_add_des
178,10078,1,3,locale,10078_3_add_des
179,10079,1,1,locale,10079_1_add_des
180,10079,1,2,locale,10079_2_add_des
181,10080,1,1,locale,10080_1_add_des
182,10081,1,1,locale,10081_1_add_des
183,10081,1,2,locale,10081_2_add_des
184,10081,1,3,locale,10081_3_add_des
185,10082,1,1,locale,10082_1_add_des
186,10082,1,2,locale,10082_2_add_des
187,10082,1,3,locale,10082_3_add_des
188,10082,1,4,locale,10082_4_add_des
189,10083,1,1,locale,10083_1_add_des
190,10083,1,2,locale,10083_2_add_des
191,10083,1,3,locale,10083_3_add_des
192,10084,1,1,locale,10084_1_add_des
193,10084,1,2,locale,10084_2_add_des
194,10085,1,1,locale,10085_1_add_des
195,10085,1,2,locale,10085_2_add_des
196,10086,1,1,locale,10086_1_add_des
197,10086,1,2,locale,10086_2_add_des
198,10086,1,3,locale,10086_3_add_des
199,10087,1,1,locale,10087_1_add_des
200,10087,1,2,locale,10087_2_add_des
201,10087,1,3,locale,10087_3_add_des
202,10088,1,1,locale,10088_1_add_des
203,10088,1,2,locale,10088_2_add_des
