id,costs/0/item_type,costs/0/item_id,costs/0/item_value,costs/1/item_type,costs/1/item_id,costs/1/item_value,costs/2/item_type,costs/2/item_id,costs/2/item_value,costs/3/item_type,costs/3/item_id,costs/3/item_value,costs/4/item_type,costs/4/item_id,costs/4/item_value
30309,Item,7092001,231,Item,7092002,165,Item,7092003,105,Item,7093003,200,None,0,0
30310,Item,7092001,273,Item,7092002,190,Item,7092003,120,Item,7093003,270,None,0,0
40102,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
40103,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
40104,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
40105,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093004,10,None,0,0
40106,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093004,15,None,0,0
40107,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093004,30,None,0,0
40108,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093004,70,None,0,0
40109,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093004,100,None,0,0
40110,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093004,135,None,0,0
40202,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
40203,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
40204,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
40205,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093004,10,None,0,0
40206,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093004,15,None,0,0
40207,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093004,30,None,0,0
40208,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093004,70,None,0,0
40209,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093004,100,None,0,0
40210,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093004,135,None,0,0
40302,Item,7092001,8,None,0,0,None,0,0,None,0,0,None,0,0
40303,Item,7092001,10,None,0,0,None,0,0,None,0,0,None,0,0
40304,Item,7092001,26,None,0,0,None,0,0,None,0,0,None,0,0
40305,Item,7092001,42,Item,7092002,60,None,0,0,Item,7093004,20,None,0,0
40306,Item,7092001,126,Item,7092002,90,None,0,0,Item,7093004,30,None,0,0
40307,Item,7092001,168,Item,7092002,120,None,0,0,Item,7093004,60,None,0,0
40308,Item,7092001,210,Item,7092002,150,Item,7092003,90,Item,7093004,140,None,0,0
40309,Item,7092001,231,Item,7092002,165,Item,7092003,105,Item,7093004,200,None,0,0
40310,Item,7092001,273,Item,7092002,190,Item,7092003,120,Item,7093004,270,None,0,0
50102,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
50103,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
50104,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
50105,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093005,10,None,0,0
50106,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093005,15,None,0,0
50107,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093005,30,None,0,0
50108,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093005,70,None,0,0
50109,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093005,100,None,0,0
50110,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093005,135,None,0,0
50202,Item,7091001,8,None,0,0,None,0,0,None,0,0,None,0,0
50203,Item,7091001,10,None,0,0,None,0,0,None,0,0,None,0,0
50204,Item,7091001,26,None,0,0,None,0,0,None,0,0,None,0,0
50205,Item,7091001,42,Item,7091002,60,None,0,0,Item,7093005,10,None,0,0
50206,Item,7091001,126,Item,7091002,90,None,0,0,Item,7093005,15,None,0,0
50207,Item,7091001,168,Item,7091002,120,None,0,0,Item,7093005,30,None,0,0
50208,Item,7091001,210,Item,7091002,150,Item,7091003,90,Item,7093005,70,None,0,0
50209,Item,7091001,231,Item,7091002,165,Item,7091003,105,Item,7093005,100,None,0,0
50210,Item,7091001,273,Item,7091002,190,Item,7091003,120,Item,7093005,135,None,0,0
50302,Item,7092001,8,None,0,0,None,0,0,None,0,0,None,0,0
50303,Item,7092001,10,None,0,0,None,0,0,None,0,0,None,0,0
50304,Item,7092001,26,None,0,0,None,0,0,None,0,0,None,0,0
50305,Item,7092001,42,Item,7092002,60,None,0,0,Item,7093005,20,None,0,0
50306,Item,7092001,126,Item,7092002,90,None,0,0,Item,7093005,30,None,0,0
50307,Item,7092001,168,Item,7092002,120,None,0,0,Item,7093005,60,None,0,0
50308,Item,7092001,210,Item,7092002,150,Item,7092003,90,Item,7093005,140,None,0,0
50309,Item,7092001,231,Item,7092002,165,Item,7092003,105,Item,7093005,200,None,0,0
50310,Item,7092001,273,Item,7092002,190,Item,7092003,120,Item,7093005,270,None,0,0
100001,Item,7080001,1,None,0,0,None,0,0,None,0,0,None,0,0
101001,Item,7080001,2,None,0,0,None,0,0,None,0,0,None,0,0
101002,Item,7080001,3,None,0,0,None,0,0,None,0,0,None,0,0
101003,Item,7080001,4,None,0,0,None,0,0,None,0,0,None,0,0
101004,Item,7080002,20,None,0,0,None,0,0,None,0,0,None,0,0
101005,Item,7080002,30,None,0,0,None,0,0,None,0,0,None,0,0
101006,Item,7080002,40,None,0,0,None,0,0,None,0,0,None,0,0
101007,Item,7080002,30,None,0,0,None,0,0,None,0,0,None,0,0
101008,Item,7080002,40,None,0,0,None,0,0,None,0,0,None,0,0
101009,Item,7080002,50,None,0,0,None,0,0,None,0,0,None,0,0
101010,Item,7080002,40,None,0,0,None,0,0,None,0,0,None,0,0
101011,Item,7080002,50,None,0,0,None,0,0,None,0,0,None,0,0
101012,Item,7080002,60,None,0,0,None,0,0,None,0,0,None,0,0
102001,Item,7080001,1,None,0,0,None,0,0,None,0,0,None,0,0
102002,Item,7080001,2,None,0,0,None,0,0,None,0,0,None,0,0
102003,Item,7080001,3,None,0,0,None,0,0,None,0,0,None,0,0
102004,Item,7080001,4,None,0,0,None,0,0,None,0,0,None,0,0
