id,name_localkey,resource_id,skin_id,frame_type,address,sd_resource_address
rosanna,Locale_Character:280_name,280,default,none,spine/standing/c280/00_HD,c280_00_var
moran,Locale_Character:281_name,281,default,none,spine/standing/c281/00_HD,c281_00_var
sakura,Locale_Character:282_name,282,default,none,spine/standing/c282/00_HD,c282_00_var
mana,Locale_Character:290_name,290,default,none,spine/standing/c290/00_HD,c290_00_var
mana_op,Locale_Character:290_name,290,default,left,spine/standing/c290/00_HD,c290_00_var
jackal,Locale_Character:111_name,111,default,none,spine/standing/c111/00_HD,c111_00_var
viper,Locale_Character:112_name,112,default,none,spine/standing/c112/00_HD,c112_00_var
ade,Locale_Character:310_name,310,default,none,spine/standing/c310/00_HD,c310_00_var
fragile,Locale_Character:481_name,481,default,none,spine/standing/c481/00_HD,c481_00_var
drilley,Locale_Character:491_name,491,default,none,spine/standing/c491/00_HD,c491_00_var
soldiereg,Locale_Character:300_name,300,default,none,spine/standing/c300/00_HD,c300_00_var
soldierfa,Locale_Character:301_name,301,default,none,spine/standing/c301/00_HD,c301_00_var
product08,Locale_Character:302_name,302,default,none,spine/standing/c302/00_HD,c302_00_var
product12,Locale_Character:303_name,303,default,none,spine/standing/c303/00_HD,c303_00_var
idollflower,Locale_Character:304_name,304,default,none,spine/standing/c304/00_HD,c304_00_var
idollocean,Locale_Character:305_name,305,default,none,spine/standing/c305/00_HD,c305_00_var
soldierow,Locale_Character:306_name,306,default,none,spine/standing/c306/00_HD,c306_00_var
product23,Locale_Character:307_name,307,default,none,spine/standing/c307/00_HD,c307_00_var
idollsun,Locale_Character:308_name,308,default,none,spine/standing/c308/00_HD,c308_00_var
shifty,Locale_Character:907_name,907,default,left,spine/standing/c907/00_HD,
shifty_r,Locale_Character:907_name,907,default,right,spine/standing/c907/00_HD,
shifty_c,Locale_Character:907_name,907,default,center,spine/standing/c907/00_HD,
shifty_s,Locale_Character:907_name,907,default,none,spine/standing/c907/00_HD,
andersen,Locale_Character:903_name,903,default,none,spine/standing/c903/00_HD,
syuen,Locale_Character:901_name,901,default,none,spine/standing/c901/00_HD,
ingrid,Locale_Character:900_name,900,default,none,spine/standing/c900/00_HD,
enikk,Locale_Character:904_name,904,default,none,spine/standing/c904/00_HD,
talkative,Locale_Character:914_name,909,default,none,spine/monster/bbg002_HD,
mustang,Locale_Character:902_name,902,default,none,spine/standing/c902/00_HD,
unknown,Locale_Character:npc_04_name,999,default,none,spine/standing/c999/00_HD,
candyman,Locale_Character:npc_05_name,911,default,none,spine/standing/c911/00_HD,
gamespeaker,Locale_Character:npc_06_name,999,default,none,spine/standing/c999/00_HD,
lucy,Locale_Character:npc_07_name,999,default,none,spine/standing/c999/00_HD,
cat,Locale_Character:npc_08_name,999,default,none,spine/standing/c999/00_HD,
policeman01,Locale_Character:npc_09_name,999,default,none,spine/standing/c999/00_HD,
researcher01,Locale_Character:npc_10_name,999,default,none,spine/standing/c999/00_HD,
researcher02,Locale_Character:npc_11_name,999,default,none,spine/standing/c999/00_HD,
android,Locale_Character:npc_12_name,999,default,none,spine/standing/c999/00_HD,
nightmare,Locale_Character:npc_13_name,999,default,none,spine/standing/c999/00_HD,
host,Locale_Character:npc_14_name,999,default,none,spine/standing/c999/00_HD,
darkness,Locale_Character:npc_15_name,999,default,none,spine/standing/c999/00_HD,
louisaofdawn,Locale_Character:npc_16_name,999,default,none,spine/standing/c999/00_HD,
blackbox,Locale_Character:npc_17_name,999,default,none,spine/standing/c999/00_HD,
announcer,Locale_Character:npc_18_name,912,default,none,spine/standing/c912/00_HD,
dogvoice,Locale_Character:npc_19_name,999,default,none,spine/standing/c999/00_HD,
criminal,Locale_Character:npc_20_name,999,default,none,spine/standing/c999/00_HD,
tvvoice,Locale_Character:npc_21_name,999,default,left,spine/standing/c999/00_HD,
prisoldier01,Locale_Character:npc_22_name,999,default,none,spine/standing/c999/00_HD,
prisoldier02,Locale_Character:npc_23_name,999,default,none,spine/standing/c999/00_HD,
prisoldier03,Locale_Character:npc_24_name,999,default,none,spine/standing/c999/00_HD,
prisoldier04,Locale_Character:npc_25_name,999,default,none,spine/standing/c999/00_HD,
prisoldier05,Locale_Character:npc_26_name,999,default,none,spine/standing/c999/00_HD,
prisoldier06,Locale_Character:npc_27_name,999,default,none,spine/standing/c999/00_HD,
prisoldier07,Locale_Character:npc_28_name,999,default,none,spine/standing/c999/00_HD,
prisoldier08,Locale_Character:npc_29_name,999,default,none,spine/standing/c999/00_HD,
juniet,Locale_Character:npc_30_name,254,default,none,spine/standing/c254/00_HD,
romingo,Locale_Character:npc_31_name,999,default,none,spine/standing/c999/00_HD,
employee,Locale_Character:npc_32_name,999,default,none,spine/standing/c999/00_HD,
employee2,Locale_Character:npc_32_name,912,default,none,spine/standing/c912/00_HD,
barmaster,Locale_Character:npc_33_name,911,default,none,spine/standing/c911/00_HD,
massproduction01,Locale_Character:npc_34_name,253,default,none,spine/standing/c253/00_HD,
massproduction02,Locale_Character:npc_35_name,252,default,none,spine/standing/c252/00_HD,
massproduction03,Locale_Character:npc_36_name,254,default,none,spine/standing/c254/00_HD,
gang01,Locale_Character:npc_37_name,999,default,none,spine/standing/c999/00_HD,
gang02,Locale_Character:npc_38_name,999,default,none,spine/standing/c999/00_HD,
gang03,Locale_Character:npc_39_name,999,default,none,spine/standing/c999/00_HD,
dyingman,Locale_Character:npc_40_name,999,default,none,spine/standing/c999/00_HD,
tabletspeaker,Locale_Character:npc_41_name,999,default,none,spine/standing/c999/00_HD,
cameraman,Locale_Character:npc_42_name,999,default,none,spine/standing/c999/00_HD,
glasseswoman,Locale_Character:npc_43_name,999,default,none,spine/standing/c999/00_HD,
movieeffect,Locale_Character:npc_44_name,999,default,none,spine/standing/c999/00_HD,
actor,Locale_Character:npc_45_name,999,default,none,spine/standing/c999/00_HD,
horrordoll,Locale_Character:npc_46_name,999,default,none,spine/standing/c999/00_HD,
skinnyman,Locale_Character:npc_47_name,911,default,none,spine/standing/c911/00_HD,
fancywoman,Locale_Character:npc_48_name,912,default,none,spine/standing/c912/00_HD,
yesman,Locale_Character:npc_49_name,999,default,none,spine/standing/c999/00_HD,
keuoaang,Locale_Character:npc_50_name,999,default,none,spine/standing/c999/00_HD,
ruruphee,Locale_Character:npc_51_name,999,default,none,spine/standing/c999/00_HD,
wjd0684,Locale_Character:npc_52_name,999,default,none,spine/standing/c999/00_HD,
braindead,Locale_Character:npc_53_name,999,default,none,spine/standing/c999/00_HD,
newsanchor,Locale_Character:npc_54_name,999,default,none,spine/standing/c999/00_HD,
recordingvoice,Locale_Character:npc_55_name,999,default,none,spine/standing/c999/00_HD,
youngman,Locale_Character:npc_56_name,999,default,none,spine/standing/c999/00_HD,
oldman,Locale_Character:npc_57_name,999,default,none,spine/standing/c999/00_HD,
whitewoman,Locale_Character:npc_58_name,999,default,none,spine/standing/c999/00_HD,
patientgirl,Locale_Character:npc_59_name,999,default,none,spine/standing/c999/00_HD,
doctorman01,Locale_Character:npc_60_name,999,default,none,spine/standing/c999/00_HD,
doctorwoman01,Locale_Character:npc_61_name,999,default,none,spine/standing/c999/00_HD,
tvad,Locale_Character:npc_62_name,999,default,none,spine/standing/c999/00_HD,
Royaldolla,Locale_Character:npc_63_name,999,default,none,spine/standing/c999/00_HD,
audience,Locale_Character:npc_64_name,999,default,none,spine/standing/c999/00_HD,
mc,Locale_Character:npc_65_name,911,default,none,spine/standing/c911/00_HD,
teenagerfans,Locale_Character:npc_66_name,999,default,none,spine/standing/c999/00_HD,
rosaline,Locale_Character:npc_67_name,301,default,none,spine/standing/c301/00_HD,
celia,Locale_Character:npc_68_name,304,default,none,spine/standing/c304/00_HD,
orlando,Locale_Character:npc_69_name,999,default,none,spine/standing/c999/00_HD,
staff01,Locale_Character:npc_72_name,999,default,none,spine/standing/c999/00_HD,
child01,Locale_Character:npc_73_name,999,default,none,spine/standing/c999/00_HD,
crewman01,Locale_Character:npc_74_name,999,default,none,spine/standing/c999/00_HD,
passenger,Locale_Character:npc_75_name,999,default,none,spine/standing/c999/00_HD,
announcement,Locale_Character:npc_76_name,999,default,none,spine/standing/c999/00_HD,
boy01,Locale_Character:npc_77_name,999,default,none,spine/standing/c999/00_HD,
girl01,Locale_Character:npc_78_name,999,default,none,spine/standing/c999/00_HD,
boy02,Locale_Character:npc_79_name,999,default,none,spine/standing/c999/00_HD,
marketsong01,Locale_Character:npc_80_name,999,default,none,spine/standing/c999/00_HD,
littleboy,Locale_Character:npc_82_name,999,default,none,spine/standing/c999/00_HD,
littlegirl,Locale_Character:npc_83_name,999,default,none,spine/standing/c999/00_HD,
owls,Locale_Character:npc_84_name,999,default,none,spine/standing/c999/00_HD,
redowl,Locale_Character:npc_85_name,300,default,none,spine/standing/c300/00_HD,
blueowl,Locale_Character:npc_86_name,302,default,none,spine/standing/c302/00_HD,
yellowowl,Locale_Character:npc_87_name,304,default,none,spine/standing/c304/00_HD,
whiteowl,Locale_Character:npc_88_name,301,default,none,spine/standing/c301/00_HD,
purpleowl,Locale_Character:npc_89_name,254,default,none,spine/standing/c254/00_HD,
grayowl,Locale_Character:npc_90_name,307,default,none,spine/standing/c307/00_HD,
trainee2,Locale_Character:npc_91_name,300,default,none,spine/standing/c300/00_HD,
trainee3,Locale_Character:npc_92_name,302,default,none,spine/standing/c302/00_HD,
trainee5,Locale_Character:npc_93_name,304,default,none,spine/standing/c304/00_HD,
trainee8,Locale_Character:npc_94_name,307,default,none,spine/standing/c307/00_HD,
trainee11,Locale_Character:npc_95_name,254,default,none,spine/standing/c254/00_HD,
trainee13,Locale_Character:npc_96_name,305,default,none,spine/standing/c301/00_HD,
paniccrowd,Locale_Character:npc_97_name,999,default,none,spine/standing/c999/00_HD,
erodednikke,Locale_Character:npc_98_name,255,default,none,spine/standing/c255/00_HD,
scaredgirl,Locale_Character:npc_102_name,999,default,none,spine/standing/c999/00_HD,
fatboy,Locale_Character:npc_103_name,999,default,none,spine/standing/c999/00_HD,
bridgeboy,Locale_Character:npc_104_name,999,default,none,spine/standing/c999/00_HD,
citizen,Locale_Character:npc_105_name,999,default,none,spine/standing/c999/00_HD,
citizen_op,Locale_Character:npc_105_name,999,default,left,spine/standing/c999/00_HD,
reporter,Locale_Character:npc_106_name,999,default,none,spine/standing/c999/00_HD,
volt,Locale_Character:npc_107_name,933,default,none,spine/standing/c933/00_HD,
girl,Locale_Character:913_name,913,default,none,spine/standing/c913/00_HD,
burningum,Locale_Character:909_name,914,default,none,spine/standing/c914/00_HD,
rian,Locale_Character:905_name,905,default,none,spine/standing/c905/00_HD,
papillon,Locale_Character:908_name,890,default,none,spine/standing/c890/00_HD,
modenia,Locale_Character:260_name,260,default,none,spine/standing/c260/00_HD,
modenia_v,Locale_Character:260_name,260,acc,none,spine/standing/c260/00_HD,
hologram,Locale_Character:910_name,910,default,none,spine/standing/c910/00_HD,
adultman,Locale_Character:911_name,911,default,none,spine/standing/c911/00_HD,
adultwoman,Locale_Character:912_name,912,default,none,spine/standing/c912/00_HD,
healingwind,Locale_Character:npc_116_name,999,default,none,spine/standing/c999/00_HD,
jumplive,Locale_Character:npc_117_name,999,default,none,spine/standing/c999/00_HD,
gunupplease,Locale_Character:npc_118_name,999,default,none,spine/standing/c999/00_HD,
target01,Locale_Character:npc_119_name,999,default,none,spine/standing/c999/00_HD,
orangegirl,Locale_Character:npc_120_name,999,default,none,spine/standing/c999/00_HD,
patients01,Locale_Character:npc_121_name,999,default,none,spine/standing/c999/00_HD,
patients02,Locale_Character:npc_122_name,999,default,none,spine/standing/c999/00_HD,
patients03,Locale_Character:npc_123_name,999,default,none,spine/standing/c999/00_HD,
patients04,Locale_Character:npc_124_name,999,default,none,spine/standing/c999/00_HD,
ownergrandma,Locale_Character:npc_126_name,999,default,none,spine/standing/c999/00_HD,
citizenry,Locale_Character:npc_127_name,999,default,none,spine/standing/c999/00_HD,
strangenikke,Locale_Character:npc_128_name,306,default,none,spine/standing/c306/00_HD,
angrynikke,Locale_Character:npc_129_name,307,default,none,spine/standing/c307/00_HD,
teddybear,Locale_Character:npc_130_name,999,default,none,spine/standing/c999/00_HD,
sadcommander,Locale_Character:npc_131_name,999,default,none,spine/standing/c999/00_HD,
staff,Locale_Character:npc_132_name,912,default,none,spine/standing/c912/00_HD,
fancyclerk,Locale_Character:npc_133_name,912,default,none,spine/standing/c912/00_HD,
dirtyman,Locale_Character:npc_134_name,999,default,none,spine/standing/c999/00_HD,
drunkman,Locale_Character:npc_135_name,999,default,none,spine/standing/c999/00_HD,
youngwoman,Locale_Character:npc_136_name,912,default,none,spine/standing/c912/00_HD,
suspect,Locale_Character:npc_137_name,911,default,none,spine/standing/c911/00_HD,
trafficker,Locale_Character:npc_138_name,999,default,none,spine/standing/c999/00_HD,
machinesound,Locale_Character:npc_139_name,999,default,none,spine/standing/c999/00_HD,
outlaws,Locale_Character:npc_140_name,999,default,none,spine/standing/c999/00_HD,
heroine,Locale_Character:npc_156_name,912,default,none,spine/standing/c912/00_HD,
actress,Locale_Character:npc_141_name,912,default,none,spine/standing/c912/00_HD,
manager,Locale_Character:npc_143_name,911,default,none,spine/standing/c911/00_HD,
outlaw,Locale_Character:npc_144_name,918,default,none,spine/standing/c918/00_HD,
littlenikke,Locale_Character:npc_145_name,301,default,none,spine/standing/c301/00_HD,
littlenoah,Locale_Character:npc_146_name,999,default,none,spine/standing/c999/00_HD,
crowd,Locale_Character:npc_147_name,999,default,none,spine/standing/c999/00_HD,
eunhwa_op,Locale_Character:92_name,92,default,left,spine/standing/c092/00_HD,c092_00_var
eunhwa_op_c,Locale_Character:92_name,92,default,center,spine/standing/c092/00_HD,c092_00_var
poli_op,Locale_Character:30_name,30,default,left,spine/standing/c030/00_HD,c030_00_var
poli_op_c,Locale_Character:30_name,30,default,center,spine/standing/c030/00_HD,c030_00_var
novel_op,Locale_Character:212_name,212,default,left,spine/standing/c212/00_HD,c212_00_var
novel_op_c,Locale_Character:212_name,212,default,center,spine/standing/c212/00_HD,c212_00_var
milk_op,Locale_Character:141_name,141,default,left,spine/standing/c141/00_HD,c141_00_var
milk_op_c,Locale_Character:141_name,141,default,center,spine/standing/c141/00_HD,c141_00_var
ingrid_op,Locale_Character:900_name,900,default,left,spine/standing/c900/00_HD,
ingrid_op_r,Locale_Character:900_name,900,default,right,spine/standing/c900/00_HD,
mustang_op,Locale_Character:902_name,902,default,left,spine/standing/c902/00_HD,
andersen_op,Locale_Character:903_name,903,default,left,spine/standing/c903/00_HD,
andersen_op_r,Locale_Character:903_name,903,default,right,spine/standing/c903/00_HD,
andersen_op_c,Locale_Character:903_name,903,default,center,spine/standing/c903/00_HD,
burningum_op,Locale_Character:909_name,914,default,left,spine/standing/c914/00_HD,
ludmilla_op,Locale_Character:190_name,190,default,left,spine/standing/c190/00_HD,c190_00_var
redowl_op,Locale_Character:npc_85_name,300,default,left,spine/standing/c300/00_HD,
blueowl_op,Locale_Character:npc_86_name,302,default,left,spine/standing/c302/00_HD,
purpleowl_op,Locale_Character:npc_89_name,254,default,left,spine/standing/c254/00_HD,
grayowl_op,Locale_Character:npc_90_name,307,default,left,spine/standing/c307/00_HD,
yellowowl_op,Locale_Character:npc_87_name,304,default,left,spine/standing/c304/00_HD,
cervan,Locale_Character:npc_148_name,911,default,none,spine/standing/c911/00_HD,
raptilion,Locale_Character:npc_149_name,915,default,none,spine/standing/c915/00_HD,
raptilion_me,Locale_Character:npc_149_name,915,default,none,spine/standing/c915/00_HD,
landcrab,Locale_Character:npc_151_name,915,default,none,spine/standing/c999/00_HD,mmg005
squid,Locale_Character:npc_152_name,915,default,none,spine/standing/c999/00_HD,ema002
sinister,Locale_Character:npc_153_name,915,default,none,spine/standing/c999/00_HD,mca001
lure,Locale_Character:npc_154_name,915,default,none,spine/standing/c999/00_HD,bma002
caphead,Locale_Character:npc_155_name,915,default,none,spine/standing/c999/00_HD,mma001
mustang_event,Locale_Character:902_name,902,default,none,spine/events/EventScene_Chap_04_After_01,
rapi_event,Locale_Character:10_name,10,default,none,spine/events/EventScene_Chap_02_After_01,
rapi_elevator,Locale_Character:10_name,10,default,none,spine/events/EventScene_Main_01_03,
rapi_redhood,Locale_Character:10_name,10,default,none,spine/events/EventScene_Chap_13_02,
modenia_event,Locale_Character:260_name,260,default,none,spine/events/EventScene_Chap_07_02,
talkative_event,Locale_Character:914_name,909,default,none,spine/events/EventScene_Chap_04_05,
noise,Locale_Character:430_name,430,default,none,spine/standing/c430/00_HD,c430_00_var
volume,Locale_Character:431_name,431,default,none,spine/standing/c431/00_HD,c431_00_var
aria,Locale_Character:432_name,432,default,none,spine/standing/c432/00_HD,c432_00_var
exia_op,Locale_Character:210_name,210,default,left,spine/standing/c210/00_HD,c210_00_var
exia_op_r,Locale_Character:210_name,210,default,right,spine/standing/c210/00_HD,c210_00_var
syuen_op,Locale_Character:901_name,901,default,left,spine/standing/c901/00_HD,c901_00_var
syuen_op_l,Locale_Character:901_name,901,default,left,spine/standing/c901/00_HD,c901_00_var
syuen_op_r,Locale_Character:901_name,901,default,right,spine/standing/c901/00_HD,c901_00_var
privaty_op,Locale_Character:170_name,170,default,left,spine/standing/c170/00_HD,c170_00_var
admi_op,Locale_Character:172_name,172,default,left,spine/standing/c172/00_HD,c172_00_var
yulha_op,Locale_Character:171_name,171,default,left,spine/standing/c171/00_HD,c171_00_var
staff02,Locale_Character:npc_157_name,912,default,none,spine/standing/c912/00_HD,
crooked,Locale_Character:npc_158_name,999,default,none,spine/standing/c999/00_HD,
duck,Locale_Character:npc_159_name,999,default,none,spine/standing/c999/00_HD,
fanfan,Locale_Character:npc_160_name,999,default,none,spine/standing/c999/00_HD,
lovelove,Locale_Character:npc_161_name,999,default,none,spine/standing/c999/00_HD,
spicy,Locale_Character:npc_162_name,999,default,none,spine/standing/c999/00_HD,
bangle,Locale_Character:npc_163_name,999,default,none,spine/standing/c999/00_HD,
volumefan,Locale_Character:npc_164_name,999,default,none,spine/standing/c999/00_HD,
audience01,Locale_Character:npc_165_name,999,default,none,spine/standing/c999/00_HD,
pd,Locale_Character:npc_166_name,912,default,none,spine/standing/c912/00_HD,
npc_collector,Locale_Character:npc_950_name,950,default,none,spine/standing/c999/00_HD,c950_00_var
npc_femalecommander,Locale_Character:npc_951_name,951,default,none,spine/standing/c999/00_HD,c951_00_var
npc_malecommander,Locale_Character:npc_952_name,952,default,none,spine/standing/c999/00_HD,c952_00_var
npc_massnikke,Locale_Character:npc_953_name,953,default,none,spine/standing/c999/00_HD,c953_00_var
npc_canrobot,Locale_Character:npc_954_name,954,default,none,spine/standing/c999/00_HD,c954_00_var
npc_canrobot_recorder,Locale_Character:npc_954_name_var_02,954,default,none,spine/standing/c999/00_HD,c954_01_var
npc_canrobot_cargo,Locale_Character:npc_954_name_var_03,954,default,none,spine/standing/c999/00_HD,c954_02_var
npc_fakerapture,Locale_Character:npc_955_name,955,default,none,spine/standing/c999/00_HD,c955_00_var
npc_fakerapture_me,Locale_Character:npc_955_name,955,default,none,spine/standing/c999/00_HD,c955_00_var
npc_musicmaster,Locale_Character:npc_956_name,956,default,none,spine/standing/c999/00_HD,c956_00_var
npc_classicmaster,Locale_Character:npc_956_name_var_02,956,default,none,spine/standing/c999/00_HD,c956_01_var
npc_commercialmaster,Locale_Character:npc_956_name_var_03,956,default,none,spine/standing/c999/00_HD,c956_02_var
npc_voltjr,Locale_Character:npc_957_name,957,default,none,spine/standing/c999/00_HD,c957_00_var
npc_unknown,Locale_Character:npc_958_name,958,default,none,spine/standing/c999/00_HD,c958_00_var
field_unknown,Locale_Character:npc_04_name,915,default,none,spine/standing/c999/00_HD,
teddy,Locale_Character:npc_177_name,999,default,none,spine/standing/c999/00_HD,
bigfan,Locale_Character:npc_186_name,999,default,none,spine/standing/c999/00_HD,
maam,Locale_Character:npc_187_name,999,default,none,spine/standing/c999/00_HD,
boyfan,Locale_Character:npc_188_name,999,default,none,spine/standing/c999/00_HD,
audience02,Locale_Character:npc_189_name,912,default,none,spine/standing/c912/00_HD,
drunkenwoman,Locale_Character:npc_190_name,999,default,none,spine/standing/c999/00_HD,
drunkenguests,Locale_Character:npc_191_name,999,default,none,spine/standing/c999/00_HD,
audiencewoman,Locale_Character:npc_192_name,999,default,none,spine/standing/c999/00_HD,
audienceman,Locale_Character:npc_193_name,999,default,none,spine/standing/c999/00_HD,
roam,Locale_Character:npc_954_name,931,default,none,spine/standing/c931/00_HD,c954_00_var
miranda_op,Locale_Character:32_name,32,default,left,spine/standing/c032/00_HD,c032_00_var
johan,Locale_Character:925_name,925,default,none,spine/standing/c925/00_HD,
cecil,Locale_Character:929_name,929,default,none,spine/standing/c929/00_HD,
einkk,Locale_Character:928_name,928,default,none,spine/standing/c928/00_HD,
absolut_down,Locale_Character:92_name,92,default,none,spine/events/EventScene_Chap_04_01,
refugee,Locale_Character:npc_184_name,912,default,none,spine/standing/c912/00_HD,
voltjr,Locale_Character:npc_957_name,932,default,none,spine/standing/c932/00_HD,
suspiciousman,Locale_Character:npc_194_name,911,default,none,spine/standing/c911/00_HD,
notification,Locale_Character:npc_195_name,999,default,none,spine/standing/c999/00_HD,
outerrimman1,Locale_Character:npc_196_name,918,default,none,spine/standing/c918/00_HD,
memberofseimeikai,Locale_Character:npc_197_name,921,default,none,spine/standing/c921/00_HD,
peonian,Locale_Character:npc_198_name,922,default,none,spine/standing/c922/00_HD,
chad,Locale_Character:927_name,927,default,none,spine/standing/c927/00_HD,
beatrice,Locale_Character:npc_199_name,930,default,none,spine/standing/c930/00_HD,
yuni_rapi,Locale_Character:160_name,160,default,none,spine/events/EventScene_Chap_12_After_01,
marian_sad,Locale_Character:13_name,260,default,none,spine/events/EventScene_Chap_14_01_cut,
rei,Locale_Character:392_name,392,default,none,spine/standing/c392/00_HD,c392_00_var
ein,Locale_Character:391_name,391,default,none,spine/standing/c391/00_HD,c391_00_var
zwei,Locale_Character:390_name,390,default,none,spine/standing/c390/00_HD,c390_00_var
students,Locale_Character:npc_200_name,999,default,none,spine/standing/c999/00_HD,
