id,condition_type,condition_value,icon_id
514700,GetCharacter,5147,514700
514800,GetCharacter,5148,514800
514900,GetCharacter,5149,514900
515000,GetCharacter,5150,515000
515100,GetCharacter,5151,515100
301013001,GetCostume,20001,30101
302013002,GetCostume,30001,30201
516015016,GetCostume,30002,51601
518015018,GetCostume,30003,51801
501015001,GetCostume,30004,50101
520025020,GetCostume,30006,52002
40001,GetCostume,40001,50501
40002,GetCostume,40002,50301
50002,GetCostume,50002,50201
50001,GetCostume,50001,51401
50003,GetCostume,50003,56601
30007,GetCostume,30007,53201
52801,GetCostume,30011,52801
51501,GetCostume,60001,51501
50701,GetCostume,30009,50701
52101,GetCostume,30012,52101
53601,GetCostume,50004,53601
50601,GetCostume,30008,50601
53701,GetCostume,30010,53701
57401,GetCostume,30013,57401
58901,GetCostume,30014,58901
12201,GetCostume,70001,12201
50401,GetCostume,30015,50401
50502,GetCostume,30016,50502
11201,GetCostume,30017,11201
53401,GetCostume,70002,53401
51001,GetCostume,10002,51001
52701,GetCostume,10004,52701
30102,GetCostume,10005,30102
52401,GetCostume,80001,52401
53501,GetCostume,10003,53501
57901,GetCostume,10006,57901
54401,GetCostume,30018,54401
51802,GetCostume,30019,51802
51101,GetCostume,10001,51101
59401,GetCostume,90001,59401
59402,GetCostume,90002,59402
59501,GetCostume,90003,59501
59502,GetCostume,90004,59502
52001,GetCostume,30005,52001
53702,GetCostume,100001,53702
50702,GetCostume,50005,50702
54201,GetCostume,50006,54201
56101,GetCostume,50007,56101
50901,GetCostume,30020,50901
50801,GetCostume,30021,50801
51102,GetCostume,50008,51102
53101,GetCostume,50009,53101
57402,GetCostume,50010,57402
50202,GetCostume,30022,50202
52402,GetCostume,60002,52402
50302,GetCostume,30023,50302
510801,GetCostume,110001,510801
510802,GetCostume,110002,510802
510901,GetCostume,110003,510901
510902,GetCostume,110004,510902
504501,GetCostume,30024,504501
501602,GetCostume,30025,501602
506501,GetCostume,120001,506501
504402,GetCostume,120002,504402
502004,GetCostume,50011,502004
501201,GetCostume,30026,501201
503901,GetCostume,70003,503901
502601,GetCostume,70004,502601
503201,GetCostume,10007,503201
505501,GetCostume,10008,505501
102202,GetCostume,10009,102202
507902,GetCostume,10010,507902
506301,GetCostume,10011,506301
509901,GetCostume,30027,509901
510001,GetCostume,30028,510001
504801,GetCostume,30029,504801
511801,GetCostume,110005,511801
511901,GetCostume,110006,511901
512001,GetCostume,110007,512001
511802,GetCostume,110008,511802
511902,GetCostume,110009,511902
512002,GetCostume,110010,512002
511803,GetCostume,110011,511803
509201,GetCostume,30030,509201
510101,GetCostume,50012,510101
501701,GetCostume,30031,501701
508101,GetCostume,30032,508101
511001,GetCostume,50013,511001
501301,GetCostume,50014,501301
510501,GetCostume,30033,510501
512401,GetCostume,50015,512401
507501,GetCostume,130001,507501
502201,GetCostume,130002,502201
508801,GetCostume,30034,508801
507701,GetCostume,30035,507701
509902,GetCostume,30036,509902
511201,GetCostume,60003,511201
505901,GetCostume,60004,505901
506602,GetCostume,30037,506602
505401,GetCostume,30038,505401
513201,GetCostume,110014,513201
513202,GetCostume,110015,513202
513301,GetCostume,110012,513301
513302,GetCostume,110013,513302
512003,GetCostume,110016,512003
512004,GetCostume,110017,512004
510002,GetCostume,30039,510002
504601,GetCostume,30040,504601
512501,GetCostume,30041,512501
512402,GetCostume,30042,512402
513801,GetCostume,30043,513801
513701,GetCostume,50016,513701
500802,GetCostume,30044,500802
500902,GetCostume,30045,500902
102101,GetCostume,30046,102101
500703,GetCostume,30047,500703
514201,GetCostume,110018,514201
514202,GetCostume,110019,514202
514203,GetCostume,110020,514203
514301,GetCostume,110021,514301
514302,GetCostume,110022,514302
504101,GetCostume,110023,504101
502102,GetCostume,10012,502102
509403,GetCostume,90005,509403
509503,GetCostume,90006,509503
508102,GetCostume,10013,508102
512901,GetCostume,10014,512901
501402,GetCostume,30048,501402
514901,GetCostume,30049,514901
500303,GetCostume,70005,500303
504901,GetCostume,70006,504901
511101,GetCostume,70007,511101
