id,upgrade_type,upgrade_count,is_max_level,upgrade_target_group_id,condition_currency_id_1,condition_currency_value_1,condition_currency_id_2,condition_currency_value_2,name_localkey,description_localkey
4001,HpRespawnTime,2,False,800402,1,160,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_02_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_02_Desc
4002,HpRespawnTime,3,False,800403,1,240,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_03_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_03_Desc
4003,HpRespawnTime,4,False,800404,1,360,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_04_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_04_Desc
4004,HpRespawnTime,5,False,800405,1,560,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_05_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_05_Desc
4005,HpRespawnTime,6,False,800406,1,800,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_06_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_06_Desc
4006,HpRespawnTime,7,False,800407,1,1040,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_07_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_07_Desc
4007,HpRespawnTime,8,False,800408,1,1280,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_08_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_08_Desc
4008,HpRespawnTime,9,False,800409,1,1520,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_09_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_09_Desc
4009,HpRespawnTime,10,False,800410,1,1840,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_10_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_10_Desc
4010,HpRespawnTime,11,False,800411,1,2160,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_11_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_11_Desc
4011,HpRespawnTime,12,False,800412,1,2480,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_12_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_12_Desc
4012,HpRespawnTime,13,False,800413,1,2800,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_13_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_13_Desc
4013,HpRespawnTime,14,False,800414,1,3120,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_14_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_14_Desc
4014,HpRespawnTime,15,False,800415,1,3520,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_15_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_15_Desc
4015,HpRespawnTime,16,False,800416,1,3920,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_16_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_16_Desc
4016,HpRespawnTime,17,False,800417,1,4320,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_17_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_17_Desc
4017,HpRespawnTime,18,False,800418,1,4720,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_18_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_18_Desc
4018,HpRespawnTime,19,False,800419,1,5600,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_19_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_19_Desc
4019,HpRespawnTime,20,True,800420,1,6800,2,0,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_20_Name,Locale_Event:EventMVG_upgrade_shop_HpRespawnTime_20_Desc
4999,StatMoveSpeed,0,False,0,0,0,0,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_00_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_01_Desc
5000,StatMoveSpeed,1,False,800501,1,180,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_01_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_01_Desc
5001,StatMoveSpeed,2,False,800502,1,240,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_02_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_02_Desc
5002,StatMoveSpeed,3,False,800503,1,360,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_03_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_03_Desc
5003,StatMoveSpeed,4,False,800504,1,540,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_04_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_04_Desc
5004,StatMoveSpeed,5,False,800505,1,840,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_05_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_05_Desc
5005,StatMoveSpeed,6,False,800506,1,1200,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_06_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_06_Desc
5006,StatMoveSpeed,7,False,800507,1,1560,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_07_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_07_Desc
5007,StatMoveSpeed,8,False,800508,1,1920,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_08_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_08_Desc
5008,StatMoveSpeed,9,False,800509,1,2280,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_09_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_09_Desc
5009,StatMoveSpeed,10,False,800510,1,2760,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_10_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_10_Desc
5010,StatMoveSpeed,11,False,800511,1,3240,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_11_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_11_Desc
5011,StatMoveSpeed,12,False,800512,1,3720,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_12_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_12_Desc
5012,StatMoveSpeed,13,False,800513,1,4200,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_13_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_13_Desc
5013,StatMoveSpeed,14,False,800514,1,4680,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_14_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_14_Desc
5014,StatMoveSpeed,15,False,800515,1,5280,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_15_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_15_Desc
5015,StatMoveSpeed,16,False,800516,1,5880,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_16_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_16_Desc
5016,StatMoveSpeed,17,False,800517,1,6480,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_17_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_17_Desc
5017,StatMoveSpeed,18,False,800518,1,7080,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_18_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_18_Desc
5018,StatMoveSpeed,19,False,800519,1,8400,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_19_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_19_Desc
5019,StatMoveSpeed,20,True,800520,1,10200,2,0,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_20_Name,Locale_Event:EventMVG_upgrade_shop_StatMoveSpeed_20_Desc
5999,AMuzzleProjAmount,0,False,0,0,0,0,0,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_00_Name,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_01_Desc
6000,AMuzzleProjAmount,1,False,800601,1,210,2,1,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_01_Name,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_01_Desc
6001,AMuzzleProjAmount,2,False,800602,1,420,2,3,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_02_Name,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_02_Desc
6002,AMuzzleProjAmount,3,False,800603,1,840,2,8,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_03_Name,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_03_Desc
6003,AMuzzleProjAmount,4,False,800604,1,2100,2,10,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_04_Name,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_04_Desc
6004,AMuzzleProjAmount,5,True,800605,1,5250,2,14,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_05_Name,Locale_Event:EventMVG_upgrade_shop_AMuzzleProjAmount_05_Desc
