id,group,order,tier,item_type,item_id,item_count
2306,23,6,3,Currency,5100,5
2307,23,7,4,Item,9201001,14
2308,23,8,4,Item,7050002,5
2309,23,9,5,Item,9301002,4
2310,23,10,5,Item,7010002,20
2401,24,1,1,CharacterCostume,10014,1
2402,24,2,2,Currency,5200,10
2403,24,3,2,Currency,5100,10
2404,24,4,3,Item,7150003,15
2405,24,5,3,Item,9402073,200
2406,24,6,3,Currency,5100,5
2407,24,7,4,Item,7150002,10
2408,24,8,4,Item,7080001,1
2409,24,9,5,Item,9140001,12
2410,24,10,5,Item,9110001,30
2501,25,1,1,CharacterCostume,70006,1
2502,25,2,2,Currency,5200,10
2503,25,3,2,Currency,5100,10
2504,25,4,3,Item,7150003,15
2505,25,5,3,Item,9402073,200
2506,25,6,3,Currency,5100,5
2507,25,7,4,Item,7150002,10
2508,25,8,4,Item,7080001,1
2509,25,9,5,Item,9140001,12
2510,25,10,5,Item,9110001,30
