id,group_id,recollection_category_type,scenario_contents_type,scenario_event_id,archive_event_id,recollection_value,recollection_name_localkey,recollection_resource,album_page_resource,recollection_description_localkey
1001901,10019,Album,StoryDungeon,40075.0,,10751,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_unbreakablesphere_part1,
1001902,10019,Album,StoryDungeon,40076.0,,10761,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_unbreakablesphere_part2,
1001903,10019,Album,MiniGame,82001.0,,30011,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1001904,10019,Memorial,Memorial,,,10019,Locale_Event:recollection_hub_memorial,icn_recollection_hub_lostitem,,Locale_Event:recollection_description_memorial
1002001,10020,Album,StoryDungeon,40079.0,,10791,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_ce006_part1,
1002002,10020,Album,StoryDungeon,40080.0,,10801,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_ce006_part2,
1002003,10020,Album,MiniGame,82101.0,,30012,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1002401,10024,Album,StoryDungeon,40079.0,,10841,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_boomtheghost_part1,
1002402,10024,Album,StoryDungeon,40080.0,,10851,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_boomtheghost_part2,
1002403,10024,Album,MiniGame,82401.0,,30013,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
1002501,10025,Album,StoryDungeon,40088.0,,10881,Locale_Event:recollection_hub_story_1,icn_recollection_hub_stroy01,ui_event_bg_coinsinrush_part1,
1002502,10025,Album,StoryDungeon,40089.0,,10891,Locale_Event:recollection_hub_story_2,icn_recollection_hub_stroy02,ui_event_bg_coinsinrush_part2,
1002503,10025,Album,MiniGame,82501.0,,30014,Locale_Event:recollection_hub_minigame,icn_recollection_hub_minigame,,
