id,view_condition_type,view_condition_value,condition_localkey,enable_unlock_play_popup,enable_unlock_play_button,open_condition/0/open_condition_type,open_condition/0/open_condition_value,open_condition/1/open_condition_type,open_condition/1/open_condition_value
Messenger,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Inventory,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
SubMenu,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6001004,None,0
Nikke_LevelUp,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Nikke_GradeUp,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Nikke_Equip,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Nikke_Cube,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Event,StageClear,6002001,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6002001,None,0
Spot_GoHome,StageClear,6001004,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Nikke_SkillLevelUp,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Library_Costume,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
MyLobby,UserLevel,9999,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
CompanyGacha,UserLevel,9999,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
FriendPointGacha,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Campaign_Hard,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,True,StageClear,6004023,None,0
OutpostBattle,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,MainQuest,22,StageClear,6002016
Lobby_OutpostBattle,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,MainQuest,25,StageClear,6002016
DispatchBoard,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,MainQuest,21,None,0
SubQuest,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
Summon_WishList,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,MaxGachaPremiumCount,40,None,0
Shortcut_Counseling,MainQuest,22,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,MainQuest,22,StageClear,6002016
Nikke,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6001004,None,0
PartySet,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6001004,None,0
Shortcut_StageDefeatBtn,StageClear,6001004,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
GachaPremium,MaxGachaCount,10,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
SimulationRoom,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,MainQuest,9,None,0
UnionRaid,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,GuildLevel,3,None,0
InterceptNormalLevel1,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6003012,None,0
CashShop,StageClear,6001004,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
AwakenEquipmentOptionRoll,UserLevel,99,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,False,UserLevel,99,None,0
AwakenEquipmentOptionFix,UserLevel,99,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,False,UserLevel,99,None,0
Liberate,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6005026,None,0
Liberate_Search,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6020050,None,0
Solo_Raid,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6006004,None,0
GachaPickup,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
GachaCharge,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
GachaStepup,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,None,0,None,0
SimulationRoomOC,SimulationRoomClear,10503,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,SimulationRoomClear,10503,None,0
SupportCharacter,StageClear,6002016,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6002016,None,0
ArenaQuickBattle,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6011018,None,0
SpecialArenaQuickBattle,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6011018,None,0
SideStory,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6006023,None,0
FavoriteItem,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,False,StageClear,6006004,None,0
InterceptAnomalous,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6022049,None,0
ShopTrade,StageClear,6021050,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6021050,None,0
Arcade,StageClear,6002001,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6002001,None,0
SimulationRoomSimple,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6018045,None,0
CampaignQuickBattle,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,False,False,StageClear,6005026,None,0
SoloRaidMuseum,None,0,Locale_System:CONTENTSOPEN_CONDITION_TITLE,True,True,StageClear,6006004,None,0
