id,priority,name_localkey,description_localkey,rank_type,tier_number,resource_id,grant_type,grant_value_min,grant_value_max,reward_id,is_recording
102003,13,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,3,104,Rank,21,30,3410013,True
102004,14,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,4,104,Rank,31,40,3410014,True
102005,15,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,5,104,Rank,41,50,3410015,True
102006,16,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,6,104,Rank,51,60,3410016,True
102007,17,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,7,104,Rank,61,70,3410017,True
102008,18,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,8,104,Rank,71,80,3410018,True
102009,19,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,9,104,Rank,81,90,3410019,True
102010,20,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,10,104,Rank,91,100,3410020,True
103001,21,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,1,103,RankPercent,0,300,3410021,True
103002,22,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,2,103,RankPercent,300,400,3410022,True
103003,23,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,3,103,RankPercent,400,500,3410023,True
103004,24,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,4,103,RankPercent,500,600,3410024,True
103005,25,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,5,103,RankPercent,600,700,3410025,True
103006,26,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,6,103,RankPercent,700,800,3410026,True
103007,27,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,7,103,RankPercent,800,900,3410027,True
103008,28,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,8,103,RankPercent,900,1000,3410028,True
103009,29,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,9,103,RankPercent,1000,1100,3410029,True
103010,30,Locale_System:SARENA_RANK_PLATINUM_NAME,Locale_System:SARENA_RANK_TIER_DESC,Platinum,10,103,RankPercent,1100,1200,3410030,True
104001,31,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,1,102,RankPercent,1200,1450,3410031,True
104002,32,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,2,102,RankPercent,1450,1700,3410032,True
104003,33,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,3,102,RankPercent,1700,1950,3410033,True
104004,34,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,4,102,RankPercent,1950,2200,3410034,True
104005,35,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,5,102,RankPercent,2200,2450,3410035,True
104006,36,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,6,102,RankPercent,2450,2700,3410036,True
104007,37,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,7,102,RankPercent,2700,2950,3410037,True
104008,38,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,8,102,RankPercent,2950,3200,3410038,True
104009,39,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,9,102,RankPercent,3200,3450,3410039,True
104010,40,Locale_System:SARENA_RANK_GOLD_NAME,Locale_System:SARENA_RANK_TIER_DESC,Gold,10,102,RankPercent,3450,3700,3410040,True
105001,41,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,1,101,RankPercent,3700,4000,3410041,True
105002,42,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,2,101,RankPercent,4000,4300,3410042,True
105003,43,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,3,101,RankPercent,4300,4600,3410043,True
105004,44,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,4,101,RankPercent,4600,4900,3410044,True
105005,45,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,5,101,RankPercent,4900,5200,3410045,True
105006,46,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,6,101,RankPercent,5200,5500,3410046,True
105007,47,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,7,101,RankPercent,5500,5800,3410047,True
105008,48,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,8,101,RankPercent,5800,6100,3410048,True
105009,49,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,9,101,RankPercent,6100,6400,3410049,True
105010,50,Locale_System:SARENA_RANK_SILVER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Silver,10,101,RankPercent,6400,6700,3410050,True
106001,51,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,1,100,RankPercent,6700,7030,3410051,False
106002,52,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,2,100,RankPercent,7030,7360,3410052,False
106003,53,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,3,100,RankPercent,7360,7690,3410053,False
106004,54,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,4,100,RankPercent,7690,8020,3410054,False
106005,55,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,5,100,RankPercent,8020,8350,3410055,False
106006,56,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,6,100,RankPercent,8350,8680,3410056,False
106007,57,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,7,100,RankPercent,8680,9010,3410057,False
106008,58,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,8,100,RankPercent,9010,9340,3410058,False
106009,59,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,9,100,RankPercent,9340,9670,3410059,False
106010,60,Locale_System:SARENA_RANK_BRONZE_NAME,Locale_System:SARENA_RANK_TIER_DESC,Bronze,10,100,RankPercent,9670,10000,3410060,False
999999,61,Locale_System:SARENA_RANK_BEGINNER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Beginner,0,1,None,0,0,0,False
