id,dialogue_type,dialogue_localkey,dialogue_voice,set_char_anim,weight,oc_mode_use,oc_level_min,oc_level_max
129,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_INFINITE_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_INFINITE_03,special,1000,True,51,99
131,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_01,angry,1000,False,0,0
132,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_02,angry,1000,False,0,0
133,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_03,angry,1000,False,0,0
134,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_01,angry,1000,True,1,50
135,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_02,angry,1000,True,1,50
136,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_03,angry,1000,True,1,50
137,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_INFINITE_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_INFINITE_01,delight,1000,True,51,99
138,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_INFINITE_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_INFINITE_02,angry,1000,True,51,99
139,Easy,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_INFINITE_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASY_OC_INFINITE_03,idle,1000,True,51,99
211,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_01,angry,1000,False,0,0
212,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_02,angry,1000,False,0,0
213,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_03,angry,1000,False,0,0
214,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_01,angry,1000,True,1,50
215,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_02,angry,1000,True,1,50
216,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_03,angry,1000,True,1,50
217,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_INFINITE_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_INFINITE_01,angry,1000,True,51,99
218,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_INFINITE_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_INFINITE_02,angry,1000,True,51,99
219,Easier,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_INFINITE_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_EASIER_OC_INFINITE_03,delight,1000,True,51,99
