id,group_id,content_type_locale,order,tag_info_minigame_tutorial_id,tag_resource_id,use_recommended_icon_id
3801,3800,Locale_System:CONTENT_TYPE_FULLVOICE,1,0,icn_voice,icn_voice
3802,3800,Locale_System:CONTENT_TYPE_MINIGAME,2,20013,icn_minigame,icn_minigame
3803,3800,Locale_System:CONTENT_TYPE_STORYEVENT1,3,0,,
3804,3800,Locale_System:CONTENT_TYPE_STORYEVENT2,4,0,,
3805,3800,Locale_System:CONTENT_TYPE_FIELDEVENT,5,0,,
3901,3900,Locale_System:CONTENT_TYPE_2.5_YEAR,1,0,icn_anniversary_2.5,icn_anniversary_2.5
3902,3900,Locale_System:CONTENT_TYPE_FULLVOICE,2,0,icn_voice,icn_voice
3903,3900,Locale_System:CONTENT_TYPE_MINIGAME,3,20014,icn_minigame,icn_minigame
3904,3900,Locale_System:CONTENT_TYPE_STORYEVENT1,4,0,,
3905,3900,Locale_System:CONTENT_TYPE_STORYEVENT2,5,0,,
3906,3900,Locale_System:CONTENT_TYPE_FIELDEVENT,6,0,,
4001,4000,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
4101,4100,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1000101,1000100,Locale_System:CONTENT_TYPE_EVENTQUEST,1,0,,
1000201,1000200,Locale_System:CONTENT_TYPE_EVENTQUEST,1,0,,
1000301,1000300,Locale_System:CONTENT_TYPE_EVENTQUEST,1,0,,
2000101,2000100,Locale_System:CONTENT_TYPE_MINIGAME,1,20010,icn_minigame,icn_minigame
2000102,2000100,Locale_System:CONTENT_TYPE_STORYEVENT1,2,0,,
2000103,2000100,Locale_System:CONTENT_TYPE_STORYEVENT2,3,0,,
2000104,2000100,Locale_System:CONTENT_TYPE_STORYEVENT3,4,0,,
2000105,2000100,Locale_System:CONTENT_TYPE_FIELDEVENT,5,0,,
