id,item_group,item_order,first_item,item_resource,item_name_locale,item_description_locale,maximum_amount,item_option/0/item_option_group,item_option/0/item_option_value,item_option/1/item_option_group,item_option/1/item_option_value,item_option/2/item_option_group,item_option/2/item_option_value,item_option/3/item_option_group,item_option/3/item_option_value,item_option/4/item_option_group,item_option/4/item_option_value,item_option/5/item_option_group,item_option/5/item_option_value,item_option_locale/0/item_option_locale,item_option_locale/1/item_option_locale,item_option_locale/2/item_option_locale,item_option_locale/3/item_option_locale,item_option_locale/4/item_option_locale,item_option_locale/5/item_option_locale
111,FishingRod,11,False,icn_island_adventure_fishingrod_11,Locale_Event:island_adventure_fishingrod_11_name,Locale_Event:island_adventure_fishingrod_11_description,1,PatternDecreaseHP,10000.0,,,,,,,,,,,Locale_Event:island_adventure_item_option_damage_description,,,,,
201,Bait,1,False,icn_island_adventure_bait_01,Locale_Event:island_adventure_bait_01_name,Locale_Event:island_adventure_bait_01_description,999,CastingBonusRatio,300.0,,,,,,,,,,,Locale_Event:island_adventure_item_option_bonusratio_description,,,,,
202,Bait,3,False,icn_island_adventure_bait_02,Locale_Event:island_adventure_bait_02_name,Locale_Event:island_adventure_bait_02_description,999,PatternDecreaseHP,700.0,CastingBonusRatio,500.0,,,,,,,,,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_bonusratio_description,,,,
203,Bait,2,False,icn_island_adventure_bait_03,Locale_Event:island_adventure_bait_03_name,Locale_Event:island_adventure_bait_03_description,999,PatternDecreaseHP,500.0,CastingBonusRatio,300.0,,,,,,,,,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_bonusratio_description,,,,
204,Bait,4,False,icn_island_adventure_bait_04,Locale_Event:island_adventure_bait_04_name,Locale_Event:island_adventure_bait_04_description,999,PatternDecreaseHP,1000.0,CastingBonusRatio,1000.0,CatchDoubleRatio,1000.0,,,,,,,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_bonusratio_description,Locale_Event:island_adventure_item_option_doubleratio_description,,,
205,Bait,5,False,icn_island_adventure_bait_05,Locale_Event:island_adventure_bait_05_name,Locale_Event:island_adventure_bait_05_description,999,PatternDecreaseHP,1500.0,CastingBonusRatio,1500.0,,,,,,,,,Locale_Event:island_adventure_item_option_damage_description,Locale_Event:island_adventure_item_option_bonusratio_description,,,,
301,BoatReinforce,1,False,icn_island_adventure_boatreinforce_01,Locale_Event:island_adventure_boat_reinforce_01_name,Locale_Event:island_adventure_boat_reinforce_01_description,1,GainGoldRatio,3000.0,CatchDoubleRatio,1000.0,,,,,,,,,Locale_Event:island_adventure_item_option_goldratio_description,Locale_Event:island_adventure_item_option_doubleratio_description,,,,
302,BoatReinforce,2,False,icn_island_adventure_boatreinforce_02,Locale_Event:island_adventure_boat_reinforce_02_name,Locale_Event:island_adventure_boat_reinforce_02_description,1,GainGoldRatio,2000.0,CastingBonusRatio,1000.0,,,,,,,,,Locale_Event:island_adventure_item_option_goldratio_description,Locale_Event:island_adventure_item_option_bonusratio_description,,,,
303,BoatReinforce,3,False,icn_island_adventure_boatreinforce_03,Locale_Event:island_adventure_boat_reinforce_03_name,Locale_Event:island_adventure_boat_reinforce_03_description,1,GainGoldRatio,3000.0,CastingBonusRatio,2000.0,,,,,,,,,Locale_Event:island_adventure_item_option_goldratio_description,Locale_Event:island_adventure_item_option_bonusratio_description,,,,
304,BoatReinforce,7,False,icn_island_adventure_boatreinforce_04,Locale_Event:island_adventure_boat_reinforce_04_name,Locale_Event:island_adventure_boat_reinforce_04_description,1,GainGoldRatio,2000.0,PatternLimitTime,5.0,,,,,,,,,Locale_Event:island_adventure_item_option_goldratio_description,Locale_Event:island_adventure_item_option_patterntime_description,,,,
305,BoatReinforce,5,False,icn_island_adventure_boatreinforce_05,Locale_Event:island_adventure_boat_reinforce_05_name,Locale_Event:island_adventure_boat_reinforce_05_description,1,GainGoldRatio,1000.0,BoatSpeed,2000.0,,,,,,,,,Locale_Event:island_adventure_item_option_goldratio_description,Locale_Event:island_adventure_item_option_boatspeed_description,,,,
306,BoatReinforce,6,False,icn_island_adventure_boatreinforce_06,Locale_Event:island_adventure_boat_reinforce_06_name,Locale_Event:island_adventure_boat_reinforce_06_description,1,GainGoldRatio,2000.0,BoatSpeed,3000.0,,,,,,,,,Locale_Event:island_adventure_item_option_goldratio_description,Locale_Event:island_adventure_item_option_boatspeed_description,,,,
307,BoatReinforce,4,False,icn_island_adventure_boatreinforce_07,Locale_Event:island_adventure_boat_reinforce_07_name,Locale_Event:island_adventure_boat_reinforce_07_description,1,GainGoldRatio,2000.0,SpotCatchableCount,5.0,,,,,,,,,Locale_Event:island_adventure_item_option_goldratio_description,Locale_Event:island_adventure_item_option_spotcatchablecount_description,,,,
