id,group_id,order,nameplate_position,scenariodialog_groupid,resource_id,name_locale,text_locale,day_condition,play_condition,minigame_helptip_id,play_condition_value/0/name,play_condition_value/0/value
602,7,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_15,0,None,0,,
603,7,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_16,0,None,0,,
604,7,4,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_17,0,None,0,,
605,7,5,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_18,0,None,0,,
701,8,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_19,0,CompleteBuild,100312,play_condition_value,206.0
702,8,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_20,0,None,0,,
801,9,1,Left,d_contents_eden_04,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_21,0,ClearMainQuest,100313,play_condition_value,7.0
802,9,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_21_b,0,None,0,,
803,9,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_22,0,None,0,,
804,9,4,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_23,0,None,0,,
805,9,5,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_24,0,None,0,,
901,10,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_25,0,HireUnit,0,play_condition_value,9901.0
902,10,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_25_a,0,None,0,,
903,10,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_25_b,0,None,0,,
1001,11,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_26,0,CompleteBuild,100309,play_condition_value,306.0
1002,11,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_27,0,None,0,,
1003,11,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_28,0,None,0,,
1004,11,4,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_29,0,None,0,,
1101,12,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_30,0,ClearMainQuest,0,play_condition_value,16.0
1102,12,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_30_b,0,None,0,,
1103,12,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_31,0,None,0,,
1201,13,1,Left,d_contents_eden_12,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_32,0,ClearMainQuest,100318,play_condition_value,23.0
1202,13,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_33,0,None,0,,
1203,13,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_34,0,None,0,,
1204,13,4,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_35,0,None,0,,
1205,13,5,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_36,0,None,0,,
1206,13,6,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_37,0,None,0,,
2001,14,1,Left,d_contents_eden_01,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,1.0
2002,14,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2003,15,1,Left,d_contents_eden_02,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,4.0
2004,15,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2005,16,1,Left,d_contents_eden_03,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,5.0
2006,16,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2007,17,1,Left,d_contents_eden_05,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,8.0
2008,17,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2009,18,1,Left,d_contents_eden_06,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,9.0
2010,18,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2011,19,1,Left,d_contents_eden_07,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,10.0
2012,19,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2013,20,1,Left,d_contents_eden_08,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,12.0
2014,20,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2015,21,1,Left,d_contents_eden_09,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,13.0
2016,21,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2017,22,1,Left,d_contents_eden_10,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,14.0
2018,22,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
2019,23,1,Left,d_contents_eden_11,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_a,0,ClearMainQuest,0,play_condition_value,17.0
2020,23,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_38_b,0,None,0,,
