id,skill_group,skill_type,skill_damage,skill_effect,hit_effect,hint_effect,hint_position
20401,204,Core,0,0,0,board_target_core,CorePosition
20402,204,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20403,204,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
20404,204,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
20501,205,Core,0,0,0,board_target_core,CorePosition
20502,205,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20503,205,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
20504,205,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
20601,206,Core,0,0,0,board_target_core,CorePosition
20602,206,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20603,206,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
20604,206,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
20701,207,Core,0,0,0,board_target_core,CorePosition
20702,207,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20703,207,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
20704,207,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30101,301,Core,0,0,0,board_target_core,CorePosition
30102,301,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
30103,301,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30104,301,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
30105,301,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
30106,301,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
30201,302,Core,0,0,0,board_target_core,CorePosition
30202,302,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
30203,302,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30204,302,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
30205,302,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
30206,302,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
30301,303,Core,0,0,0,board_target_core,CorePosition
30302,303,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
30303,303,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30304,303,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
30305,303,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
30306,303,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
30401,304,Core,0,0,0,board_target_core,CorePosition
30402,304,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
30403,304,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30404,304,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
30405,304,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
30406,304,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
30501,305,Core,0,0,0,board_target_core,CorePosition
30502,305,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
30503,305,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30504,305,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
30505,305,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
30506,305,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
30601,306,Core,0,0,0,board_target_core,CorePosition
30602,306,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
30603,306,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30604,306,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
30605,306,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
30606,306,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
30701,307,Core,0,0,0,board_target_core,CorePosition
30702,307,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
30703,307,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
30704,307,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
30705,307,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
30706,307,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
40101,401,Core,0,0,0,board_target_core,CorePosition
40102,401,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40201,402,Core,0,0,0,board_target_core,CorePosition
40202,402,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40203,402,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
40204,402,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
40301,403,Core,0,0,0,board_target_core,CorePosition
40302,403,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
40303,403,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
40304,403,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40305,403,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
40306,403,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
40401,404,Core,0,0,0,board_target_core,CorePosition
40402,404,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
40403,404,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
40404,404,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40405,404,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
40406,404,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
40501,405,Core,0,0,0,board_target_core,CorePosition
40502,405,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
40503,405,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
40504,405,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40505,405,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
40506,405,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
40601,406,Core,0,0,0,board_target_core,CorePosition
40602,406,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
40603,406,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
40604,406,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40605,406,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
40606,406,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
40701,407,Core,0,0,0,board_target_core,CorePosition
40702,407,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
40703,407,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
40704,407,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40705,407,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
40706,407,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
40801,408,Core,0,0,0,board_target_core,CorePosition
40802,408,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
40803,408,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
40804,408,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
40805,408,LeftCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_left_cancel,LeftCancellingPosition
40806,408,RightCancelling,1000,fx_minigame_ce004_m_beam,fx_minigame_ce004_m_beam_hit,board_target_right_cancel,RightCancellingPosition
