id,value
UnionRaidEnterCount,3
UnionRaidTeamCount,5
UnionRaidHardEnterCount,3
IsReviewGetSSRCharacterConditionUse,True
IsReviewGetInAppProductConditionUse,True
ReviewConditionTutorialGroupID,2800
EventCurrencyMaterialMiraclesnow,7060003
LiberateMissionResetCurrencyType,99
LiberateMissionResetCurrencyValue,50
MinCombatPowerStageNotEnterInterceptLevelDValue,1500
MinCombatPowerStageNotEnterInterceptLevelSValue,10000
MinCombatPowerStageNotEnterInterceptSpecialValue,43000
MinCombatPowerStageNotEnterInterceptAnomalousValue,100000
MinCombatPowerStageNotEnterDefaultStageRatio,45
CharacterSkillResetCurrencyType,14000
CharacterSkillResetCurrencyValue,1
AwakenEquipmentOptionLowValue,11
AwakenEquipmentOptionHighValue,14
AwakenEquipmentOptionMaxValue,15
GuildMailSendCoolTime,3600
SDBattleEvent,130001
SynchroDeviceLevelTutorialSet,160
SoloRaidEnterCount,3
SoloRaidTrialEnterCount,3
MaxSoloRaidTeamCount,5
MaxSoloRaidMuseumTeamCount,5
TextAdventureEndingTouchBlockDuration,1
TextAdventureEndingTouchBlockDurationLootItem,3.5
EventFieldTimeLineActionFadeInOutDelay,0.3
EventFieldTimeLineActionOutroFadeInOutStartTime,1
FieldItemHintDistance,1000
MaxDailyMessageCountPerDay,2
MaxDailyAndRandomMessageCountPerDay,3
TierTableChangeDate,2023-06-21T20:00:00
IsFrameFilterActive,False
ArchiveRecordResetCount,30
ArchiveRecordResetQuickStartCount,5
ArchiveMainUnlockItemId,7120001
OutpostOverTimeBattleHour,336
OutpostOverTimeBattleEfficiency,1500
OutpostOverTimeBattleHelpTipPopupOpen,700601
LobbyPassBannerRotationCoolTime,8
PassBuyNoticeTime,1440
InteractionNavigationMinDistance,450
UserProfileRepresentativeFrameMaxCount,5
PickupNoticeTime,1440
FavoriteItemChangeRate,1
QuickCounselOpenCount,5
FavoriteItemRComposeNeedCount,4
FavoriteItemRComposeReward,3899901
QuickCounselAttractivePoint,100
ProfileCardStickerSetMaxCount,10
ProfileCardCorrectionRange,10
ProfileCardRotationReset,3
ProfileCardRandomBoxSetId,9430001
ProfileCardDefaultBackgroundImageId,301001
ProfileStickerObjectMaxSizeSet,200
ProfileStickerObjectMinSizeSet,80
FavoriteItemActiveConditionAttractiveLevel,30
NikkeCounselAnswerKeyMarkPointValue,120
NksIdLinkedWithLobby,3
FavoriteItemDirectingRubTime,3
SuddenStoryCategoryGroupId,2000
FieldSquadForcedSummonDistance,2500
FavoriteItemEnterScenario,d_contents_favorite
HarmonyCubeDefaultDisplaySlotCount,6
FavoriteItemSRComposeNeedCount,3
FavoriteItemSRComposeReward,3899902
FavoriteItemTranscendMaterialTradeCount,5
FavoriteItemTranscendMaterialTradePopUp,5
ShopTradeMaxCount,999
TransitionLoadingRotationTime,10
FieldEchoDialogPrintTimeBackUpData,0.145
SimulationRoomSimpleGetBuffCount,3
Ce004ShortCutArchiveRecordId,2000100
FieldUserSquadMarkerPosition,650
ContentsTutorialIdForComplete,1040491
SpotTutorialIdForStart,1
cooperation_report_match_user_count,4
cooperation_report_match_count,3
cooperation_report_release_normal_play_count,3
cooperation_report_remain_time,600
MaxMuseumRecordLoadCount,4
