id,priority,condition_type,condition_value,description,reward_id,mail_key
69910,69910,EnterTournamentCount32,25,Locale_System:ARENA_CHAMPION_REWARD_69910_DESC,93028,ARENA_CHAMPION_REWARD_69910
69920,69920,EnterTournamentCount32,20,Locale_System:ARENA_CHAMPION_REWARD_69920_DESC,93027,ARENA_CHAMPION_REWARD_69920
69930,69930,EnterTournamentCount32,15,Locale_System:ARENA_CHAMPION_REWARD_69930_DESC,93026,ARENA_CHAMPION_REWARD_69930
69940,69940,EnterTournamentCount32,10,Locale_System:ARENA_CHAMPION_REWARD_69940_DESC,93025,ARENA_CHAMPION_REWARD_69940
69950,69950,EnterTournamentCount32,5,Locale_System:ARENA_CHAMPION_REWARD_69950_DESC,93024,ARENA_CHAMPION_REWARD_69950
69960,69960,EnterTournamentCount32,4,Locale_System:ARENA_CHAMPION_REWARD_69960_DESC,93023,ARENA_CHAMPION_REWARD_69960
69970,69970,EnterTournamentCount32,3,Locale_System:ARENA_CHAMPION_REWARD_69970_DESC,93022,ARENA_CHAMPION_REWARD_69970
69980,69980,EnterTournamentCount32,2,Locale_System:ARENA_CHAMPION_REWARD_69980_DESC,93021,ARENA_CHAMPION_REWARD_69980
69990,69990,EnterTournamentCount32,1,Locale_System:ARENA_CHAMPION_REWARD_69990_DESC,93020,ARENA_CHAMPION_REWARD_69990
79900,79900,EnterTournamentCount64,30,Locale_System:ARENA_CHAMPION_REWARD_79900_DESC,93019,ARENA_CHAMPION_REWARD_79900
79910,79910,EnterTournamentCount64,25,Locale_System:ARENA_CHAMPION_REWARD_79910_DESC,93018,ARENA_CHAMPION_REWARD_79910
79920,79920,EnterTournamentCount64,20,Locale_System:ARENA_CHAMPION_REWARD_79920_DESC,93017,ARENA_CHAMPION_REWARD_79920
79930,79930,EnterTournamentCount64,15,Locale_System:ARENA_CHAMPION_REWARD_79930_DESC,93016,ARENA_CHAMPION_REWARD_79930
79940,79940,EnterTournamentCount64,10,Locale_System:ARENA_CHAMPION_REWARD_79940_DESC,93015,ARENA_CHAMPION_REWARD_79940
79950,79950,EnterTournamentCount64,5,Locale_System:ARENA_CHAMPION_REWARD_79950_DESC,93014,ARENA_CHAMPION_REWARD_79950
79960,79960,EnterTournamentCount64,4,Locale_System:ARENA_CHAMPION_REWARD_79960_DESC,93013,ARENA_CHAMPION_REWARD_79960
79970,79970,EnterTournamentCount64,3,Locale_System:ARENA_CHAMPION_REWARD_79970_DESC,93012,ARENA_CHAMPION_REWARD_79970
79980,79980,EnterTournamentCount64,2,Locale_System:ARENA_CHAMPION_REWARD_79980_DESC,93011,ARENA_CHAMPION_REWARD_79980
79990,79990,EnterTournamentCount64,1,Locale_System:ARENA_CHAMPION_REWARD_79990_DESC,93010,ARENA_CHAMPION_REWARD_79990
89990,89990,EnterLeagueCount,1,Locale_System:ARENA_CHAMPION_REWARD_89990_DESC,93009,ARENA_CHAMPION_REWARD_89990
