id,depart_scene_code,arrive_scene_code,depart_view_type,arrive_view_type,event_id,transition_type,is_gauge,loading_tip_group,rotation_type
4014,CE002MiniGame,EventField,0,0,0,9,False,0,None
5001,None,None,6012,11551,0,2,False,0,None
5002,None,None,11551,6012,0,2,False,0,None
5003,None,None,6012,11501,0,2,False,0,None
5004,None,None,11501,6012,0,2,False,0,None
6001,EventField,MiniGameEmptyScene,0,0,81601,11,True,0,None
6002,MiniGameEmptyScene,EventField,0,0,81601,11,True,0,None
6003,Lobby,MiniGameEmptyScene,0,0,81601,11,True,0,None
6004,MiniGameEmptyScene,Lobby,0,0,81601,11,True,0,None
8230001,Lobby,EventField,0,0,82300,7,False,0,None
8230002,EventField,Lobby,0,0,82300,8,False,0,None
8230003,Outpost,EventField,0,0,82300,7,False,0,None
8230004,EventField,Outpost,0,0,82300,8,False,0,None
4008201,EventField,Battle,0,0,40082,8,True,101,None
4008202,Battle,Battle,0,0,40082,8,True,101,None
4008203,Battle,EventField,0,0,40082,8,True,101,None
4008204,None,None,6014,-1,40082,8,False,0,None
4008301,EventField,Battle,0,0,40083,8,True,101,None
4008302,Battle,Battle,0,0,40083,8,True,101,None
4008303,Battle,EventField,0,0,40083,8,True,101,None
4008304,None,None,6014,-1,40083,8,False,0,None
4008401,EventField,Scenario,0,0,82300,8,False,0,None
