id,mission_group,mission_type,condition_type,condition_id,condition_value,name_localkey,point_value,order,reward_id
30205,102,Achievement,StageClear,1107,1,Locale_Event:EventBM_mission_stage_clear_name,0,2,8152081
30206,102,Achievement,StageClear,1203,1,Locale_Event:EventBM_mission_stage_clear_name,0,3,8152082
30207,102,Achievement,StageClear,1207,1,Locale_Event:EventBM_mission_stage_clear_name,0,4,8152083
30208,102,Achievement,StageClear,1303,1,Locale_Event:EventBM_mission_stage_clear_name,0,5,8152084
30209,102,Achievement,StageClear,1307,1,Locale_Event:EventBM_mission_stage_clear_name,0,6,8152085
30212,102,Achievement,MinionSummon,0,250,Locale_Event:EventBM_mission_any_minion_summon_name,0,21,8152086
30213,102,Achievement,HeroSummon,2011,3,Locale_Event:EventBM_mission_hero_summon_name,0,10,8152087
30214,102,Achievement,HeroSummon,2021,3,Locale_Event:EventBM_mission_hero_summon_name,0,11,8152088
30215,102,Achievement,HeroSummon,2031,3,Locale_Event:EventBM_mission_hero_summon_name,0,12,8152089
30218,102,Achievement,KillEnemy,0,2000,Locale_Event:EventBM_mission_any_kill_enemy_name,0,15,8152090
30221,102,Achievement,LevelUpCount,0,45,Locale_Event:EventBM_mission_level_up_count_name,0,18,8152091
30224,102,Achievement,TargetLevelUp,0,25,Locale_Event:EventBM_mission_any_target_level_up_name,0,27,8152092
30227,102,Achievement,UseCurrency,1,55000,Locale_Event:EventBM_mission_use_currency_name,0,24,8152093
