id,record_type,record_title_locale,record_main_archive_event_id,record_list_order,unlock_ticket_id,unlock_ticket_count,reward_info_list_id,event_quest_clear_reward_id,recommended_story_list_id,included_contents_group_id,record_slot_bg_addressable,record_unlock_bg_addressable,messenger_group_id,event_quest_banner_table,event_quest_banner_id
1600,StoryEvent,Locale_System:RECORD_EVENT_TITLE_16,40023,16,7120001,1,1600,0,0,1600,event_archive_goldenship,event_archive_goldenship,40023.0,,
1700,StoryEvent,Locale_System:RECORD_EVENT_TITLE_17,40029,17,7120001,1,1700,0,0,1700,event_archive_dazzlingcupid,event_archive_dazzlingcupid,40029.0,,
1800,StoryEvent,Locale_System:RECORD_EVENT_TITLE_18,80400,18,7120001,1,1800,0,0,1800,event_archive_bluewaterisland,event_archive_bluewaterisland,40020.0,,
1900,StoryEvent,Locale_System:RECORD_EVENT_TITLE_19,80600,19,7120001,1,1900,0,0,1900,event_archive_seayouagain,event_archive_seayouagain,,,
2000,StoryEvent,Locale_System:RECORD_EVENT_TITLE_20,40030,20,7120001,1,2000,0,0,2000,event_archive_acpufreeze,event_archive_acpufreeze,40030.0,,
2100,StoryEvent,Locale_System:RECORD_EVENT_TITLE_21,40038,21,7120001,1,2100,0,0,2100,event_archive_dirtybackyard,event_archive_dirtybackyard,40038.0,,
2200,StoryEvent,Locale_System:RECORD_EVENT_TITLE_22,40037,22,7120001,1,2200,0,0,2200,event_archive_lionheart,event_archive_lionheart,40037.0,,
2300,StoryEvent,Locale_System:RECORD_EVENT_TITLE_23,81200,23,7120001,1,2300,0,0,2300,event_archive_lastkingdom,event_archive_lastkingdom,,,
2400,StoryEvent,Locale_System:RECORD_EVENT_TITLE_24,40036,24,7120001,1,2400,0,0,2400,event_archive_newyearnewsword,event_archive_newyearnewsword,,,
2500,StoryEvent,Locale_System:RECORD_EVENT_TITLE_25,80900,25,7120001,1,2500,0,0,2500,event_archive_neverland,event_archive_neverland,,,
2600,StoryEvent,Locale_System:RECORD_EVENT_TITLE_26,40047,26,7120001,1,2600,0,0,2600,event_archive_darkhero,event_archive_darkhero,40047.0,,
2700,StoryEvent,Locale_System:RECORD_EVENT_TITLE_27,40033,27,7120001,1,2700,0,0,2700,event_archive_alonesurvivor,event_archive_alonesurvivor,40033.0,,
2800,StoryEvent,Locale_System:RECORD_EVENT_TITLE_28,40039,28,7120001,1,2800,0,0,2800,event_archive_perfectmaid,event_archive_perfectmaid,40039.0,,
2900,StoryEvent,Locale_System:RECORD_EVENT_TITLE_29,40040,29,7120001,1,2900,0,0,2900,event_archive_boomsday,event_archive_boomsday,40040.0,,
3000,StoryEvent,Locale_System:RECORD_EVENT_TITLE_30,40044,30,7120001,1,3000,0,0,3000,event_archive_onemoretime,event_archive_onemoretime,40044.0,,
3100,StoryEvent,Locale_System:RECORD_EVENT_TITLE_31,81600,31,7120001,1,3100,0,0,3100,event_archive_oldtales,event_archive_oldtales,,,
3200,StoryEvent,Locale_System:RECORD_EVENT_TITLE_32,40043,32,7120001,1,3200,0,0,3200,event_archive_killthelord,event_archive_killthelord,40043.0,,
3300,StoryEvent,Locale_System:RECORD_EVENT_TITLE_33,40050,33,7120001,1,3300,0,0,3300,event_archive_claymore,event_archive_claymore,40050.0,,
3400,StoryEvent,Locale_System:RECORD_EVENT_TITLE_34,40053,34,7120001,1,3400,0,0,3400,event_archive_juveniledays,event_archive_juveniledays,40053.0,,
3500,StoryEvent,Locale_System:RECORD_EVENT_TITLE_35,40054,35,7120001,1,3500,0,0,3500,event_archive_colorless,event_archive_colorless,40054.0,,
3600,StoryEvent,Locale_System:RECORD_EVENT_TITLE_36,81400,36,7120001,1,3600,0,0,3600,event_archive_beautyfullshot,event_archive_beautyfullshot,0.0,,
3700,StoryEvent,Locale_System:RECORD_EVENT_TITLE_37,40058,37,7120001,1,3700,0,0,3700,event_archive_jinxplayer,event_archive_jinxplayer,40058.0,,
3800,StoryEvent,Locale_System:RECORD_EVENT_TITLE_38,81300,38,7120001,1,3800,0,0,3800,event_archive_goldencoinrush,event_archive_goldencoinrush,0.0,,
1000100,EventQuest,Locale_Event:EVENT_QUEST_FIRSTAFFECTION,130002,10001,7120001,1,0,6000011,0,1000100,event_archive_firstaffection,event_archive_firstaffection,0.0,perm_eventquest,EVENT_BANNER_FIRSTAFFECTION
1000200,EventQuest,Locale_Event:EVENT_QUEST_FOOLSDAY,130001,10002,7120001,1,0,6000001,0,1000200,event_archive_fullfoolday,event_archive_fullfoolday,130001.0,perm_eventquest,EVENT_BANNER_FULLFOOLDAY
1000300,EventQuest,Locale_Event:EVENT_QUEST_LIAR'SEND,130004,10003,7120001,1,0,6000031,0,1000300,event_archive_liarsend,event_archive_liarsend,130004.0,perm_eventquest,EVENT_BANNER_LIARSEND
2000100,CollaboEvent,Locale_System:RECORD_COLLABO_TITLE_1,81500,20001,0,0,2000100,0,0,2000100,event_archive_ce004,event_archive_ce004,0.0,,
