id,group_Id,priority,is_DialogFirstPoint,printType,portrait_id,name_localkey,scenario_localkey,play_sound,play_bgm,scenario_effect_type,scenario_effect_value,execute_DelayTime,execute_Rate,first_show_check,ConditionData/0/useCondition_Type,ConditionData/0/useCondition_Value/0,set_background,set_background_cord_X,set_background_cord_Y,set_background_scale,SpineData/0/show_spine_resource_id,SpineData/0/spine_anim_resource_id,SpineData/0/spine_resource_cord_X,SpineData/0/spine_resource_cord_Y,SpineData/0/spine_resource_scale,SpineData/4/show_spine_resource_id,SpineData/4/spine_anim_resource_id,SpineData/4/spine_resource_cord_X,SpineData/4/spine_resource_cord_Y,SpineData/5/show_spine_resource_id,SpineData/5/spine_anim_resource_id,SpineData/5/spine_resource_cord_X,SpineData/5/spine_resource_cord_Y,SpineData/6/show_spine_resource_id,SpineData/6/spine_anim_resource_id,SpineData/6/spine_resource_cord_X,SpineData/6/spine_resource_cord_Y,SpineData/7/show_spine_resource_id,SpineData/7/spine_anim_resource_id,SpineData/8/show_spine_resource_id,SpineData/8/spine_anim_resource_id,SpineData/1/show_spine_resource_id,SpineData/1/spine_anim_resource_id,SpineData/1/spine_resource_cord_X,SpineData/1/spine_resource_cord_Y,SpineData/1/spine_resource_scale,SpineData/2/show_spine_resource_id,SpineData/2/spine_anim_resource_id,SpineData/2/spine_resource_cord_X,SpineData/2/spine_resource_cord_Y,SpineData/2/spine_resource_scale,hide_background,SpineData/0/hide_spine_resource_id,SpineData/1/hide_spine_resource_id,ConditionData/0/useCondition_Value/1,ConditionData/0/useCondition_Value/2,ConditionData/1/useCondition_Type,ConditionData/1/useCondition_Value/0,SpineData/2/hide_spine_resource_id,SpineData/3/show_spine_resource_id,SpineData/3/spine_anim_resource_id,SpineData/3/spine_resource_cord_X,SpineData/3/spine_resource_cord_Y,SpineData/3/spine_resource_scale,SpineData/3/hide_spine_resource_id,SpineData/4/spine_resource_scale,SpineData/8/spine_resource_cord_X,SpineData/8/spine_resource_cord_Y,SpineData/8/spine_resource_scale,SpineData/5/spine_resource_scale,SpineData/8/hide_spine_resource_id,SpineData/5/hide_spine_resource_id,SpineData/7/spine_resource_cord_X,SpineData/7/spine_resource_cord_Y,SpineData/7/spine_resource_scale,SpineData/7/hide_spine_resource_id,SpineData/6/spine_resource_scale,SpineData/6/hide_spine_resource_id,SpineData/9/show_spine_resource_id,SpineData/9/spine_anim_resource_id,SpineData/9/spine_resource_cord_X,SpineData/9/spine_resource_cord_Y,SpineData/9/spine_resource_scale,SpineData/9/hide_spine_resource_id,SpineData/4/hide_spine_resource_id
100002,NKSmini_Dialog_Group_07_A,1,False,Stage,,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_02,sfx_scn_toyshopbell,None,white,2,,,,,,,,,,,,,,,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,20.0,100.0,4.0,NKS_characterDialog_c965_01,characterDialog_sprite_00,-15.0,250.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003,NKSmini_Dialog_Group_07_A,1,False,Stage,NKS_characterDialog_c965,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,event_bgm_redash_minigame_boxlv3,set_camera_shake,Low_1,,,,,,NKS_sbg_03,0.0,0.0,5.0,NKS_characterDialog_c220_01,characterDialog_sprite_00,20.0,140.0,0.2,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,,,,,,,,,,,NKS_sbg_02,NKS_characterDialog_c220_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100004,NKSmini_Dialog_Group_07_A,1,False,Stage,,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_02,sfx_scn_paperopen,None,black,2,,,,,,,,,,,,,,,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,NKS_characterDialog_c470_02,characterDialog_sprite_00,20.0,100.0,2.1,NKS_characterDialog_c966_00,characterDialog_sprite_00,0.0,100.0,2.2,NKS_sbg_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100005,NKSmini_Dialog_Group_07_A,1,False,Stage,NKS_characterDialog_hidden,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,event_bgm_redash_minigame_title,,,,,,,,NKS_sbg_04,0.0,0.0,0.1,NKS_characterDialog_c220_02,characterDialog_sprite_00,-40.0,200.0,0.4,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100006,NKSmini_Dialog_Group_07_A,1,False,Stage,,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_02,sfx_scn_trainhorn,,set_camera_shake,Low_1,,,,,,,,,,,,,,,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,,,,,,,,,,,,NKS_characterDialog_c220_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100007,NKSmini_Dialog_Group_07_A,1,False,Stage,,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,sfx_scn_paperopen,,white,1,,,,,,NKS_sbg_05,0.0,0.0,2.1,NKS_characterDialog_c220_00,characterDialog_sprite_00,40.0,140.0,2.5,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,NKS_characterDialog_c470_00,characterDialog_sprite_00,20.0,15.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100008,NKSmini_Dialog_Group_07_A,1,False,Stage,,Locale_Character:233_name,Locale_Event:NKS_ScenarioDialog_001_02,,None,black,1,,,,,,,,,,,,,,,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,,,,,,,,,,,NKS_sbg_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100009,NKSmini_Dialog_Group_07_A,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_Event:NKS_ScenarioDialog_001_01,,,set_camera_shake,Low_1,,,,,,NKS_sbg_06,0.0,0.0,1.0,NKS_characterDialog_c220_03,characterDialog_sprite_01,-20.0,100.0,1.2,NKS_characterDialog_emoji,characterDialog_emoji_00,-50.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_03,-70.0,120.0,NKS_characterDialog_emoji,characterDialog_emoji_07,-90.0,120.0,,,,,,,,,,NKS_characterDialog_c470_00,characterDialog_sprite_00,-15.0,-200.0,0.4,NKS_sbg_04,,NKS_characterDialog_c470_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300101,1ann_mini_ending_snowwhite,1,True,Stage,,,Locale_SubScenario:1ann_mini_ending_snowwhite_1,,event_bgm_redash_minigame_story2,set_camera_shake,Low_1,,10000.0,True,Check_CurCharacter,1.0,NKS_sbg_02,0.0,165.0,0.25,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300102,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_2,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,NKS_characterDialog_emoji,characterDialog_emoji_02,-81.0,215.0,1.5,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300103,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_3,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,NKS_characterDialog_emoji,,,,,,,,,,,,,,,,,,,,,,,,,,
300104,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_4,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300105,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_5,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300106,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_6,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300107,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_7,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300108,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_8,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,NKS_characterDialog_emoji,characterDialog_emoji_04,-81.0,215.0,1.5,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300109,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_9,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,NKS_characterDialog_emoji,NKS_characterDialog_emoji,characterDialog_emoji_05,132.0,115.0,1.5,,,,,,,,,,,,,,,,,,,,,
300110,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_10,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_01,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,NKS_characterDialog_emoji,,,,,,,,,,,,,,,,,,,,
300111,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_11,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300112,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_12,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300113,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_13,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300114,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_14,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300115,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_15,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300116,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_16,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300117,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_17,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,NKS_characterDialog_emoji,characterDialog_emoji_05,132.0,115.0,1.5,,,,,,,,,,,,,,,,,,,,,
300118,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_18,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,NKS_characterDialog_emoji,,,,,,,,,,,,,,,,,,,,
300119,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_19,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300120,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_20,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300121,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_21,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300122,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_22,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,NKS_characterDialog_emoji,characterDialog_emoji_01,-81.0,215.0,1.5,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300123,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_23,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,NKS_characterDialog_emoji,,,,,,,,,,,,,,,,,,,,,,,,,,
300124,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_24,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300125,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c470,Locale_Character:470_name,Locale_SubScenario:1ann_mini_ending_snowwhite_25,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,,,,,,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300126,1ann_mini_ending_snowwhite,1,False,Stage,NKS_characterDialog_c220,Locale_Character:220_name,Locale_SubScenario:1ann_mini_ending_snowwhite_26,,,,,,,,Check_CurCharacter,1.0,,,,,NKS_characterDialog_c220_01,characterDialog_sprite_02,-81.0,110.0,1.5,,,,,,,,,,,,,,,,,NKS_characterDialog_c470_01,characterDialog_sprite_00,132.0,10.0,1.5,NKS_characterDialog_emoji,characterDialog_emoji_05,-81.0,215.0,1.5,,,,101.0,202.0,Check_ItemHold,110005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
