id,group_id,customType_Main,customType_Sub,skillLockType,Lv,actionGroupID,coolDownTime,globalCoolDownTime,ignoreGlobalCoolDownTime,customVariablesData/0/customVariablesType,customVariablesData/0/customVariables,customVariablesData/0/customCalcType,customVariablesData/0/customValue,customVariablesData/1/customVariablesType,customVariablesData/1/customVariables,customVariablesData/1/customCalcType,customVariablesData/1/customValue,attack_keep,customVariablesData/2/customVariablesType,customVariablesData/2/customVariables,customVariablesData/2/customCalcType,customVariablesData/2/customValue
2011,2011,skill_b,Passive,,,,,,,CharacterCustomAction,proj_pierce,Add,100.0,CharacterCustomAction,proj_dmgCount,Add,100.0,,,,,
2021,2011,skill_b,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,160.0,,,,,,,,,
2012,2012,skill_b,Passive,,,,,,,CharacterCustom,coolDownTime,Set,10.0,,,,,,,,,
2013,2013,skill_b,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,300.0,,,,,,,,,
2014,2014,skill_b,Passive,,,,,,,CharacterCustomAction,actionGroupID,Set,710.0,,,,,,,,,
2024,2014,skill_b,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,160.0,,,,,,,,,
2015,2015,skill_b,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,250.0,,,,,,,,,
2025,2015,skill_b,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,160.0,,,,,,,,,
2016,2016,skill_b,Passive,,,,,,,CharacterCustomAction,proj_duration,Mul,120.0,,,,,,,,,
2026,2016,skill_b,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,160.0,,,,,,,,,
2017,2017,skill_b,Passive,,,,,,,CharacterCustomAction,proj_spd,Mul,120.0,,,,,,,,,
2027,2017,skill_b,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,160.0,,,,,,,,,
3000,800800,skill_c,Active,SemiLock,,800.0,1000.0,0.0,False,,,,,,,,,True,,,,
3001,3001,skill_c,Passive,,,,,,,CharacterCustom,actionGroupID,Set,801.0,CharacterCustomAction,proj_atk,Mul,500.0,,,,,
3011,3001,skill_c,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,160.0,,,,,,,,,
3002,3002,skill_c,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,500.0,,,,,,,,,
3012,3002,skill_c,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,200.0,,,,,,,,,
3003,3003,skill_c,Passive,,,,,,,CharacterCustomAction,proj_duration,Add,300.0,CharacterCustomAction,proj_pierce,Set,-100.0,,,,,
3013,3003,skill_c,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,200.0,,,,,,,,,
3004,3004,skill_c,Passive,,,,,,,CharacterCustom,attack_keep,Set,100.0,CharacterCustomAction,proj_typeValue_1,Set,100.0,,CharacterCustomAction,proj_typeValue_3,Set,100.0
3005,3005,skill_c,Passive,,,,,,,CharacterCustom,hold_move,Set,100.0,CharacterCustomAction,proj_typeValue_1,Set,100.0,,CharacterCustomAction,proj_typeValue_3,Set,100.0
3015,3005,skill_c,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,200.0,,,,,,,,,
3006,3006,skill_c,Passive,,,,,,,CharacterCustom,glassC_toggle,Set,100.0,,,,,,,,,
3016,3006,skill_c,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,200.0,,,,,,,,,
3007,3007,skill_c,Passive,,,,,,,CharacterCustomAction,proj_typeValue_2,Set,1000.0,,,,,,,,,
3017,3007,skill_c,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,200.0,,,,,,,,,
4000,800900,skill_d,Active,NoneLock,,900.0,700.0,0.0,False,,,,,,,,,,,,,
4001,4001,skill_d,Passive,,,,,,,CharacterCustomAction,proj_typeValue_4,Set,200.0,,,,,,,,,
4002,4002,skill_d,Passive,,,,,,,CharacterCustomAction,proj_typeValue_4,Set,100.0,,,,,,,,,
4012,4002,skill_d,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,140.0,,,,,,,,,
4003,4003,skill_d,Passive,,,,,,,CharacterCustomAction,proj_typeValue_8,Add,500.0,,,,,,,,,
4004,4004,skill_d,Passive,,,,,,,CharacterCustomAction,proj_amount,Add,800.0,,,,,,,,,
4014,4004,skill_d,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,140.0,,,,,,,,,
4005,4005,skill_d,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,140.0,,,,,,,,,
4015,4005,skill_d,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,120.0,,,,,,,,,
4006,4006,skill_d,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,400.0,,,,,,,,,
4016,4006,skill_d,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,140.0,,,,,,,,,
5001,900100,skill_Burst_A,Active,HardLock,,1000.0,2000.0,1400.0,False,,,,,,,,,,,,,
5002,900101,skill_Burst_B,Active,HardLock,,1000.0,2000.0,1400.0,False,,,,,,,,,,,,,
5003,900102,skill_Burst_C,Active,HardLock,,1000.0,2000.0,1400.0,False,,,,,,,,,,,,,
5004,900103,skill_Burst_D,Active,HardLock,,1000.0,2000.0,1400.0,False,,,,,,,,,,,,,
5005,5005,skill_Burst_A,Passive,,,,,,,CharacterCustomAction,proj_typeValue_2,Add,1000.0,,,,,,,,,
5006,5005,skill_Burst_B,Passive,,,,,,,CharacterCustomAction,proj_typeValue_2,Add,1000.0,,,,,,,,,
5007,5005,skill_Burst_C,Passive,,,,,,,CharacterCustomAction,proj_typeValue_2,Add,1000.0,,,,,,,,,
5008,5005,skill_Burst_D,Passive,,,,,,,CharacterCustomAction,proj_typeValue_2,Add,1000.0,,,,,,,,,
5009,5009,skill_Burst_A,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,130.0,CharacterCustomAction,proj_size,Mul,140.0,,,,,
5010,5009,skill_Burst_B,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,130.0,CharacterCustomAction,proj_size,Mul,140.0,,,,,
5011,5009,skill_Burst_C,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,130.0,CharacterCustomAction,proj_size,Mul,140.0,,,,,
5012,5009,skill_Burst_D,Passive,,,,,,,CharacterCustomAction,proj_atk,Mul,130.0,CharacterCustomAction,proj_size,Mul,140.0,,,,,
5013,5013,skill_Burst_A,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,1000.0,,,,,,,,,
5014,5013,skill_Burst_B,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,1000.0,,,,,,,,,
5015,5013,skill_Burst_C,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,1000.0,,,,,,,,,
5016,5013,skill_Burst_D,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,1000.0,,,,,,,,,
700001,700001,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,120.0,,,,,,,,,
700101,700101,Chara_Dash,Passive,,,,,,True,,dashLength,Mul,110.0,,,,,,,,,
700102,700102,Chara_Dash,Passive,,,,,,True,,dashLength,Mul,90.0,,,,,,,,,
700103,700103,Chara_Dash,Passive,,,,,,True,,dashSpd,Mul,120.0,,,,,,,,,
700104,700104,Chara_Dash,Passive,,,,,,True,,dashDelay,Mul,70.0,,,,,,,,,
700105,700105,Chara_Dash,Passive,,,,,,True,,dashCool,Sub,50.0,,,,,,,,,
700106,700106,Chara_Dash,Passive,,,,,,True,,dashCount,Add,100.0,,,,,,,,,
700107,700107,Chara_Dash,Passive,,,,,,True,,dashInvincible,Set,100.0,,,,,,,,,
700201,700201,Chara_Jump,Passive,,,,,,True,,jmpCount,Add,100.0,,,,,,,,,
700202,700202,Chara_Jump,Passive,,,,,,True,,jmpMaxHeight,Mul,130.0,,,,,,,,,
700203,700203,Chara_Jump,Passive,,,,,,True,,jmpMaxHeight_2nd,Mul,110.0,,,,,,,,,
700301,700301,Chara_Lock,Passive,,,,,,True,,landedLockTime,Mul,80.0,,,,,,,,,
700302,700302,Chara_Lock,Passive,,,,,,True,,landedLockTime,Set,0.0,,,,,,,,,
700401,700401,Chara_Knockback,Passive,,,,,,True,,knockInvincibleTime,Add,30.0,,,,,,,,,
700402,700402,Chara_Knockback,Passive,,,,,,True,,knockLockTime,Mul,50.0,,,,,,,,,
700501,700501,Chara_Mode,Passive,,,,,,True,,absorbRecoveryTime,Sub,30.0,,,,,,,,,
700502,700502,Chara_Mode,Passive,,,,,,True,,absorbRecoveryAmount,Add,800.0,,,,,,,,,
700503,700503,Chara_Mode,Passive,,,,,,True,,absorb_perfectTime,Add,40.0,,,,,,,,,
700504,700504,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Add,100.0,,,,,,,,,
700505,700505,Chara_Mode,Passive,,,,,,True,,healthRecoveryAmount,Add,100.0,,,,,,,,,
700506,700506,Chara_Mode,Passive,,,,,,True,,maxAbsorbGauge,Add,20000.0,,,,,,,,,
700601,700601,Chara_Unique,Passive,,,,,,True,,Currency,Mul,110.0,,,,,,,,,
800101,800101,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,100.0,,,,,,,,,
800102,800102,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,100.0,,,,,,,,,
800103,800103,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,200.0,,,,,,,,,
800104,800104,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,200.0,,,,,,,,,
800105,800105,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,300.0,,,,,,,,,
800106,800106,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,300.0,,,,,,,,,
800107,800107,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,400.0,,,,,,,,,
800108,800108,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,400.0,,,,,,,,,
800109,800109,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,500.0,,,,,,,,,
800110,800110,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,500.0,,,,,,,,,
800111,800111,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,600.0,,,,,,,,,
800112,800112,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,600.0,,,,,,,,,
800113,800113,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,700.0,,,,,,,,,
800114,800114,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,700.0,,,,,,,,,
800115,800115,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,800.0,,,,,,,,,
800116,800116,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,800.0,,,,,,,,,
800117,800117,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,900.0,,,,,,,,,
800118,800118,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,900.0,,,,,,,,,
800119,800119,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,1000.0,,,,,,,,,
800120,800120,Chara_Stat,Passive,,,,,,True,,stat_atk,Add,1000.0,,,,,,,,,
800201,800201,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,100.0,,,,,,,,,
800202,800202,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,200.0,,,,,,,,,
800203,800203,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,300.0,,,,,,,,,
800204,800204,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,400.0,,,,,,,,,
800205,800205,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,500.0,,,,,,,,,
800206,800206,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,600.0,,,,,,,,,
800207,800207,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,700.0,,,,,,,,,
800208,800208,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,800.0,,,,,,,,,
800209,800209,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,900.0,,,,,,,,,
800210,800210,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1000.0,,,,,,,,,
800211,800211,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1100.0,,,,,,,,,
800212,800212,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1200.0,,,,,,,,,
800213,800213,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1300.0,,,,,,,,,
800214,800214,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1400.0,,,,,,,,,
800215,800215,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1500.0,,,,,,,,,
800216,800216,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1600.0,,,,,,,,,
800217,800217,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1700.0,,,,,,,,,
800218,800218,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1800.0,,,,,,,,,
800219,800219,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,1900.0,,,,,,,,,
800220,800220,Chara_Stat,Passive,,,,,,True,,stat_hp,Add,2000.0,,,,,,,,,
800301,800301,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1100.0,,,,,,,,,
800302,800302,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1200.0,,,,,,,,,
800303,800303,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1300.0,,,,,,,,,
800304,800304,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1400.0,,,,,,,,,
800305,800305,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1500.0,,,,,,,,,
800306,800306,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1600.0,,,,,,,,,
800307,800307,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1700.0,,,,,,,,,
800308,800308,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1800.0,,,,,,,,,
800309,800309,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,1900.0,,,,,,,,,
800310,800310,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2000.0,,,,,,,,,
800311,800311,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2100.0,,,,,,,,,
800312,800312,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2200.0,,,,,,,,,
800313,800313,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2300.0,,,,,,,,,
800314,800314,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2400.0,,,,,,,,,
800315,800315,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2500.0,,,,,,,,,
800316,800316,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2600.0,,,,,,,,,
800317,800317,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2700.0,,,,,,,,,
800318,800318,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2800.0,,,,,,,,,
800319,800319,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,2900.0,,,,,,,,,
800320,800320,Chara_Stat,Passive,,,,,,True,,maxModuleSlot,Set,3000.0,,,,,,,,,
800401,800401,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,95.0,,,,,,,,,
800402,800402,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,94.0,,,,,,,,,
800403,800403,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,93.0,,,,,,,,,
800404,800404,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,92.0,,,,,,,,,
800405,800405,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,91.0,,,,,,,,,
800406,800406,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,90.0,,,,,,,,,
800407,800407,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,89.0,,,,,,,,,
800408,800408,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,88.0,,,,,,,,,
800409,800409,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,87.0,,,,,,,,,
800410,800410,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,86.0,,,,,,,,,
800411,800411,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,85.0,,,,,,,,,
800412,800412,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,84.0,,,,,,,,,
800413,800413,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,83.0,,,,,,,,,
800414,800414,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,82.0,,,,,,,,,
800415,800415,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,81.0,,,,,,,,,
800416,800416,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,80.0,,,,,,,,,
800417,800417,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,79.0,,,,,,,,,
800418,800418,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,78.0,,,,,,,,,
800419,800419,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,77.0,,,,,,,,,
800420,800420,Chara_Mode,Passive,,,,,,True,,healthRecoveryTime,Mul,76.0,,,,,,,,,
800501,800501,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,102.0,,,,,,,,,
800502,800502,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,104.0,,,,,,,,,
800503,800503,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,106.0,,,,,,,,,
800504,800504,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,108.0,,,,,,,,,
800505,800505,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,110.0,,,,,,,,,
800506,800506,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,112.0,,,,,,,,,
800507,800507,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,114.0,,,,,,,,,
800508,800508,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,116.0,,,,,,,,,
800509,800509,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,118.0,,,,,,,,,
800510,800510,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,120.0,,,,,,,,,
800511,800511,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,122.0,,,,,,,,,
800512,800512,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,124.0,,,,,,,,,
800513,800513,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,126.0,,,,,,,,,
800514,800514,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,128.0,,,,,,,,,
800515,800515,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,130.0,,,,,,,,,
800516,800516,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,132.0,,,,,,,,,
800517,800517,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,134.0,,,,,,,,,
800518,800518,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,136.0,,,,,,,,,
800519,800519,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,138.0,,,,,,,,,
800520,800520,Chara_mv,Passive,,,,,,True,,mvSpd,Mul,140.0,,,,,,,,,
900101,900101,skill_a,Passive,,,,,,True,CharacterCustom,actionGroupID,Set,9101.0,,,,,,,,,
900102,900102,skill_a,Passive,,,,,,True,CharacterCustom,actionGroupID,Set,9102.0,,,,,,,,,
900201,900201,skill_b,Passive,,,,,,True,CharacterCustom,actionGroupID,Set,9201.0,,,,,,,,,
900202,900202,skill_b,Passive,,,,,,True,CharacterCustom,actionGroupID,Set,9202.0,,,,,,,,,
900301,900301,skill_c,Passive,,,,,,True,CharacterCustom,actionGroupID,Set,9301.0,,,,,,,,,
