id,stage_id,order,mode_type,condition_type,condition_value,mission_desc,reward_id,ranking_point_amount
1021012,102,12,Challenge,GetTotalDamageRanker,5,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901312,0
1021013,102,13,Challenge,GetTotalDamageRanker,1,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901313,0
1022001,102,14,NoLimit,GetTotalStageStep,20,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901401,5
1022002,102,15,NoLimit,GetTotalStageStep,40,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901402,5
1022003,102,16,NoLimit,GetTotalStageStep,60,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901403,5
1022004,102,17,NoLimit,GetTotalStageStep,80,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901404,5
1022005,102,18,NoLimit,GetTotalStageStep,100,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901405,10
1031001,103,1,Challenge,GetTotalDamage,332000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901501,0
1031002,103,2,Challenge,GetTotalDamage,609000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901502,0
1031003,103,3,Challenge,GetTotalDamage,1166000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901503,0
1031004,103,4,Challenge,GetTotalDamage,1786000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901504,0
1031005,103,5,Challenge,GetTotalDamage,2299000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901505,0
1031006,103,6,Challenge,GetTotalDamage,4296000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901506,0
1031007,103,7,Challenge,GetTotalDamage,6109000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901507,0
1031008,103,8,Challenge,GetTotalDamage,7095000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901508,0
1031009,103,9,Challenge,GetTotalDamageRanker,50,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901509,0
1031010,103,10,Challenge,GetTotalDamageRanker,30,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901510,0
1031011,103,11,Challenge,GetTotalDamageRanker,15,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901511,0
1031012,103,12,Challenge,GetTotalDamageRanker,5,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901512,0
1031013,103,13,Challenge,GetTotalDamageRanker,1,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901513,0
1032001,103,14,NoLimit,GetTotalStageStep,20,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901601,5
1032002,103,15,NoLimit,GetTotalStageStep,40,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901602,5
1032003,103,16,NoLimit,GetTotalStageStep,60,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901603,5
1032004,103,17,NoLimit,GetTotalStageStep,80,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901604,5
1032005,103,18,NoLimit,GetTotalStageStep,100,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901605,10
