id,desc,currencyType,currencyValue,currencyResource
9074,챌린지7 보스 골드,MVGGold,6000,fx_mvg_dropitem_gold_big
9081,챌린지8 쓰레쉬 ~ 일반 골드,MVGGold,80,fx_mvg_dropitem_gold_small
9082,챌린지8 앨리트 골드,MVGGold,240,fx_mvg_dropitem_gold_big
9083,챌린지8 보물 고블린 골드,MVGGold,4000,fx_mvg_dropitem_gold_big
9084,챌린지8 보스 골드,MVGGold,8000,fx_mvg_dropitem_gold_big
9091,챌린지9 쓰레쉬 ~ 일반 골드,MVGGold,120,fx_mvg_dropitem_gold_big
9092,챌린지9 앨리트 골드,MVGGold,360,fx_mvg_dropitem_gold_big
9093,챌린지9 보물 고블린 골드,MVGGold,6000,fx_mvg_dropitem_gold_big
9094,챌린지9 보스 골드,MVGGold,10000,fx_mvg_dropitem_gold_big
9101,챌린지10 쓰레쉬 ~ 일반 골드,MVGGold,150,fx_mvg_dropitem_gold_big
9102,챌린지10 앨리트 골드,MVGGold,450,fx_mvg_dropitem_gold_big
9103,챌린지10 보물 고블린 골드,MVGGold,7500,fx_mvg_dropitem_gold_big
9104,챌린지10 보스 골드,MVGGold,14000,fx_mvg_dropitem_gold_big
