id,animator_id,animation_speed_ratio,use_effect_resource,use_attack_group_id,is_invincible,time_to_idle,skill_tutorial_use,skill_tutorial_use_id,skill_tutorial_output_time
4112,12,100,fx_ce006_behemoth_Roar1,4012,False,440,True,10071,10
4105,5,100,fx_ce006_behemoth_SmashCombo2,4005,False,680,True,10073,370
4114,5,100,fx_ce006_behemoth_SmashCombo2,4014,False,680,True,10073,370
5001,1,100,fx_ce006_brute_PhaseChange,5001,True,660,False,0,0
5002,2,100,fx_ce006_brute_Uppercut,5002,False,316,False,0,0
5003,3,100,fx_ce006_brute_SwingDouble,5003,False,596,False,0,0
5004,4,100,fx_ce006_brute_SwingCombo,5004,False,561,False,0,0
5005,5,100,fx_ce006_brute_SpinCombo,5005,False,750,False,0,0
5006,6,100,fx_ce006_brute_DashSwing,5006,False,570,False,0,0
5007,7,100,fx_ce006_brute_Smash,5007,False,550,False,0,0
5008,8,100,fx_ce006_brute_SwingSmash,5008,False,576,False,0,0
5009,9,100,fx_ce006_brute_ShockWave,5009,False,500,False,0,0
5010,10,100,fx_ce006_brute_ShockWaveChain,5010,False,596,False,0,0
5011,11,100,fx_ce006_brute_ExplosionCombo,5011,False,586,False,0,0
5012,12,100,fx_ce006_brute_LeapExplosionCombo,5012,False,530,False,0,0
5013,13,100,fx_ce006_brute_ExplosionBuffON,5013,False,200,False,0,0
5014,14,100,fx_ce006_brute_AreaExplosion,5014,False,566,False,0,0
5015,15,100,fx_ce006_brute_SpinSwingLeft,5015,False,350,False,0,0
5105,5,80,fx_ce006_brute_SpinCombo,5005,False,750,False,0,0
