id,TutorialViewId,group_Id,guide_resource_Id,guide_Title_localkey,guide_description_localkey,guide_SubTitle_localkey
76,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_04,
77,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_05,
78,42002,1,,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_06
79,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_07,
80,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_08,
81,42002,1,,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_09
82,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_10,
83,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_11,
84,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_02_archive,
201,42004,1,ele_redash_NKS_scene_tutorial_08,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_01,,
202,42004,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_02,
203,42004,1,,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_03
204,42004,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_04,
205,42004,1,,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_05
206,42004,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_06,
207,42004,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_07,
301,42005,1,ele_redash_NKS_scene_tutorial_06,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_01,,
302,42005,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_02,
303,42005,1,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_03
304,42005,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_04,
