id,quest_target_type,quest_type,condition_type,name_localkey,description_localkey,next_quest_id,condition_id,time_line_group_id,reward_id,condition_value_1,condition_value_2,parents_quest_id
502,First,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Ch05_01_NameA,Locale_Event:EventMVG_Quest_DescEmpty,,56212.0,,3010024.0,1.0,,501.0
503,First,ChildMission,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch05_01_NameB,Locale_Event:EventMVG_Quest_DescEmpty,,503.0,,3010034.0,,,501.0
504,First,Normal,KillMonster,Locale_Event:EventMVG_Quest_Ch05_02_Name,Locale_Event:EventMVG_Quest_Ch05_02_Desc,701.0,66213.0,60100.0,3010025.0,1.0,,
701,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch07_01_Name,Locale_Event:EventMVG_Quest_Ch07_01_Desc,702.0,701.0,70100.0,3010035.0,,,
702,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch07_02_Name,Locale_Event:EventMVG_Quest_Ch07_02_Desc,703.0,702.0,,3010035.0,,,
703,First,Normal,KillMonster,Locale_Event:EventMVG_Quest_Ch07_03_Name,Locale_Event:EventMVG_Quest_Ch07_03_Desc,801.0,76114.0,70200.0,3010026.0,1.0,,
801,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch08_01_Name,Locale_Event:EventMVG_Quest_Ch08_01_Desc,802.0,801.0,,3010036.0,,,
802,First,Normal,KillMonster,Locale_Event:EventMVG_Quest_Ch08_02_Name,Locale_Event:EventMVG_Quest_Ch08_02_Desc,901.0,86101.0,80100.0,3010027.0,1.0,,
901,First,Normal,EndMission,Locale_Event:EventMVG_Quest_EndQuest,Locale_Event:EventMVG_Quest_DescEmpty,,,,,,,
1000,Loop,Normal,StartMission,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_Quest_DescEmpty,1001.0,,,,,,
1001,Loop,MotherMission,ClearMultiCondition,Locale_Event:EventMVG_Quest_Loop_Name,Locale_Event:EventMVG_Quest_DescEmpty,1013.0,0.0,,3010012.0,0.0,0,
1002,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_01,Locale_Event:EventMVG_Quest_DescEmpty,,16201.0,,3010012.0,1.0,,1001.0
1003,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_02,Locale_Event:EventMVG_Quest_DescEmpty,,26201.0,,3010012.0,1.0,,1001.0
1004,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_03,Locale_Event:EventMVG_Quest_DescEmpty,,36205.0,,3010012.0,1.0,,1001.0
1005,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_04,Locale_Event:EventMVG_Quest_DescEmpty,,46109.0,,3010013.0,1.0,,1001.0
1006,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_05,Locale_Event:EventMVG_Quest_DescEmpty,,46210.0,,3010013.0,1.0,,1001.0
1007,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_06,Locale_Event:EventMVG_Quest_DescEmpty,,46211.0,,3010013.0,1.0,,1001.0
1008,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_07,Locale_Event:EventMVG_Quest_DescEmpty,,46212.0,,3010013.0,1.0,,1001.0
1009,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_08,Locale_Event:EventMVG_Quest_DescEmpty,,56212.0,,3010012.0,1.0,,1001.0
1010,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_09,Locale_Event:EventMVG_Quest_DescEmpty,,66213.0,,3010012.0,1.0,,1001.0
1011,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_10,Locale_Event:EventMVG_Quest_DescEmpty,,76114.0,,3010012.0,1.0,,1001.0
1012,Loop,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Loop_Name_11,Locale_Event:EventMVG_Quest_DescEmpty,,86101.0,,3010012.0,1.0,,1001.0
1013,Loop,Normal,EndMission,Locale_Event:EventMVG_Quest_EndQuest,Locale_Event:EventMVG_Quest_DescEmpty,,,,,,,
