id,reaction_type,attractive_level_min,attractive_level_max,resource_id,costume_index,eventlobby_id,animation_clip,speech_localkey,rection_voice,probability,special_lobby_change_step,camera_shake
102,touch,10.0,0.0,72,0,0,expression_0,Locale_Character:72_speech_06,c072_Lobby_Touch_Love_3,0.4,,
103,stay,1.0,9.0,72,0,0,expression_0,Locale_Character:72_stay_01,c072_Lobby_Stay_1,1.0,,
104,stay,10.0,0.0,72,0,0,expression_0,Locale_Character:72_stay_02,c072_Lobby_Stay_Love_1,1.0,,
105,touch,1.0,9.0,80,0,0,expression_0,Locale_Character:80_speech_01,c080_Lobby_Touch_1,0.3,,
106,touch,1.0,9.0,80,0,0,expression_0,Locale_Character:80_speech_02,c080_Lobby_Touch_2,0.3,,
107,touch,1.0,9.0,80,0,0,expression_0,Locale_Character:80_speech_03,c080_Lobby_Touch_3,0.4,,
108,touch,10.0,0.0,80,0,0,expression_0,Locale_Character:80_speech_04,c080_Lobby_Touch_Love_1,0.3,,
109,touch,10.0,0.0,80,0,0,expression_0,Locale_Character:80_speech_05,c080_Lobby_Touch_Love_2,0.3,,
110,touch,10.0,0.0,80,0,0,expression_0,Locale_Character:80_speech_06,c080_Lobby_Touch_Love_3,0.4,,
111,stay,1.0,9.0,80,0,0,expression_0,Locale_Character:80_stay_01,c080_Lobby_Stay_1,1.0,,
112,stay,10.0,0.0,80,0,0,expression_0,Locale_Character:80_stay_02,c080_Lobby_Stay_Love_1,1.0,,
113,touch,1.0,9.0,82,0,0,expression_0,Locale_Character:82_speech_01,c082_Lobby_Touch_1,0.3,,
114,touch,1.0,9.0,82,0,0,expression_0,Locale_Character:82_speech_02,c082_Lobby_Touch_2,0.3,,
115,touch,1.0,9.0,82,0,0,expression_0,Locale_Character:82_speech_03,c082_Lobby_Touch_3,0.4,,
116,touch,10.0,0.0,82,0,0,expression_0,Locale_Character:82_speech_04,c082_Lobby_Touch_Love_1,0.3,,
117,touch,10.0,0.0,82,0,0,expression_0,Locale_Character:82_speech_05,c082_Lobby_Touch_Love_2,0.3,,
118,touch,10.0,0.0,82,0,0,expression_0,Locale_Character:82_speech_06,c082_Lobby_Touch_Love_3,0.4,,
119,stay,1.0,9.0,82,0,0,expression_0,Locale_Character:82_stay_01,c082_Lobby_Stay_1,1.0,,
120,stay,10.0,0.0,82,0,0,expression_0,Locale_Character:82_stay_02,c082_Lobby_Stay_Love_1,1.0,,
121,touch,1.0,9.0,90,0,0,expression_0,Locale_Character:90_speech_01,c090_Lobby_Touch_1,0.3,,
122,touch,1.0,9.0,90,0,0,expression_0,Locale_Character:90_speech_02,c090_Lobby_Touch_2,0.3,,
123,touch,1.0,9.0,90,0,0,expression_0,Locale_Character:90_speech_03,c090_Lobby_Touch_3,0.4,,
124,touch,10.0,0.0,90,0,0,expression_0,Locale_Character:90_speech_04,c090_Lobby_Touch_Love_1,0.3,,
125,touch,10.0,0.0,90,0,0,expression_0,Locale_Character:90_speech_05,c090_Lobby_Touch_Love_2,0.3,,
126,touch,10.0,0.0,90,0,0,expression_0,Locale_Character:90_speech_06,c090_Lobby_Touch_Love_3,0.4,,
127,stay,1.0,9.0,90,0,0,expression_0,Locale_Character:90_stay_01,c090_Lobby_Stay_1,1.0,,
128,stay,10.0,0.0,90,0,0,expression_0,Locale_Character:90_stay_02,c090_Lobby_Stay_Love_1,1.0,,
129,touch,1.0,9.0,91,0,0,expression_0,Locale_Character:91_speech_01,c091_Lobby_Touch_1,0.3,,
130,touch,1.0,9.0,91,0,0,expression_0,Locale_Character:91_speech_02,c091_Lobby_Touch_2,0.3,,
131,touch,1.0,9.0,91,0,0,expression_0,Locale_Character:91_speech_03,c091_Lobby_Touch_3,0.4,,
132,touch,10.0,0.0,91,0,0,expression_0,Locale_Character:91_speech_04,c091_Lobby_Touch_Love_1,0.3,,
133,touch,10.0,0.0,91,0,0,expression_0,Locale_Character:91_speech_05,c091_Lobby_Touch_Love_2,0.3,,
134,touch,10.0,0.0,91,0,0,expression_0,Locale_Character:91_speech_06,c091_Lobby_Touch_Love_3,0.4,,
135,stay,1.0,9.0,91,0,0,expression_0,Locale_Character:91_stay_01,c091_Lobby_Stay_1,1.0,,
136,stay,10.0,0.0,91,0,0,expression_0,Locale_Character:91_stay_02,c091_Lobby_Stay_Love_1,1.0,,
137,touch,1.0,9.0,92,0,0,expression_0,Locale_Character:92_speech_01,c092_Lobby_Touch_1,0.3,,
138,touch,1.0,9.0,92,0,0,expression_0,Locale_Character:92_speech_02,c092_Lobby_Touch_2,0.3,,
139,touch,1.0,9.0,92,0,0,expression_0,Locale_Character:92_speech_03,c092_Lobby_Touch_3,0.4,,
140,touch,10.0,0.0,92,0,0,expression_0,Locale_Character:92_speech_04,c092_Lobby_Touch_Love_1,0.3,,
141,touch,10.0,0.0,92,0,0,expression_0,Locale_Character:92_speech_05,c092_Lobby_Touch_Love_2,0.3,,
142,touch,10.0,0.0,92,0,0,expression_0,Locale_Character:92_speech_06,c092_Lobby_Touch_Love_3,0.4,,
143,stay,1.0,9.0,92,0,0,expression_0,Locale_Character:92_stay_01,c092_Lobby_Stay_1,1.0,,
144,stay,10.0,0.0,92,0,0,expression_0,Locale_Character:92_stay_02,c092_Lobby_Stay_Love_1,1.0,,
145,touch,1.0,9.0,101,0,0,expression_0,Locale_Character:101_speech_01,c101_Lobby_Touch_1,0.3,,
146,touch,1.0,9.0,101,0,0,expression_0,Locale_Character:101_speech_02,c101_Lobby_Touch_2,0.3,,
147,touch,1.0,9.0,101,0,0,expression_0,Locale_Character:101_speech_03,c101_Lobby_Touch_3,0.4,,
148,touch,10.0,0.0,101,0,0,expression_0,Locale_Character:101_speech_04,c101_Lobby_Touch_Love_1,0.3,,
149,touch,10.0,0.0,101,0,0,expression_0,Locale_Character:101_speech_05,c101_Lobby_Touch_Love_2,0.3,,
150,touch,10.0,0.0,101,0,0,expression_0,Locale_Character:101_speech_06,c101_Lobby_Touch_Love_3,0.4,,
151,stay,1.0,9.0,101,0,0,expression_0,Locale_Character:101_stay_01,c101_Lobby_Stay_1,1.0,,
152,stay,10.0,0.0,101,0,0,expression_0,Locale_Character:101_stay_02,c101_Lobby_Stay_Love_1,1.0,,
153,touch,1.0,9.0,102,0,0,expression_0,Locale_Character:102_speech_01,c102_Lobby_Touch_1,0.3,,
154,touch,1.0,9.0,102,0,0,expression_0,Locale_Character:102_speech_02,c102_Lobby_Touch_2,0.3,,
155,touch,1.0,9.0,102,0,0,expression_0,Locale_Character:102_speech_03,c102_Lobby_Touch_3,0.4,,
156,touch,10.0,0.0,102,0,0,expression_0,Locale_Character:102_speech_04,c102_Lobby_Touch_Love_1,0.3,,
157,touch,10.0,0.0,102,0,0,expression_0,Locale_Character:102_speech_05,c102_Lobby_Touch_Love_2,0.3,,
158,touch,10.0,0.0,102,0,0,expression_0,Locale_Character:102_speech_06,c102_Lobby_Touch_Love_3,0.4,,
159,stay,1.0,9.0,102,0,0,expression_0,Locale_Character:102_stay_01,c102_Lobby_Stay_1,1.0,,
160,stay,10.0,0.0,102,0,0,expression_0,Locale_Character:102_stay_02,c102_Lobby_Stay_Love_1,1.0,,
161,touch,1.0,9.0,110,0,0,expression_0,Locale_Character:110_speech_01,c110_Lobby_Touch_1,0.3,,
162,touch,1.0,9.0,110,0,0,expression_0,Locale_Character:110_speech_02,c110_Lobby_Touch_2,0.3,,
163,touch,1.0,9.0,110,0,0,expression_0,Locale_Character:110_speech_03,c110_Lobby_Touch_3,0.4,,
164,touch,10.0,0.0,110,0,0,expression_0,Locale_Character:110_speech_04,c110_Lobby_Touch_Love_1,0.3,,
165,touch,10.0,0.0,110,0,0,expression_0,Locale_Character:110_speech_05,c110_Lobby_Touch_Love_2,0.3,,
166,touch,10.0,0.0,110,0,0,expression_0,Locale_Character:110_speech_06,c110_Lobby_Touch_Love_3,0.4,,
167,stay,1.0,9.0,110,0,0,expression_0,Locale_Character:110_stay_01,c110_Lobby_Stay_1,1.0,,
168,stay,10.0,0.0,110,0,0,expression_0,Locale_Character:110_stay_02,c110_Lobby_Stay_Love_1,1.0,,
169,touch,1.0,9.0,120,0,0,expression_0,Locale_Character:120_speech_01,c120_Lobby_Touch_1,0.3,,
170,touch,1.0,9.0,120,0,0,expression_0,Locale_Character:120_speech_02,c120_Lobby_Touch_2,0.3,,
171,touch,1.0,9.0,120,0,0,expression_0,Locale_Character:120_speech_03,c120_Lobby_Touch_3,0.4,,
172,touch,10.0,0.0,120,0,0,expression_0,Locale_Character:120_speech_04,c120_Lobby_Touch_Love_1,0.3,,
173,touch,10.0,0.0,120,0,0,expression_0,Locale_Character:120_speech_05,c120_Lobby_Touch_Love_2,0.3,,
174,touch,10.0,0.0,120,0,0,expression_0,Locale_Character:120_speech_06,c120_Lobby_Touch_Love_3,0.4,,
175,stay,1.0,9.0,120,0,0,expression_0,Locale_Character:120_stay_01,c120_Lobby_Stay_1,1.0,,
176,stay,10.0,0.0,120,0,0,expression_0,Locale_Character:120_stay_02,c120_Lobby_Stay_Love_1,1.0,,
177,touch,1.0,9.0,130,0,0,expression_0,Locale_Character:130_speech_01,c130_Lobby_Touch_1,0.3,,
178,touch,1.0,9.0,130,0,0,expression_0,Locale_Character:130_speech_02,c130_Lobby_Touch_2,0.3,,
179,touch,1.0,9.0,130,0,0,expression_0,Locale_Character:130_speech_03,c130_Lobby_Touch_3,0.4,,
180,touch,10.0,0.0,130,0,0,expression_0,Locale_Character:130_speech_04,c130_Lobby_Touch_Love_1,0.3,,
181,touch,10.0,0.0,130,0,0,expression_0,Locale_Character:130_speech_05,c130_Lobby_Touch_Love_2,0.3,,
182,touch,10.0,0.0,130,0,0,expression_0,Locale_Character:130_speech_06,c130_Lobby_Touch_Love_3,0.4,,
183,stay,1.0,9.0,130,0,0,expression_0,Locale_Character:130_stay_01,c130_Lobby_Stay_1,1.0,,
184,stay,10.0,0.0,130,0,0,expression_0,Locale_Character:130_stay_02,c130_Lobby_Stay_Love_1,1.0,,
185,touch,1.0,9.0,131,0,0,expression_0,Locale_Character:131_speech_01,c131_Lobby_Touch_1,0.3,,
186,touch,1.0,9.0,131,0,0,expression_0,Locale_Character:131_speech_02,c131_Lobby_Touch_2,0.3,,
187,touch,1.0,9.0,131,0,0,expression_0,Locale_Character:131_speech_03,c131_Lobby_Touch_3,0.4,,
188,touch,10.0,0.0,131,0,0,expression_0,Locale_Character:131_speech_04,c131_Lobby_Touch_Love_1,0.3,,
189,touch,10.0,0.0,131,0,0,expression_0,Locale_Character:131_speech_05,c131_Lobby_Touch_Love_2,0.3,,
190,touch,10.0,0.0,131,0,0,expression_0,Locale_Character:131_speech_06,c131_Lobby_Touch_Love_3,0.4,,
191,stay,1.0,9.0,131,0,0,expression_0,Locale_Character:131_stay_01,c131_Lobby_Stay_1,1.0,,
192,stay,10.0,0.0,131,0,0,expression_0,Locale_Character:131_stay_02,c131_Lobby_Stay_Love_1,1.0,,
193,touch,1.0,9.0,140,0,0,expression_0,Locale_Character:140_speech_01,c140_Lobby_Touch_1,0.3,,
194,touch,1.0,9.0,140,0,0,expression_0,Locale_Character:140_speech_02,c140_Lobby_Touch_2,0.3,,
195,touch,1.0,9.0,140,0,0,expression_0,Locale_Character:140_speech_03,c140_Lobby_Touch_3,0.4,,
196,touch,10.0,0.0,140,0,0,expression_0,Locale_Character:140_speech_04,c140_Lobby_Touch_Love_1,0.3,,
197,touch,10.0,0.0,140,0,0,expression_0,Locale_Character:140_speech_05,c140_Lobby_Touch_Love_2,0.3,,
198,touch,10.0,0.0,140,0,0,expression_0,Locale_Character:140_speech_06,c140_Lobby_Touch_Love_3,0.4,,
199,stay,1.0,9.0,140,0,0,expression_0,Locale_Character:140_stay_01,c140_Lobby_Stay_1,1.0,,
200,stay,10.0,0.0,140,0,0,expression_0,Locale_Character:140_stay_02,c140_Lobby_Stay_Love_1,1.0,,
201,touch,1.0,9.0,141,0,0,expression_0,Locale_Character:141_speech_01,c141_Lobby_Touch_1,0.3,,
202,touch,1.0,9.0,141,0,0,expression_0,Locale_Character:141_speech_02,c141_Lobby_Touch_2,0.3,,
203,touch,1.0,9.0,141,0,0,expression_0,Locale_Character:141_speech_03,c141_Lobby_Touch_3,0.4,,
204,touch,10.0,0.0,141,0,0,expression_0,Locale_Character:141_speech_04,c141_Lobby_Touch_Love_1,0.3,,
205,touch,10.0,0.0,141,0,0,expression_0,Locale_Character:141_speech_05,c141_Lobby_Touch_Love_2,0.3,,
206,touch,10.0,0.0,141,0,0,expression_0,Locale_Character:141_speech_06,c141_Lobby_Touch_Love_3,0.4,,
207,stay,1.0,9.0,141,0,0,expression_0,Locale_Character:141_stay_01,c141_Lobby_Stay_1,1.0,,
208,stay,10.0,0.0,141,0,0,expression_0,Locale_Character:141_stay_02,c141_Lobby_Stay_Love_1,1.0,,
209,touch,1.0,9.0,142,0,0,expression_0,Locale_Character:142_speech_01,c142_Lobby_Touch_1,0.3,,
210,touch,1.0,9.0,142,0,0,expression_0,Locale_Character:142_speech_02,c142_Lobby_Touch_2,0.3,,
211,touch,1.0,9.0,142,0,0,expression_0,Locale_Character:142_speech_03,c142_Lobby_Touch_3,0.4,,
212,touch,10.0,0.0,142,0,0,expression_0,Locale_Character:142_speech_04,c142_Lobby_Touch_Love_1,0.3,,
213,touch,10.0,0.0,142,0,0,expression_0,Locale_Character:142_speech_05,c142_Lobby_Touch_Love_2,0.3,,
214,touch,10.0,0.0,142,0,0,expression_0,Locale_Character:142_speech_06,c142_Lobby_Touch_Love_3,0.4,,
215,stay,1.0,9.0,142,0,0,expression_0,Locale_Character:142_stay_01,c142_Lobby_Stay_1,1.0,,
216,stay,10.0,0.0,142,0,0,expression_0,Locale_Character:142_stay_02,c142_Lobby_Stay_Love_1,1.0,,
217,touch,1.0,9.0,150,0,0,expression_0,Locale_Character:150_speech_01,c150_Lobby_Touch_1,0.3,,
218,touch,1.0,9.0,150,0,0,expression_0,Locale_Character:150_speech_02,c150_Lobby_Touch_2,0.3,,
219,touch,1.0,9.0,150,0,0,expression_0,Locale_Character:150_speech_03,c150_Lobby_Touch_3,0.4,,
220,touch,10.0,0.0,150,0,0,expression_0,Locale_Character:150_speech_04,c150_Lobby_Touch_Love_1,0.3,,
221,touch,10.0,0.0,150,0,0,expression_0,Locale_Character:150_speech_05,c150_Lobby_Touch_Love_2,0.3,,
222,touch,10.0,0.0,150,0,0,expression_0,Locale_Character:150_speech_06,c150_Lobby_Touch_Love_3,0.4,,
223,stay,1.0,9.0,150,0,0,expression_0,Locale_Character:150_stay_01,c150_Lobby_Stay_1,1.0,,
224,stay,10.0,0.0,150,0,0,expression_0,Locale_Character:150_stay_02,c150_Lobby_Stay_Love_1,1.0,,
225,touch,1.0,9.0,160,0,0,expression_0,Locale_Character:160_speech_01,c160_Lobby_Touch_1,0.3,,
226,touch,1.0,9.0,160,0,0,expression_0,Locale_Character:160_speech_02,c160_Lobby_Touch_2,0.3,,
227,touch,1.0,9.0,160,0,0,expression_0,Locale_Character:160_speech_03,c160_Lobby_Touch_3,0.4,,
228,touch,10.0,0.0,160,0,0,expression_0,Locale_Character:160_speech_04,c160_Lobby_Touch_Love_1,0.3,,
229,touch,10.0,0.0,160,0,0,expression_0,Locale_Character:160_speech_05,c160_Lobby_Touch_Love_2,0.3,,
230,touch,10.0,0.0,160,0,0,expression_0,Locale_Character:160_speech_06,c160_Lobby_Touch_Love_3,0.4,,
231,stay,1.0,9.0,160,0,0,expression_0,Locale_Character:160_stay_01,c160_Lobby_Stay_1,1.0,,
232,stay,10.0,0.0,160,0,0,expression_0,Locale_Character:160_stay_02,c160_Lobby_Stay_Love_1,1.0,,
