id,group_id,overclock_level,monster_level_up,battle_power,color,reward_id
167,10003,17,85,37060,00AEFF,3201017
168,10003,18,90,39240,00AEFF,3201018
169,10003,19,95,41420,00AEFF,3201019
170,10003,20,100,43600,00AEFF,3201020
171,10003,21,105,45780,00AEFF,3201021
172,10003,22,110,47960,00AEFF,3201022
173,10003,23,115,50140,00AEFF,3201023
174,10003,24,120,52320,00AEFF,3201024
175,10003,25,125,54500,00AEFF,3201025
176,10003,26,130,56680,C52DFF,0
177,10003,27,135,58860,C52DFF,0
178,10003,28,140,61040,C52DFF,0
179,10003,29,145,63220,C52DFF,0
180,10003,30,150,65400,C52DFF,0
181,10003,31,155,67580,C52DFF,0
182,10003,32,160,69760,C52DFF,0
183,10003,33,165,71940,C52DFF,0
184,10003,34,170,74120,C52DFF,0
185,10003,35,175,76300,C52DFF,0
186,10003,36,180,78480,FFAC10,0
187,10003,37,185,80660,FFAC10,0
188,10003,38,190,82840,FFAC10,0
189,10003,39,195,85020,FFAC10,0
190,10003,40,200,87200,FFAC10,0
191,10003,41,205,89380,FFAC10,0
192,10003,42,210,91560,FFAC10,0
193,10003,43,215,93740,FFAC10,0
194,10003,44,220,95920,FFAC10,0
195,10003,45,225,98100,FFAC10,0
196,10003,46,230,100280,E34A42,0
197,10003,47,235,102460,E34A42,0
198,10003,48,240,104640,E34A42,0
199,10003,49,245,106820,E34A42,0
200,10003,50,250,109000,E34A42,0
301,10004,1,5,2180,F1F1F1,3201001
302,10004,2,10,4360,F1F1F1,3201002
303,10004,3,15,6540,F1F1F1,3201003
304,10004,4,20,8720,F1F1F1,3201004
305,10004,5,25,10900,F1F1F1,3201005
306,10004,6,30,13080,F1F1F1,3201006
307,10004,7,35,15260,F1F1F1,3201007
308,10004,8,40,17440,F1F1F1,3201008
309,10004,9,45,19620,F1F1F1,3201009
310,10004,10,50,21800,F1F1F1,3201010
311,10004,11,55,23980,F1F1F1,3201011
312,10004,12,60,26160,F1F1F1,3201012
313,10004,13,65,28340,F1F1F1,3201013
314,10004,14,70,30520,F1F1F1,3201014
315,10004,15,75,32700,F1F1F1,3201015
316,10004,16,80,34880,00AEFF,3201016
317,10004,17,85,37060,00AEFF,3201017
318,10004,18,90,39240,00AEFF,3201018
319,10004,19,95,41420,00AEFF,3201019
320,10004,20,100,43600,00AEFF,3201020
321,10004,21,105,45780,00AEFF,3201021
322,10004,22,110,47960,00AEFF,3201022
323,10004,23,115,50140,00AEFF,3201023
324,10004,24,120,52320,00AEFF,3201024
325,10004,25,125,54500,00AEFF,3201025
326,10004,26,130,56680,C52DFF,0
327,10004,27,135,58860,C52DFF,0
328,10004,28,140,61040,C52DFF,0
329,10004,29,145,63220,C52DFF,0
330,10004,30,150,65400,C52DFF,0
331,10004,31,155,67580,C52DFF,0
332,10004,32,160,69760,C52DFF,0
333,10004,33,165,71940,C52DFF,0
334,10004,34,170,74120,C52DFF,0
335,10004,35,175,76300,C52DFF,0
336,10004,36,180,78480,FFAC10,0
337,10004,37,185,80660,FFAC10,0
338,10004,38,190,82840,FFAC10,0
339,10004,39,195,85020,FFAC10,0
340,10004,40,200,87200,FFAC10,0
341,10004,41,205,89380,FFAC10,0
342,10004,42,210,91560,FFAC10,0
343,10004,43,215,93740,FFAC10,0
344,10004,44,220,95920,FFAC10,0
345,10004,45,225,98100,FFAC10,0
346,10004,46,230,100280,E34A42,0
347,10004,47,235,102460,E34A42,0
348,10004,48,240,104640,E34A42,0
349,10004,49,245,106820,E34A42,0
350,10004,50,250,109000,E34A42,0
351,10004,51,300,130800,FF9200,0
401,10005,1,5,2180,F1F1F1,3202001
402,10005,2,10,4360,F1F1F1,3202002
403,10005,3,15,6540,F1F1F1,3202003
404,10005,4,20,8720,F1F1F1,3202004
405,10005,5,25,10900,F1F1F1,3202005
406,10005,6,30,13080,F1F1F1,3202006
407,10005,7,35,15260,F1F1F1,3202007
408,10005,8,40,17440,F1F1F1,3202008
409,10005,9,45,19620,F1F1F1,3202009
410,10005,10,50,21800,F1F1F1,3202010
411,10005,11,55,23980,F1F1F1,3202011
412,10005,12,60,26160,F1F1F1,3202012
413,10005,13,65,28340,F1F1F1,3202013
414,10005,14,70,30520,F1F1F1,3202014
415,10005,15,75,32700,F1F1F1,3202015
416,10005,16,80,34880,00AEFF,3202016
417,10005,17,85,37060,00AEFF,3202017
418,10005,18,90,39240,00AEFF,3202018
419,10005,19,95,41420,00AEFF,3202019
420,10005,20,100,43600,00AEFF,3202020
421,10005,21,105,45780,00AEFF,3202021
422,10005,22,110,47960,00AEFF,3202022
423,10005,23,115,50140,00AEFF,3202023
424,10005,24,120,52320,00AEFF,3202024
425,10005,25,125,54500,00AEFF,3202025
426,10005,26,130,56680,C52DFF,0
427,10005,27,135,58860,C52DFF,0
428,10005,28,140,61040,C52DFF,0
429,10005,29,145,63220,C52DFF,0
430,10005,30,150,65400,C52DFF,0
431,10005,31,155,67580,C52DFF,0
432,10005,32,160,69760,C52DFF,0
433,10005,33,165,71940,C52DFF,0
434,10005,34,170,74120,C52DFF,0
435,10005,35,175,76300,C52DFF,0
436,10005,36,180,78480,FFAC10,0
437,10005,37,185,80660,FFAC10,0
438,10005,38,190,82840,FFAC10,0
439,10005,39,195,85020,FFAC10,0
440,10005,40,200,87200,FFAC10,0
441,10005,41,205,89380,FFAC10,0
442,10005,42,210,91560,FFAC10,0
443,10005,43,215,93740,FFAC10,0
444,10005,44,220,95920,FFAC10,0
445,10005,45,225,98100,FFAC10,0
446,10005,46,230,100280,E34A42,0
447,10005,47,235,102460,E34A42,0
448,10005,48,240,104640,E34A42,0
449,10005,49,245,106820,E34A42,0
450,10005,50,250,109000,E34A42,0
451,10005,51,300,130800,D400FF,0
501,10006,1,5,2180,F1F1F1,3202001
502,10006,2,10,4360,F1F1F1,3202002
503,10006,3,15,6540,F1F1F1,3202003
504,10006,4,20,8720,F1F1F1,3202004
505,10006,5,25,10900,F1F1F1,3202005
506,10006,6,30,13080,F1F1F1,3202006
507,10006,7,35,15260,F1F1F1,3202007
508,10006,8,40,17440,F1F1F1,3202008
509,10006,9,45,19620,F1F1F1,3202009
510,10006,10,50,21800,F1F1F1,3202010
511,10006,11,55,23980,F1F1F1,3202011
512,10006,12,60,26160,F1F1F1,3202012
513,10006,13,65,28340,F1F1F1,3202013
514,10006,14,70,30520,F1F1F1,3202014
515,10006,15,75,32700,F1F1F1,3202015
516,10006,16,80,34880,00AEFF,3202016
517,10006,17,85,37060,00AEFF,3202017
518,10006,18,90,39240,00AEFF,3202018
519,10006,19,95,41420,00AEFF,3202019
520,10006,20,100,43600,00AEFF,3202020
521,10006,21,105,45780,00AEFF,3202021
522,10006,22,110,47960,00AEFF,3202022
523,10006,23,115,50140,00AEFF,3202023
524,10006,24,120,52320,00AEFF,3202024
525,10006,25,125,54500,00AEFF,3202025
526,10006,26,130,56680,C52DFF,0
527,10006,27,135,58860,C52DFF,0
528,10006,28,140,61040,C52DFF,0
529,10006,29,145,63220,C52DFF,0
530,10006,30,150,65400,C52DFF,0
531,10006,31,155,67580,C52DFF,0
532,10006,32,160,69760,C52DFF,0
533,10006,33,165,71940,C52DFF,0
534,10006,34,170,74120,C52DFF,0
535,10006,35,175,76300,C52DFF,0
536,10006,36,180,78480,FFAC10,0
537,10006,37,185,80660,FFAC10,0
538,10006,38,190,82840,FFAC10,0
539,10006,39,195,85020,FFAC10,0
540,10006,40,200,87200,FFAC10,0
541,10006,41,205,89380,FFAC10,0
542,10006,42,210,91560,FFAC10,0
543,10006,43,215,93740,FFAC10,0
544,10006,44,220,95920,FFAC10,0
545,10006,45,225,98100,FFAC10,0
546,10006,46,230,100280,E34A42,0
547,10006,47,235,102460,E34A42,0
548,10006,48,240,104640,E34A42,0
549,10006,49,245,106820,E34A42,0
550,10006,50,250,109000,E34A42,0
551,10006,51,300,130800,CF0009,0
